layer,head,importance
5,4,1.2218704223632812
9,2,0.7437400817871094
13,5,0.6979074478149414
5,0,0.6403026580810547
9,1,0.6303110122680664
6,1,0.6025199890136719
7,3,0.5704994201660156
5,5,0.5593757629394531
2,3,0.4855775833129883
14,3,0.4621162414550781
9,7,0.42624950408935547
12,4,0.38311100006103516
6,4,0.377105712890625
4,3,0.3760509490966797
4,5,0.3594207763671875
5,3,0.3347749710083008
12,7,0.3180360794067383
0,7,0.3046884536743164
8,5,0.29938507080078125
10,3,0.29831600189208984
2,5,0.29445648193359375
10,2,0.2879524230957031
8,1,0.27674102783203125
2,7,0.25626373291015625
7,5,0.2558135986328125
11,7,0.23037147521972656
0,3,0.22043228149414062
2,2,0.2152414321899414
9,3,0.21009063720703125
12,2,0.1713409423828125
14,0,0.16590213775634766
10,5,0.15278244018554688
6,7,0.14939498901367188
0,4,0.14705467224121094
14,4,0.14370250701904297
14,2,0.13974285125732422
4,6,0.12351608276367188
11,2,0.12199783325195312
14,6,0.12115669250488281
13,4,0.1176300048828125
15,7,0.11522960662841797
10,4,0.1050872802734375
5,1,0.09430408477783203
15,0,0.09023666381835938
3,4,0.06599712371826172
13,2,0.0644235610961914
7,2,0.06433773040771484
10,6,0.062272071838378906
13,3,0.06008720397949219
12,1,0.053287506103515625
15,3,0.026332855224609375
10,1,0.023296356201171875
10,7,0.022918701171875
14,1,0.0170135498046875
