layer,head,importance
22,26,0.10471820831298828
0,8,0.0970916748046875
1,27,0.0936746597290039
27,21,0.08821582794189453
0,22,0.08687114715576172
24,26,0.07671356201171875
9,1,0.07589054107666016
0,1,0.0707082748413086
0,5,0.06947803497314453
29,3,0.06823348999023438
8,11,0.06698894500732422
20,26,0.0639810562133789
24,30,0.05904865264892578
30,5,0.05719470977783203
14,29,0.05662345886230469
21,14,0.05596446990966797
23,30,0.055069923400878906
23,19,0.053359031677246094
31,17,0.05334186553955078
22,16,0.05158805847167969
4,0,0.05027484893798828
21,29,0.05007171630859375
23,12,0.04994010925292969
7,22,0.04926109313964844
29,20,0.048277854919433594
30,21,0.047532081604003906
23,1,0.04707622528076172
22,13,0.04688262939453125
4,16,0.045083045959472656
7,8,0.04504871368408203
22,19,0.0443115234375
10,21,0.044289588928222656
13,24,0.04388427734375
18,17,0.04371166229248047
29,27,0.04351806640625
27,24,0.04326152801513672
3,8,0.04314708709716797
21,21,0.041835784912109375
5,29,0.0401458740234375
21,10,0.03993988037109375
28,24,0.03971576690673828
28,16,0.039704322814941406
25,14,0.03957080841064453
1,2,0.03888416290283203
14,28,0.038788795471191406
29,9,0.038163185119628906
3,4,0.038077354431152344
13,6,0.03807544708251953
8,7,0.03800487518310547
28,7,0.03783226013183594
25,29,0.03739643096923828
5,13,0.03712177276611328
20,0,0.03661155700683594
29,2,0.036339759826660156
31,24,0.036309242248535156
27,19,0.036224365234375
20,8,0.036208152770996094
13,30,0.03619861602783203
7,9,0.036141395568847656
22,7,0.03587627410888672
31,18,0.03584003448486328
8,24,0.03575706481933594
14,20,0.03575420379638672
8,6,0.03564739227294922
2,24,0.03508472442626953
30,3,0.034651756286621094
22,18,0.03460693359375
1,12,0.034432411193847656
9,8,0.034287452697753906
23,11,0.03427696228027344
27,13,0.0340728759765625
24,24,0.03351306915283203
29,13,0.033156394958496094
20,13,0.03296852111816406
28,17,0.0329132080078125
19,30,0.03209400177001953
7,21,0.031981468200683594
4,26,0.031479835510253906
21,6,0.031352996826171875
4,13,0.031218528747558594
30,25,0.03105449676513672
26,31,0.030900955200195312
27,23,0.03069305419921875
4,6,0.030462265014648438
16,29,0.03020954132080078
11,21,0.030061721801757812
25,1,0.02999591827392578
11,15,0.029520034790039062
21,8,0.02929210662841797
22,6,0.02925872802734375
0,3,0.029053688049316406
1,19,0.0289306640625
2,5,0.028753280639648438
20,24,0.028594970703125
30,8,0.02848339080810547
4,10,0.027070045471191406
30,29,0.02688884735107422
25,20,0.026299476623535156
30,0,0.02605915069580078
27,17,0.025888442993164062
0,2,0.02574443817138672
24,23,0.025564193725585938
2,10,0.025170326232910156
31,30,0.02511882781982422
26,14,0.02509593963623047
13,2,0.025045394897460938
24,0,0.02489757537841797
19,5,0.02480602264404297
2,16,0.024541854858398438
1,28,0.024440765380859375
0,31,0.024419784545898438
1,20,0.024268150329589844
30,24,0.024209976196289062
24,11,0.02401256561279297
29,15,0.023969650268554688
31,19,0.02396678924560547
13,16,0.02388763427734375
1,9,0.023859024047851562
25,12,0.02363109588623047
30,14,0.02359771728515625
29,23,0.02343463897705078
20,30,0.023405075073242188
9,0,0.023321151733398438
22,31,0.023217201232910156
26,12,0.02311992645263672
25,15,0.02306079864501953
24,20,0.02301311492919922
3,1,0.022922515869140625
27,18,0.022897720336914062
6,12,0.022757530212402344
26,21,0.02269744873046875
5,0,0.02246570587158203
5,9,0.022369384765625
21,31,0.022362709045410156
27,11,0.02228260040283203
26,10,0.021981239318847656
3,28,0.021973609924316406
20,17,0.02192401885986328
28,12,0.02178668975830078
27,15,0.02161407470703125
16,30,0.021264076232910156
2,31,0.021218299865722656
9,29,0.021172523498535156
18,22,0.020707130432128906
24,19,0.02053546905517578
4,21,0.020465850830078125
25,9,0.020450592041015625
2,0,0.020404815673828125
4,11,0.020206451416015625
21,27,0.020119667053222656
12,26,0.02004718780517578
26,23,0.02001476287841797
17,23,0.02000141143798828
26,24,0.019992828369140625
1,21,0.019949913024902344
28,31,0.019933700561523438
25,7,0.01966381072998047
1,11,0.01949787139892578
0,26,0.019468307495117188
0,11,0.01922321319580078
24,18,0.01900196075439453
23,0,0.01894378662109375
5,21,0.018861770629882812
21,5,0.018729209899902344
18,15,0.018561363220214844
6,27,0.018491744995117188
8,31,0.018477439880371094
30,7,0.018445968627929688
20,5,0.01841259002685547
22,21,0.018197059631347656
12,0,0.018067359924316406
1,7,0.01791667938232422
