layer,head,importance
16,6,0.6621856689453125
10,7,0.5612211227416992
5,10,0.5029058456420898
11,12,0.4686546325683594
12,0,0.4646034240722656
13,3,0.37186622619628906
19,10,0.37093544006347656
10,9,0.35183143615722656
7,0,0.3492012023925781
14,2,0.3451805114746094
13,1,0.33690357208251953
9,11,0.331756591796875
5,15,0.3298683166503906
13,10,0.32486724853515625
19,13,0.3192157745361328
12,6,0.31789302825927734
19,5,0.3167133331298828
8,5,0.2999382019042969
0,13,0.2816352844238281
5,0,0.2720479965209961
5,2,0.27172088623046875
8,8,0.27115631103515625
3,4,0.26410770416259766
7,10,0.2634773254394531
18,2,0.2577047348022461
19,11,0.25713157653808594
11,13,0.2545967102050781
19,0,0.23874664306640625
7,14,0.23769092559814453
2,7,0.23719501495361328
0,10,0.23291969299316406
12,12,0.2306079864501953
6,1,0.22969436645507812
2,11,0.22782516479492188
17,13,0.22753620147705078
11,2,0.22488021850585938
3,1,0.22357749938964844
16,3,0.21207427978515625
16,12,0.20979022979736328
8,0,0.20719528198242188
5,3,0.20119380950927734
9,6,0.20021820068359375
1,5,0.195556640625
18,8,0.19513893127441406
14,8,0.19319820404052734
9,9,0.19275283813476562
7,2,0.1912527084350586
16,7,0.19101333618164062
3,6,0.1904897689819336
6,7,0.18985652923583984
0,15,0.18719482421875
8,4,0.18522167205810547
13,11,0.18485641479492188
2,14,0.1838979721069336
16,10,0.18264007568359375
4,14,0.18132972717285156
17,4,0.18117713928222656
17,0,0.18039321899414062
6,11,0.17722034454345703
19,12,0.17697906494140625
4,5,0.17642498016357422
20,5,0.17344093322753906
13,0,0.17216205596923828
20,0,0.17171096801757812
5,13,0.16651058197021484
15,13,0.16571807861328125
15,8,0.15793895721435547
14,12,0.15703296661376953
16,8,0.15540695190429688
0,5,0.15132808685302734
14,11,0.14999008178710938
1,13,0.14864826202392578
13,12,0.14800262451171875
19,8,0.14620113372802734
0,6,0.14522743225097656
10,8,0.14493942260742188
3,11,0.1428070068359375
9,4,0.1418142318725586
9,15,0.14138221740722656
18,12,0.1408538818359375
7,6,0.13951778411865234
12,11,0.13813400268554688
1,9,0.13361835479736328
10,12,0.13345813751220703
10,4,0.13145160675048828
12,5,0.12483978271484375
11,6,0.12366104125976562
8,7,0.12322235107421875
2,3,0.12307929992675781
6,10,0.1210012435913086
10,11,0.11715126037597656
0,8,0.11648941040039062
20,2,0.11516284942626953
14,10,0.1143951416015625
20,9,0.11381053924560547
4,2,0.113128662109375
4,9,0.11201667785644531
17,11,0.10761737823486328
22,4,0.1063375473022461
1,3,0.10621833801269531
8,6,0.10369014739990234
15,14,0.10107135772705078
3,15,0.09892654418945312
20,1,0.09654998779296875
10,15,0.09453868865966797
16,2,0.09234619140625
1,2,0.09197998046875
8,1,0.08854389190673828
20,11,0.08801746368408203
19,7,0.08765792846679688
5,1,0.08573150634765625
7,12,0.08389949798583984
4,8,0.08324050903320312
1,10,0.08062362670898438
5,6,0.07827949523925781
20,13,0.07794952392578125
3,9,0.0751352310180664
20,15,0.07476043701171875
19,9,0.07437896728515625
10,5,0.0725250244140625
11,0,0.07139778137207031
5,14,0.07068634033203125
7,3,0.07038116455078125
19,15,0.06752681732177734
15,11,0.06592845916748047
0,7,0.06408405303955078
11,4,0.06386184692382812
21,2,0.06332111358642578
18,14,0.0625905990600586
23,0,0.06007862091064453
1,1,0.05832672119140625
16,9,0.056220054626464844
19,6,0.05295276641845703
6,6,0.052852630615234375
0,11,0.05231189727783203
13,8,0.052265167236328125
17,3,0.05193519592285156
21,4,0.05186939239501953
4,11,0.051837921142578125
18,6,0.05091285705566406
7,5,0.05049896240234375
7,7,0.04930877685546875
12,3,0.04922199249267578
17,14,0.046051025390625
22,11,0.04372215270996094
23,14,0.042621612548828125
12,2,0.04095172882080078
18,3,0.040340423583984375
20,10,0.039844512939453125
22,12,0.03855609893798828
15,12,0.037731170654296875
22,15,0.03556251525878906
8,9,0.033293724060058594
19,3,0.03241157531738281
16,14,0.03173065185546875
21,0,0.030481338500976562
4,13,0.029886245727539062
13,15,0.029388427734375
14,3,0.028450965881347656
20,8,0.02775287628173828
22,5,0.027118682861328125
12,14,0.026926040649414062
4,12,0.026361465454101562
15,4,0.025589942932128906
16,4,0.025560379028320312
17,6,0.024724960327148438
23,1,0.024354934692382812
7,4,0.023681640625
18,5,0.023535728454589844
2,12,0.02341938018798828
23,3,0.02083587646484375
4,4,0.020776748657226562
18,4,0.01744556427001953
21,1,0.01691722869873047
11,11,0.016081809997558594
23,6,0.014303207397460938
22,0,0.01409912109375
21,8,0.013416290283203125
23,15,0.013172149658203125
9,1,0.012614250183105469
23,4,0.012424468994140625
10,14,0.011483192443847656
