layer,head,importance
0,5,0.4910736083984375
2,5,0.3933868408203125
1,4,0.228424072265625
1,7,0.21405029296875
5,3,0.180908203125
1,1,0.1773834228515625
5,1,0.151702880859375
4,0,0.126800537109375
3,7,0.1243133544921875
5,7,0.1195068359375
4,4,0.107757568359375
3,0,0.09417724609375
2,1,0.0783538818359375
4,3,0.0765533447265625
5,5,0.07177734375
2,0,0.0710906982421875
4,1,0.0654754638671875
1,3,0.0617218017578125
3,2,0.0609283447265625
3,3,0.0497894287109375
4,5,0.0433502197265625
4,6,0.036712646484375
5,6,0.036468505859375
3,5,0.033111572265625
5,4,0.023773193359375
4,7,0.020050048828125
3,1,0.012603759765625
