layer,head,importance
3,6,1.2318649291992188
4,10,1.2039260864257812
5,0,0.9051513671875
4,8,0.8997879028320312
8,1,0.8822708129882812
3,8,0.8593521118164062
6,4,0.7217864990234375
7,5,0.6714553833007812
1,8,0.6599807739257812
5,6,0.6551895141601562
5,9,0.6424942016601562
2,9,0.5830764770507812
0,4,0.5762710571289062
8,3,0.5235061645507812
0,10,0.49648284912109375
7,2,0.48102569580078125
0,8,0.47417449951171875
0,9,0.45757293701171875
5,5,0.44281768798828125
3,4,0.4416961669921875
3,2,0.42185211181640625
0,1,0.4082794189453125
1,2,0.3885650634765625
0,11,0.38854217529296875
6,8,0.37354278564453125
4,4,0.36458587646484375
6,0,0.32051849365234375
7,6,0.31496429443359375
3,10,0.30600738525390625
7,9,0.30551910400390625
2,7,0.30371856689453125
9,10,0.30300140380859375
10,2,0.293243408203125
4,7,0.293060302734375
9,8,0.28162384033203125
4,9,0.27069854736328125
2,8,0.25217437744140625
5,3,0.241790771484375
0,0,0.23191070556640625
9,6,0.1978302001953125
10,1,0.1885528564453125
1,0,0.18137359619140625
6,5,0.18073272705078125
4,3,0.1734771728515625
2,11,0.16577911376953125
8,11,0.15233612060546875
11,10,0.13776397705078125
9,11,0.1373138427734375
9,3,0.137298583984375
10,9,0.12183380126953125
3,9,0.105499267578125
6,2,0.10535430908203125
11,2,0.10475921630859375
2,10,0.10192108154296875
7,4,0.10161590576171875
2,6,0.09975433349609375
8,4,0.0982513427734375
4,5,0.0826263427734375
11,4,0.08109283447265625
9,9,0.07236480712890625
11,11,0.06900787353515625
11,8,0.05747222900390625
5,11,0.04250335693359375
4,1,0.04087066650390625
10,3,0.037139892578125
8,0,0.031646728515625
5,8,0.03040313720703125
11,1,0.02127838134765625
11,0,0.015777587890625
11,7,0.011810302734375
