layer,head,mean,min,max
0,0,0.09812597185373306,0.0884508490562439,0.11216413229703903
0,1,0.09069181978702545,0.0868067592382431,0.09492047876119614
0,2,0.10016177594661713,0.08809254318475723,0.12982210516929626
0,3,0.10083919018507004,0.08942336589097977,0.1418313980102539
0,4,0.09272704273462296,0.08833413571119308,0.10637510567903519
0,5,0.09742285311222076,0.08957625180482864,0.10827325284481049
0,6,0.0960376039147377,0.0876590833067894,0.15337532758712769
0,7,0.09558508545160294,0.08805955946445465,0.1361261010169983
0,8,0.09856796264648438,0.08942868560552597,0.1496216356754303
0,9,0.10445461422204971,0.08738932758569717,0.17082957923412323
0,10,0.09156537801027298,0.08870434015989304,0.09739622473716736
0,11,0.09093117713928223,0.08679807186126709,0.105662040412426
1,0,0.09776118397712708,0.08889451622962952,0.12083271890878677
1,1,0.09029968082904816,0.08650616556406021,0.09823868423700333
1,2,0.10223061591386795,0.08869289606809616,0.16821293532848358
1,3,0.09891001880168915,0.08986404538154602,0.12326480448246002
1,4,0.11121634393930435,0.0879179835319519,0.18034157156944275
1,5,0.1039353609085083,0.08932272344827652,0.1434221863746643
1,6,0.09638471901416779,0.0893833264708519,0.10638077557086945
1,7,0.09961948543787003,0.08987344056367874,0.11357853561639786
1,8,0.09806311130523682,0.08887352794408798,0.11922876536846161
1,9,0.10359951108694077,0.08945859223604202,0.12833259999752045
1,10,0.09758512675762177,0.08903072029352188,0.10866125673055649
1,11,0.10922324657440186,0.08698704838752747,0.2051302045583725
2,0,0.09757553040981293,0.08920510113239288,0.10925713181495667
2,1,0.10217751562595367,0.08893939852714539,0.12811468541622162
2,2,0.09629620611667633,0.08936213701963425,0.1114310696721077
2,3,0.1062503308057785,0.08912775665521622,0.15673458576202393
2,4,0.09878914803266525,0.08991635590791702,0.10595227777957916
2,5,0.1103057861328125,0.08871756494045258,0.1673422008752823
2,6,0.10301859676837921,0.08921103924512863,0.13111823797225952
2,7,0.0978420153260231,0.08977901190519333,0.10866513103246689
2,8,0.09239289909601212,0.08621824532747269,0.10799825191497803
2,9,0.10763601213693619,0.08938180655241013,0.13683553040027618
2,10,0.10410844534635544,0.08981060236692429,0.1237013041973114
2,11,0.10334903001785278,0.08940348029136658,0.14225777983665466
3,0,0.0903610810637474,0.08651028573513031,0.10036876052618027
3,1,0.09930186718702316,0.08908727020025253,0.11606235057115555
3,2,0.09779558330774307,0.08818106353282928,0.11766655743122101
3,3,0.11364947259426117,0.08875224739313126,0.1673213243484497
3,4,0.09864344447851181,0.08920203149318695,0.11322923004627228
3,5,0.10177387297153473,0.08873540163040161,0.1450035721063614
3,6,0.10440436005592346,0.08987786620855331,0.12819072604179382
3,7,0.09505216032266617,0.08971324563026428,0.10214738547801971
3,8,0.1032811775803566,0.08975528180599213,0.12797848880290985
3,9,0.10687555372714996,0.0884162187576294,0.17376300692558289
3,10,0.09539050608873367,0.08859588205814362,0.12377697229385376
3,11,0.09630073606967926,0.08997591584920883,0.10433609038591385
4,0,0.09957393258810043,0.08980895578861237,0.1181589737534523
4,1,0.0971914529800415,0.08957205712795258,0.10687683522701263
4,2,0.09331312775611877,0.08947138488292694,0.09913623332977295
4,3,0.09385857731103897,0.08971329033374786,0.1006576269865036
4,4,0.09517429769039154,0.08865725994110107,0.10146640241146088
4,5,0.09225033223628998,0.08714911341667175,0.09999293088912964
4,6,0.10121899098157883,0.08990490436553955,0.12232882529497147
4,7,0.09439247101545334,0.08981769531965256,0.10178712755441666
4,8,0.09911021590232849,0.08754555881023407,0.1287020891904831
4,9,0.10117150843143463,0.08949349820613861,0.1209220215678215
4,10,0.11561927944421768,0.08846140652894974,0.174232617020607
4,11,0.09878535568714142,0.08987791836261749,0.11337447166442871
5,0,0.0996820256114006,0.08996497839689255,0.1111929640173912
5,1,0.09572730958461761,0.0897495225071907,0.10435467213392258
5,2,0.09654639661312103,0.08803015947341919,0.11357548832893372
5,3,0.10135813802480698,0.08984112739562988,0.1216266006231308
5,4,0.09883935749530792,0.08970881998538971,0.10897975414991379
5,5,0.10503951460123062,0.0896056517958641,0.1349804550409317
5,6,0.1267227977514267,0.08644131571054459,0.21371561288833618
5,7,0.1045246496796608,0.08940541744232178,0.14409716427326202
5,8,0.09890703856945038,0.08954177796840668,0.11078496277332306
5,9,0.09610782563686371,0.08981751650571823,0.10653270781040192
5,10,0.09725306183099747,0.0898081362247467,0.10687287896871567
5,11,0.09829691052436829,0.08991025388240814,0.1121700331568718
6,0,0.0997449979186058,0.0897521823644638,0.1149434745311737
6,1,0.10689818859100342,0.08974450826644897,0.13051281869411469
6,2,0.09875169396400452,0.08963338285684586,0.11538171023130417
6,3,0.09619642794132233,0.08898264169692993,0.1220938041806221
6,4,0.09955807775259018,0.08980132639408112,0.10825230926275253
6,5,0.10091618448495865,0.08937720954418182,0.11713514477014542
6,6,0.12402868270874023,0.08730491250753403,0.1972760409116745
6,7,0.10724835842847824,0.08993262052536011,0.13043434917926788
6,8,0.10230934619903564,0.08952779322862625,0.12358115613460541
6,9,0.10924705117940903,0.08846533298492432,0.17319703102111816
6,10,0.11527631431818008,0.0873226597905159,0.19775941967964172
6,11,0.09871891140937805,0.08990082889795303,0.10717573761940002
7,0,0.08724554628133774,0.08538451790809631,0.08978958427906036
7,1,0.09591737389564514,0.08889485150575638,0.11436187475919724
7,2,0.13421426713466644,0.08533674478530884,0.23196931183338165
7,3,0.08980546146631241,0.08667988330125809,0.09788848459720612
7,4,0.09828833490610123,0.08984439820051193,0.10874732583761215
7,5,0.09945068508386612,0.08886866271495819,0.118761345744133
7,6,0.09551074355840683,0.08994865417480469,0.10505283623933792
7,7,0.0922834649682045,0.08647139370441437,0.11038056015968323
7,8,0.10142920166254044,0.08989222347736359,0.11392436176538467
7,9,0.09676430374383926,0.08987059444189072,0.10570523142814636
7,10,0.1086406484246254,0.089113749563694,0.1594911515712738
7,11,0.10461775213479996,0.08983035385608673,0.12219268828630447
8,0,0.13421426713466644,0.08533674478530884,0.23196931183338165
8,1,0.1179608404636383,0.08533678203821182,0.23196880519390106
8,2,0.09020644426345825,0.08549350500106812,0.10264530777931213
8,3,0.09501151740550995,0.08547228574752808,0.15970085561275482
8,4,0.11792174726724625,0.08533674478530884,0.23196931183338165
8,5,0.08888355642557144,0.08797150105237961,0.09170380979776382
8,6,0.11375399678945541,0.08766045421361923,0.1909937560558319
8,7,0.09295956045389175,0.08919917047023773,0.09882336109876633
8,8,0.10046611726284027,0.087342269718647,0.19139061868190765
8,9,0.0933975875377655,0.0881873220205307,0.10038770735263824
8,10,0.08991305530071259,0.08835237473249435,0.09538932889699936
8,11,0.1315125972032547,0.08533674478530884,0.23196931183338165
9,0,0.11780709773302078,0.08539029210805893,0.2311197817325592
9,1,0.1221967563033104,0.08759956061840057,0.19177351891994476
9,2,0.13259287178516388,0.08538565784692764,0.23158203065395355
