layer,head,mean,min,max
0,0,0.09828653931617737,0.08912083506584167,0.13663668930530548
0,1,0.094283826649189,0.08813702315092087,0.10042882710695267
0,2,0.09597726911306381,0.08973909169435501,0.11573147028684616
0,3,0.10109809786081314,0.08714889734983444,0.12899163365364075
0,4,0.09749991446733475,0.08868430554866791,0.11353728920221329
0,5,0.09661583602428436,0.08992527425289154,0.10357369482517242
0,6,0.09299955517053604,0.08922035992145538,0.1002369225025177
0,7,0.09574038535356522,0.08859921991825104,0.10831346362829208
1,0,0.09256317466497421,0.0875207856297493,0.09965603053569794
1,1,0.1046457290649414,0.089748814702034,0.13001702725887299
1,2,0.09846038371324539,0.08921517431735992,0.12416823953390121
1,3,0.10146664083003998,0.08923936635255814,0.11857014149427414
1,4,0.09726832807064056,0.08919844776391983,0.11396728456020355
1,5,0.10562721639871597,0.0892350897192955,0.18126343190670013
1,6,0.09729915112257004,0.08649645000696182,0.12979274988174438
1,7,0.09975054115056992,0.08990848809480667,0.10980039834976196
2,0,0.09398750215768814,0.08881863206624985,0.11980434507131577
2,1,0.0967012494802475,0.08999042958021164,0.11193142086267471
2,2,0.09664477407932281,0.08992896229028702,0.10645702481269836
2,3,0.09679055213928223,0.08977963775396347,0.10580635815858841
2,4,0.09522173553705215,0.09001399576663971,0.10544706135988235
2,5,0.09476983547210693,0.08961957693099976,0.11762412637472153
2,6,0.10226353257894516,0.08965517580509186,0.11928936839103699
2,7,0.09339175373315811,0.08934734761714935,0.10050290077924728
3,0,0.09506677836179733,0.08989137411117554,0.1020631268620491
3,1,0.09814677387475967,0.08989298343658447,0.10920195281505585
3,2,0.10141967236995697,0.09001088887453079,0.11188305169343948
3,3,0.09774144738912582,0.08968240767717361,0.11142472177743912
3,4,0.10139764100313187,0.08980146050453186,0.11833105981349945
3,5,0.09023398905992508,0.08658015727996826,0.09723019599914551
3,6,0.10531884431838989,0.08954392373561859,0.1426672786474228
3,7,0.09632579237222672,0.08945198357105255,0.11012274771928787
4,0,0.10286586731672287,0.08961287885904312,0.12961293756961823
4,1,0.09120010584592819,0.08884996175765991,0.09506174176931381
4,2,0.09550229460000992,0.08932070434093475,0.1025257259607315
4,3,0.09280798584222794,0.08894268423318863,0.09944704174995422
4,4,0.09104395657777786,0.08874929696321487,0.09506190568208694
4,5,0.09336461871862411,0.08941081911325455,0.09931164979934692
4,6,0.10044721513986588,0.08971209079027176,0.1184660866856575
4,7,0.09995301812887192,0.08939439058303833,0.11621670424938202
5,0,0.09973123669624329,0.08976378291845322,0.10797738283872604
5,1,0.09474421292543411,0.08963353931903839,0.10405494272708893
5,2,0.09539750218391418,0.08979546278715134,0.10008469969034195
5,3,0.09644434601068497,0.08984918892383575,0.10350625962018967
5,4,0.09251691401004791,0.0889977291226387,0.09758919477462769
5,5,0.09534614533185959,0.0894836038351059,0.11438341438770294
5,6,0.09288199245929718,0.08845273405313492,0.10100209712982178
5,7,0.09291037917137146,0.08921360969543457,0.10000384598970413
6,0,0.09797681868076324,0.08990136533975601,0.1125079020857811
6,1,0.09902580827474594,0.08978860080242157,0.1061268001794815
6,2,0.0949336439371109,0.08971841633319855,0.10412976145744324
6,3,0.10219818353652954,0.08995510637760162,0.12780146300792694
6,4,0.09419553726911545,0.08925849944353104,0.09861256182193756
6,5,0.0969291403889656,0.0897553563117981,0.10316555947065353
6,6,0.1000598818063736,0.08992695808410645,0.10716912150382996
6,7,0.10149531066417694,0.08964423835277557,0.1240069717168808
7,0,0.09564707428216934,0.08902234584093094,0.10752418637275696
7,1,0.09786874800920486,0.0898735448718071,0.10780535638332367
7,2,0.09872125089168549,0.08999636769294739,0.10689451545476913
7,3,0.09957452118396759,0.0899759829044342,0.11304584890604019
7,4,0.10315196216106415,0.08987675607204437,0.12058345228433609
7,5,0.09882376343011856,0.08988833427429199,0.1077929437160492
7,6,0.0990336462855339,0.0899675041437149,0.11812261492013931
7,7,0.09560693800449371,0.08974482119083405,0.10403576493263245
8,0,0.10042263567447662,0.08985781669616699,0.11072757095098495
8,1,0.10150638222694397,0.08986041694879532,0.11610686033964157
8,2,0.09760365635156631,0.08997418731451035,0.10688049346208572
8,3,0.10177620500326157,0.09002724289894104,0.11682915687561035
8,4,0.10252328962087631,0.08996857702732086,0.12659642100334167
8,5,0.09512097388505936,0.08926931768655777,0.10368505120277405
8,6,0.09716861695051193,0.08986582607030869,0.10664965957403183
8,7,0.1024245023727417,0.08988968282938004,0.12490415573120117
9,0,0.10027134418487549,0.08995957672595978,0.12260548025369644
9,1,0.09734495729207993,0.08989432454109192,0.10242123156785965
9,2,0.10143187642097473,0.08999229967594147,0.11978783458471298
9,3,0.0981302261352539,0.08992363512516022,0.1032792404294014
9,4,0.10035650432109833,0.09001511335372925,0.10884170979261398
9,5,0.09998854249715805,0.08996976912021637,0.11072250455617905
9,6,0.10081760585308075,0.08991397172212601,0.11923230439424515
9,7,0.09857916831970215,0.08976789563894272,0.10764656960964203
10,0,0.09595554322004318,0.08974772691726685,0.10901790112257004
10,1,0.10160071402788162,0.08977790176868439,0.11592857539653778
10,2,0.10108724981546402,0.08991999924182892,0.11473382264375687
10,3,0.09980092942714691,0.09000252187252045,0.10895387083292007
10,4,0.0957234650850296,0.08972150832414627,0.10156561434268951
10,5,0.10263160616159439,0.08991669118404388,0.11782320588827133
10,6,0.10303327441215515,0.08999884128570557,0.11618053168058395
10,7,0.10506319999694824,0.08980782330036163,0.12905064225196838
11,0,0.0978531613945961,0.0899648517370224,0.1050059124827385
11,1,0.09702998399734497,0.08992864936590195,0.10140827298164368
11,2,0.10070598870515823,0.08999087661504745,0.1180097907781601
11,3,0.0959296002984047,0.08992341160774231,0.10383440554141998
11,4,0.09989491105079651,0.09001830220222473,0.11096411943435669
11,5,0.09804543107748032,0.08990644663572311,0.10687887668609619
11,6,0.09892270714044571,0.08996415883302689,0.11141179502010345
11,7,0.09546450525522232,0.08989159762859344,0.10201416164636612
12,0,0.10420817881822586,0.08994685858488083,0.12003035843372345
12,1,0.10061712563037872,0.08996555209159851,0.11449212580919266
12,2,0.10345166176557541,0.08972901105880737,0.12732499837875366
12,3,0.10074616968631744,0.08981870114803314,0.10995670408010483
12,4,0.10615234076976776,0.08959116786718369,0.13466697931289673
12,5,0.09728727489709854,0.0899728536605835,0.10746575146913528
12,6,0.09583447128534317,0.08988409489393234,0.10209083557128906
12,7,0.10169190168380737,0.09001657366752625,0.11479315161705017
13,0,0.10053042322397232,0.08999741077423096,0.1184292733669281
13,1,0.10259277373552322,0.08996537327766418,0.116511769592762
13,2,0.10143697261810303,0.0899544209241867,0.12246382981538773
13,3,0.10475844889879227,0.08986412733793259,0.12303570657968521
13,4,0.10394537448883057,0.08993295580148697,0.12082754820585251
13,5,0.1017751395702362,0.08983685821294785,0.12344719469547272
13,6,0.09861842542886734,0.08982005715370178,0.1086762547492981
13,7,0.10121851414442062,0.0899592712521553,0.11865344643592834
14,0,0.10678251832723618,0.08961766958236694,0.1311827152967453
14,1,0.10320280492305756,0.08995211869478226,0.1214635893702507
14,2,0.10718879848718643,0.08959402143955231,0.1378559172153473
14,3,0.10564109683036804,0.08969011157751083,0.13093842566013336
14,4,0.09512732177972794,0.08966607600450516,0.11247412115335464
14,5,0.09828508645296097,0.08842392265796661,0.11361497640609741
14,6,0.10510245710611343,0.08986178785562515,0.12668800354003906
14,7,0.09795128554105759,0.08983535319566727,0.10757904499769211
15,0,0.10274894535541534,0.0894072875380516,0.12284232676029205
15,1,0.10747388005256653,0.08951874077320099,0.1349310725927353
15,2,0.11915993690490723,0.08795953541994095,0.1845899373292923
15,3,0.09556757658720016,0.08939284086227417,0.1054701954126358
15,4,0.09719929844141006,0.08944028615951538,0.10487642884254456
15,5,0.09842442721128464,0.08841560781002045,0.13433623313903809
15,6,0.09854667633771896,0.08984044194221497,0.11383403092622757
15,7,0.1319224089384079,0.08554410934448242,0.22865107655525208
