layer,head,mean,min,max
0,0,0.09591163694858551,0.0,0.22997227311134338
0,1,0.021970301866531372,0.0,0.05314980447292328
0,2,0.10557301342487335,0.0,0.3677733838558197
0,3,0.10461664199829102,0.0,0.4612571597099304
0,4,0.03931709751486778,0.0,0.16846466064453125
0,5,0.07713758945465088,0.0,0.18103934824466705
0,6,0.06694027781486511,0.0,0.5441740155220032
0,7,0.06974681466817856,0.0,0.42961689829826355
0,8,0.08225912600755692,0.0,0.5149842500686646
0,9,0.1403312236070633,0.0,0.6572821140289307
0,10,0.028394440189003944,0.0,0.0852738618850708
0,11,0.032924942672252655,0.0,0.16700415313243866
1,0,0.08605309575796127,0.0,0.3111591637134552
1,1,0.04561324417591095,0.0,0.14513830840587616
1,2,0.1340123414993286,0.0,0.7064152359962463
1,3,0.07778101414442062,0.0,0.33512118458747864
1,4,0.17685706913471222,0.0,0.9874435067176819
1,5,0.10691123455762863,0.0,0.4495939612388611
1,6,0.17037838697433472,0.0,0.6132969260215759
1,7,0.08781853318214417,0.0,0.24869784712791443
1,8,0.15516938269138336,0.0,0.5788687467575073
1,9,0.128314808011055,0.0,0.3435060381889343
1,10,0.13802778720855713,0.0,0.6445134282112122
1,11,0.059610433876514435,0.0,0.20791149139404297
2,0,0.08140061795711517,0.0,0.1918623298406601
2,1,0.18272840976715088,0.0,0.5073373913764954
2,2,0.08187849074602127,0.0,0.2887188494205475
2,3,0.07102247327566147,0.0,0.13128413259983063
2,4,0.09402359277009964,0.0,0.27768847346305847
2,5,0.05945771187543869,0.0,0.20722031593322754
2,6,0.12802842259407043,0.0,0.41707485914230347
2,7,0.025746505707502365,0.0,0.07245319336652756
2,8,0.039612624794244766,0.0,0.14941588044166565
2,9,0.23512941598892212,0.0,0.6946737170219421
2,10,0.08158242702484131,0.0,0.2440461963415146
2,11,0.12837186455726624,0.0,0.6628933548927307
3,0,0.022874975576996803,0.0,0.0705975815653801
3,1,0.041302964091300964,0.0,0.11442779004573822
3,2,0.06019475683569908,0.0,0.23433353006839752
3,3,0.3012068569660187,0.0,0.92296302318573
3,4,0.045012228190898895,0.0,0.1508484184741974
3,5,0.09132712334394455,0.0,0.6147444844245911
3,6,0.08345125615596771,0.0,0.2551564872264862
3,7,0.059270236641168594,0.0,0.1234002485871315
3,8,0.10767257213592529,0.0,0.5590542554855347
3,9,0.11291086673736572,0.0,0.5890006422996521
3,10,0.07231324166059494,0.0,0.30691683292388916
3,11,0.05238138884305954,0.0,0.09990756958723068
4,0,0.006907993927598,0.0,0.05096783861517906
4,1,0.014099912717938423,0.0,0.06182599812746048
