layer,head,mean,min,max
0,0,0.09551184624433517,0.0,0.26012349128723145
0,1,0.09869322925806046,0.0,0.4183026850223541
0,2,0.32636958360671997,0.0,0.9978705644607544
0,3,0.3332247734069824,0.0,0.9999659061431885
0,4,0.2290307730436325,0.0,0.5789303779602051
0,5,0.1601233184337616,0.0,0.5999321937561035
0,6,0.14409339427947998,0.0,0.3671692907810211
0,7,0.15359513461589813,0.0,0.5085898041725159
1,0,0.13151198625564575,0.0,0.5252871513366699
1,1,0.20263347029685974,0.0,0.5052692294120789
1,2,0.17300215363502502,0.0,0.5324546694755554
1,3,0.11127056181430817,0.0,0.3658675253391266
1,4,0.2095819115638733,0.0,0.5367581248283386
1,5,0.1165347769856453,0.0,0.2548425495624542
1,6,0.2526983320713043,0.0,0.6612342596054077
1,7,0.16954512894153595,0.0,0.46776461601257324
2,0,0.17010396718978882,0.0,0.3458015024662018
2,1,0.14021268486976624,0.0,0.23359307646751404
2,2,0.19277940690517426,0.0,0.4907510578632355
2,3,0.17378494143486023,0.0,0.4905852675437927
2,4,0.14810091257095337,0.0,0.5553762316703796
2,5,0.16090938448905945,0.0,0.3645069897174835
2,6,0.32140663266181946,0.0,0.9994156360626221
2,7,0.12374535948038101,0.0,0.9380475878715515
3,0,0.20219720900058746,0.0,0.970684289932251
3,1,0.19226641952991486,0.0,0.9343961477279663
3,2,0.13465674221515656,0.0,0.3426254689693451
3,3,0.14256778359413147,0.0,0.9517533183097839
3,4,0.20943818986415863,0.0,0.6800434589385986
3,5,0.12160200625658035,0.0,0.509005069732666
3,6,0.23329485952854156,0.0,0.8692899346351624
3,7,0.15226204693317413,0.0,0.49415841698646545
4,0,3.852019290206954e-06,0.0,1.5507070202147588e-05
4,1,0.00862599816173315,0.0,0.07549324631690979
4,2,0.0105184530839324,0.0,0.09448625147342682
4,3,0.10663839429616928,0.0,0.9592424631118774
4,4,0.0061737773939967155,0.0,0.03693796694278717
4,5,0.03203252702951431,0.0,0.2879016399383545
4,6,0.002078310353681445,0.0,0.01868918165564537
4,7,0.019586924463510513,0.0,0.08280286192893982
5,0,0.12951625883579254,0.0,0.5867533087730408
5,1,0.040984101593494415,0.0,0.17729374766349792
5,2,0.31151631474494934,0.0,0.9999887943267822
5,3,0.3207295536994934,0.0,0.999338686466217
5,4,0.10812163352966309,0.0,0.9729636907577515
5,5,0.19014842808246613,0.0,0.9322019815444946
5,6,0.11879292875528336,0.0,0.9972099661827087
5,7,0.2583979666233063,0.0,0.9751824140548706
