layer,head,mean,min,max
0,0,0.059721723198890686,0.0,0.14684425294399261
0,1,0.06718196719884872,0.0,0.2137463390827179
0,2,0.1359918862581253,0.0,0.5406947731971741
0,3,0.27426621317863464,0.0,0.9237110614776611
0,4,0.12314967066049576,0.0,0.30706191062927246
0,5,0.11795440316200256,0.0,0.902472198009491
0,6,0.0518026128411293,0.0,0.2421475201845169
0,7,0.015363622456789017,0.0,0.07690098136663437
1,0,0.12695175409317017,0.0,0.7233821153640747
1,1,0.135547935962677,0.0,0.343365877866745
1,2,0.10823610424995422,0.0,0.4414810538291931
1,3,0.07375594973564148,0.0,0.16275209188461304
1,4,0.13318665325641632,0.0,0.4697352945804596
1,5,0.0684957429766655,0.0,0.16560886800289154
1,6,0.048839692026376724,0.0,0.1763085573911667
1,7,0.05783357843756676,0.0,0.1768726110458374
2,0,0.03362419828772545,0.0,0.11676992475986481
2,1,0.0820765346288681,0.0,0.2755281925201416
2,2,0.07283665239810944,0.0,0.18551534414291382
2,3,0.10468259453773499,0.0,0.2860870063304901
2,4,0.09458305686712265,0.0,0.30346012115478516
2,5,0.1374896913766861,0.0,0.4401070177555084
2,6,0.22405818104743958,0.0,0.8771929740905762
2,7,0.02929529920220375,0.0,0.16745829582214355
3,0,0.0009409133344888687,0.0,0.004255091305822134
3,1,0.0009066012571565807,0.0,0.007733041420578957
3,2,0.02560681663453579,0.0,0.07635821402072906
3,3,4.407127562444657e-05,0.0,0.00031791621586307883
3,4,0.06765881925821304,0.0,0.33977165818214417
3,5,0.00155784806702286,0.0,0.011017336510121822
3,6,0.0011571279028430581,0.0,0.010405358858406544
3,7,0.031130393967032433,0.0,0.11759304255247116
4,0,7.691406622711838e-09,0.0,2.902238982471772e-08
4,1,4.716338821708632e-07,0.0,3.854120222968049e-06
4,2,1.9344906232454662e-10,0.0,1.6036981742573175e-09
4,3,5.392677190213524e-12,0.0,3.166189879721948e-11
4,4,0.0004355967976152897,0.0,0.0029254683759063482
4,5,2.2105277677764157e-12,0.0,1.9019865543645764e-11
4,6,3.071445691501275e-17,0.0,1.825057289870212e-16
4,7,5.816752235432432e-08,0.0,1.782186842547162e-07
5,0,0.11105247586965561,0.0,0.9993818998336792
5,1,0.0011659803567454219,0.0,0.009144055657088757
5,2,0.11127278208732605,0.0,1.0
5,3,0.031270548701286316,0.0,0.28131103515625
5,4,3.9310365401203085e-14,0.0,3.5365487665098283e-13
5,5,0.00026314909337088466,0.0,0.002363164909183979
5,6,1.4665415619674604e-06,0.0,1.3129810213285964e-05
5,7,0.11357685923576355,0.0,0.8379708528518677
