layer,head,mean,min,max
0,0,0.11856207251548767,0.0,0.630317747592926
0,1,0.0358254574239254,0.0,0.17478275299072266
0,2,0.05413331091403961,0.0,0.4433247745037079
0,3,0.3333229124546051,0.0,0.999995231628418
0,4,0.019592957571148872,0.0,0.07780148833990097
0,5,0.08518774807453156,0.0,0.47810104489326477
0,6,0.019048107787966728,0.0,0.07406025379896164
0,7,0.08823813498020172,0.0,0.28633981943130493
0,8,0.08416131138801575,0.0,0.3276842534542084
0,9,0.06282201409339905,0.0,0.25460997223854065
0,10,0.1626245379447937,0.0,0.9998832941055298
0,11,0.05476715788245201,0.0,0.18698924779891968
0,12,0.05568717420101166,0.0,0.20402885973453522
0,13,0.09075376391410828,0.0,0.3586404621601105
0,14,0.04233279079198837,0.0,0.10814163833856583
0,15,0.11253062635660172,0.0,1.0
0,16,0.053652074187994,0.0,0.14379701018333435
0,17,0.053118929266929626,0.0,0.21534402668476105
0,18,0.07195094972848892,0.0,0.2652394771575928
0,19,0.04242929443717003,0.0,0.07089132815599442
0,20,0.050124067813158035,0.0,0.1478860229253769
0,21,0.164500892162323,0.0,0.9375073909759521
0,22,0.12780863046646118,0.0,0.7783563137054443
0,23,0.06142379343509674,0.0,0.15874075889587402
0,24,0.05472787469625473,0.0,0.1505204290151596
0,25,0.04121018201112747,0.0,0.12929187715053558
0,26,0.054581400007009506,0.0,0.14041028916835785
0,27,0.04408280551433563,0.0,0.1450081765651703
1,0,0.048895638436079025,0.0,0.15481425821781158
1,1,0.09808658063411713,0.0,0.24641352891921997
1,2,0.12022078037261963,0.0,0.4412803053855896
1,3,0.0709792971611023,0.0,0.23358222842216492
1,4,0.019278831779956818,0.0,0.07394377887248993
1,5,0.03201967850327492,0.0,0.11420378088951111
1,6,0.05252651870250702,0.0,0.29043373465538025
1,7,0.01570478454232216,0.0,0.07309017330408096
1,8,0.11168457567691803,0.0,0.28484171628952026
1,9,0.027074819430708885,0.0,0.12555550038814545
1,10,0.06598327308893204,0.0,0.2875188887119293
1,11,0.10408180207014084,0.0,0.5141693353652954
1,12,0.09436602145433426,0.0,0.4389382600784302
1,13,0.02709450013935566,0.0,0.07099159061908722
1,14,0.0864359512925148,0.0,0.44949957728385925
1,15,0.036951154470443726,0.0,0.11297930032014847
1,16,0.05111461877822876,0.0,0.1996084302663803
1,17,0.03076513670384884,0.0,0.07626450061798096
1,18,0.060439009219408035,0.0,0.14185841381549835
1,19,0.12361232191324234,0.0,0.4624590575695038
1,20,0.03958733752369881,0.0,0.1014207974076271
1,21,0.04948245361447334,0.0,0.16026146709918976
1,22,0.11582788825035095,0.0,0.31472787261009216
1,23,0.037055693566799164,0.0,0.15677984058856964
1,24,0.084409698843956,0.0,0.2289237231016159
1,25,0.07210592180490494,0.0,0.20769234001636505
1,26,0.04691411927342415,0.0,0.1605801284313202
1,27,0.06728120893239975,0.0,0.19234953820705414
2,0,0.017823509871959686,0.0,0.11292361468076706
2,1,0.04235053062438965,0.0,0.19024968147277832
2,2,0.07071098685264587,0.0,0.44277074933052063
2,3,0.0557597354054451,0.0,0.3773973882198334
2,4,0.013973800465464592,0.0,0.05893053114414215
2,5,0.030697783455252647,0.0,0.14793036878108978
2,6,0.05353277549147606,0.0,0.20200881361961365
2,7,0.01345442607998848,0.0,0.04819709435105324
2,8,0.038915738463401794,0.0,0.14710277318954468
2,9,0.04709931090474129,0.0,0.12572365999221802
2,10,0.06757202744483948,0.0,0.3509668707847595
2,11,0.02177143469452858,0.0,0.07280582189559937
2,12,0.02612651139497757,0.0,0.07860516756772995
2,13,0.13058054447174072,0.0,0.837352991104126
2,14,0.041372813284397125,0.0,0.09911082684993744
2,15,0.04130781441926956,0.0,0.1170194000005722
2,16,0.021888626739382744,0.0,0.04546789824962616
2,17,0.03909812867641449,0.0,0.09472840279340744
2,18,0.03962355852127075,0.0,0.08389917016029358
2,19,0.04633577540516853,0.0,0.10916762799024582
2,20,0.08985382318496704,0.0,0.253471702337265
2,21,0.03757099434733391,0.0,0.0878792330622673
2,22,0.06211011856794357,0.0,0.1558736115694046
2,23,0.03227989748120308,0.0,0.10188549011945724
