layer,head,importance,example_id,n_shots,prompt
1,7,1.0496749877929688,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
0,0,0.8664703369140625,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
1,1,0.8551902770996094,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
3,0,0.6142005920410156,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
2,2,0.6135940551757812,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
3,7,0.5736923217773438,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
5,5,0.4338111877441406,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
0,3,0.4300193786621094,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
5,7,0.3270416259765625,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
4,1,0.3086433410644531,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
1,6,0.26953887939453125,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
0,6,0.2687225341796875,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
2,7,0.24897384643554688,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
2,6,0.2386322021484375,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
2,1,0.17734146118164062,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
4,7,0.14709091186523438,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
4,3,0.138885498046875,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
1,2,0.12271881103515625,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
3,1,0.0792083740234375,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
5,2,0.06903457641601562,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
3,6,0.0647735595703125,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
5,1,0.06395339965820312,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
