PC1,PC2,Class
3.0815976,-0.4659918,Greater (a>b)
3.4352713,0.20473082,Greater (a>b)
3.4197996,-0.49744934,Greater (a>b)
3.2386532,-0.47259638,Greater (a>b)
3.8456757,0.5933847,Greater (a>b)
3.7059152,-0.65455145,Greater (a>b)
3.0202525,-1.370864,Greater (a>b)
2.4342518,-0.43661767,Greater (a>b)
3.4183497,1.6816949,Greater (a>b)
3.3472528,-0.41348043,Greater (a>b)
3.230421,-0.24871293,Greater (a>b)
3.3797324,-1.1128488,Greater (a>b)
3.2595508,-0.5303765,Greater (a>b)
3.0672317,-1.540806,Greater (a>b)
3.348924,-0.37565795,Greater (a>b)
3.6732836,0.6597589,Greater (a>b)
3.30509,-0.29001546,Greater (a>b)
3.4852152,3.0931566,Greater (a>b)
2.8624709,-1.3719909,Greater (a>b)
2.8557575,-0.7914777,Greater (a>b)
3.3068237,-0.04528799,Greater (a>b)
3.2259014,0.022948384,Greater (a>b)
3.2773073,-0.40749314,Greater (a>b)
2.2536697,-1.463228,Greater (a>b)
3.147034,-0.50394106,Greater (a>b)
3.6255288,0.72016567,Greater (a>b)
2.772863,-0.6067395,Greater (a>b)
3.8202565,2.0187411,Greater (a>b)
3.6241882,1.0261066,Greater (a>b)
3.4055133,-0.023308462,Greater (a>b)
3.2706883,-1.0131918,Greater (a>b)
3.692209,-0.380955,Greater (a>b)
3.6743028,0.1621256,Greater (a>b)
3.4100487,0.40869457,Greater (a>b)
3.3851495,-0.5510868,Greater (a>b)
3.5449872,1.3377863,Greater (a>b)
3.4149349,1.4719728,Greater (a>b)
3.561702,-0.30434963,Greater (a>b)
3.4947975,0.08367338,Greater (a>b)
3.4936259,-0.4800102,Greater (a>b)
3.182549,0.4629204,Greater (a>b)
3.4240975,0.0053239265,Greater (a>b)
3.076303,-1.2780745,Greater (a>b)
2.1327164,-1.2515745,Greater (a>b)
3.947741,0.007003962,Greater (a>b)
2.9570131,-1.0156577,Greater (a>b)
3.3643088,0.19449848,Greater (a>b)
3.409113,0.22364722,Greater (a>b)
3.5178263,-0.7005289,Greater (a>b)
4.1060085,1.9764218,Greater (a>b)
3.4735522,0.5455897,Greater (a>b)
3.415933,1.560872,Greater (a>b)
2.9985127,-0.81026083,Greater (a>b)
2.8834453,-0.31335688,Greater (a>b)
3.2323978,-0.8794653,Greater (a>b)
3.2837508,-0.9753588,Greater (a>b)
2.947266,0.32127,Greater (a>b)
3.3689294,-0.77585757,Greater (a>b)
3.3963685,-0.6172944,Greater (a>b)
3.5185556,0.94275,Greater (a>b)
3.0373573,-0.5439916,Greater (a>b)
3.546486,0.18677694,Greater (a>b)
3.28235,-0.11293802,Greater (a>b)
3.2632182,-0.36372432,Greater (a>b)
3.1327295,-0.9816171,Greater (a>b)
3.3428411,-0.4151903,Greater (a>b)
3.3152983,-0.25392312,Greater (a>b)
3.3727493,-0.47783196,Greater (a>b)
3.118009,2.0384657,Greater (a>b)
3.327608,-0.7883115,Greater (a>b)
3.4729817,1.3085419,Greater (a>b)
3.1521804,-0.018631572,Greater (a>b)
3.2474236,-0.54901516,Greater (a>b)
3.0078857,-0.0025246853,Greater (a>b)
3.6015246,1.889494,Greater (a>b)
3.648403,1.0427722,Greater (a>b)
3.7612026,1.094416,Greater (a>b)
3.1307392,-0.6246528,Greater (a>b)
2.9684477,-0.7964749,Greater (a>b)
2.0451713,-1.5946888,Greater (a>b)
2.9859095,-0.9320241,Greater (a>b)
2.814391,-0.51250476,Greater (a>b)
3.6254728,1.278903,Greater (a>b)
3.4563525,0.32006803,Greater (a>b)
3.630176,1.9388175,Greater (a>b)
-4.1712837,0.5075324,Greater (a>b)
3.2685323,-0.82308954,Greater (a>b)
3.2139916,-0.35816246,Greater (a>b)
3.371189,0.1681094,Greater (a>b)
3.6770825,0.6349007,Greater (a>b)
3.8099587,2.0387938,Greater (a>b)
3.3474693,-0.59957707,Greater (a>b)
3.2384446,0.21238558,Greater (a>b)
3.2828565,-0.5267241,Greater (a>b)
3.3218715,-0.5127795,Greater (a>b)
2.9401953,-1.0154036,Greater (a>b)
3.2068574,0.21682075,Greater (a>b)
3.724759,2.405024,Greater (a>b)
3.4702375,0.10395758,Greater (a>b)
3.2042484,-0.8030122,Greater (a>b)
-3.758915,-0.40306783,Less (b>a)
-3.583648,0.38260224,Less (b>a)
-2.855589,-0.17610538,Less (b>a)
-3.6543396,-0.45372742,Less (b>a)
-3.1209848,0.026772395,Less (b>a)
-3.5410721,-0.5740179,Less (b>a)
-3.141359,-0.3091881,Less (b>a)
-2.455326,-0.6618874,Less (b>a)
-2.586923,0.6361289,Less (b>a)
-3.109862,0.3137058,Less (b>a)
-2.6487193,-0.10109093,Less (b>a)
-2.5610023,-0.8621009,Less (b>a)
-2.3075533,-0.20699242,Less (b>a)
-3.383588,-0.40975577,Less (b>a)
-3.7460468,0.46200252,Less (b>a)
-3.1544738,0.09843744,Less (b>a)
-3.5044463,-0.45496804,Less (b>a)
-3.8927455,0.8468855,Less (b>a)
-1.8746278,-0.4160364,Less (b>a)
-3.5698273,-0.21574797,Less (b>a)
-3.863156,-0.7298537,Less (b>a)
-2.7187464,0.045582835,Less (b>a)
-3.242172,-0.58857423,Less (b>a)
