PC1,PC2,Class
-12.221656,-3.772223,Greater (a>b)
5.2394333,-2.343884,Greater (a>b)
6.7496614,3.377626,Greater (a>b)
-9.0424795,-2.9804082,Greater (a>b)
-2.9893415,-3.9571593,Greater (a>b)
-0.6940053,4.30173,Greater (a>b)
-0.57050776,-1.3717752,Greater (a>b)
3.8183823,0.98219985,Greater (a>b)
0.3341006,-4.4150977,Greater (a>b)
6.5561643,-2.5800166,Greater (a>b)
-2.8391597,-4.326502,Greater (a>b)
-4.6365294,6.585981,Greater (a>b)
1.5516255,0.043375462,Greater (a>b)
2.5456653,0.8766982,Greater (a>b)
2.573702,-1.5706192,Greater (a>b)
-12.011835,-10.309447,Greater (a>b)
-8.751845,0.49715626,Greater (a>b)
-2.5250785,-7.7678905,Greater (a>b)
4.963972,2.8780324,Greater (a>b)
2.6668644,2.8402722,Greater (a>b)
-0.09988182,3.9402971,Greater (a>b)
3.488687,-0.73657167,Greater (a>b)
-15.362744,1.5137817,Greater (a>b)
-1.8809801,3.3265283,Greater (a>b)
5.84272,0.89847696,Greater (a>b)
2.8422234,-5.9121556,Greater (a>b)
1.3929176,2.450935,Greater (a>b)
3.1674807,-4.743692,Greater (a>b)
-1.5560459,-3.8715396,Greater (a>b)
3.414846,-0.28392556,Greater (a>b)
-0.31379375,1.3310694,Greater (a>b)
-5.530634,4.238009,Greater (a>b)
0.1411445,1.427938,Greater (a>b)
2.7608662,0.60550207,Greater (a>b)
-6.955141,0.3124735,Greater (a>b)
6.8311553,-2.139422,Greater (a>b)
-0.9985662,-5.4278154,Greater (a>b)
-0.5517866,-3.3802974,Greater (a>b)
-3.443458,-2.6061685,Greater (a>b)
-0.86158156,-4.091252,Greater (a>b)
4.6827936,-0.45401597,Greater (a>b)
-0.67718697,3.7086072,Greater (a>b)
-9.49879,0.6551366,Greater (a>b)
-9.490186,3.7133958,Greater (a>b)
4.2561703,-0.33988687,Greater (a>b)
1.8766333,0.02478323,Greater (a>b)
6.012625,0.30112883,Greater (a>b)
1.6895258,-5.6652074,Greater (a>b)
1.8628179,2.2608523,Greater (a>b)
-2.4158206,-5.76972,Greater (a>b)
4.3447948,1.3243394,Greater (a>b)
-1.9968969,-1.2187136,Greater (a>b)
4.595005,2.1076398,Greater (a>b)
1.573096,-3.5128288,Greater (a>b)
2.9042356,0.76071656,Greater (a>b)
0.77622306,4.774286,Greater (a>b)
-1.0190818,-2.5540898,Greater (a>b)
2.7236714,0.88166434,Greater (a>b)
-7.683678,2.9020698,Greater (a>b)
1.4465469,-1.0933976,Greater (a>b)
4.866393,1.9012876,Greater (a>b)
0.8593671,-3.6928425,Greater (a>b)
7.0796,-0.3675035,Greater (a>b)
-4.307445,0.39395028,Greater (a>b)
1.8943626,1.7164582,Greater (a>b)
3.5952253,-0.5778526,Greater (a>b)
-10.362894,2.1710436,Greater (a>b)
2.6912773,1.6617306,Greater (a>b)
0.002695342,-4.9346514,Greater (a>b)
1.8638809,-0.60370874,Greater (a>b)
6.1856174,-3.6858017,Greater (a>b)
-12.200786,-0.19376065,Greater (a>b)
2.7821846,1.512776,Greater (a>b)
-5.992969,3.771112,Greater (a>b)
0.08519163,-6.2934976,Greater (a>b)
-2.3194387,-2.2445471,Greater (a>b)
6.6381483,-5.9673667,Greater (a>b)
4.6870885,1.5231905,Greater (a>b)
-1.2036107,2.100181,Greater (a>b)
4.204187,4.822561,Greater (a>b)
-0.7027313,1.3321033,Greater (a>b)
3.7038925,1.4433808,Greater (a>b)
-5.2081547,6.26826,Greater (a>b)
-2.2819421,-2.1055322,Greater (a>b)
-3.839723,-3.132491,Greater (a>b)
-19.482853,-4.8464317,Greater (a>b)
1.557936,1.9423126,Greater (a>b)
0.7910661,-4.238399,Greater (a>b)
-2.807985,-3.243124,Greater (a>b)
4.9788837,-5.399877,Greater (a>b)
-1.7572875,-7.3069444,Greater (a>b)
6.9058967,0.17109874,Greater (a>b)
6.1088305,-3.6499004,Greater (a>b)
-2.1024086,-1.2639107,Greater (a>b)
-2.1276531,1.3557994,Greater (a>b)
7.0643945,1.4036268,Greater (a>b)
0.61837465,-0.8564373,Greater (a>b)
7.091379,-6.2839837,Greater (a>b)
