PC1,PC2,Class
-0.52071375,0.11876191,Greater (a>b)
-0.48590943,-0.048896026,Greater (a>b)
-0.50893253,-0.011362055,Greater (a>b)
-0.4997994,0.0979234,Greater (a>b)
-0.4894531,-0.026984563,Greater (a>b)
-0.49225214,0.01272589,Greater (a>b)
-0.5422268,0.03511138,Greater (a>b)
-0.5079035,0.030001344,Greater (a>b)
-0.5111486,-0.0798198,Greater (a>b)
-0.55148095,-0.07407482,Greater (a>b)
-0.5094151,0.052958056,Greater (a>b)
-0.574104,0.016008034,Greater (a>b)
-0.50102663,-0.02803962,Greater (a>b)
-0.5233716,0.02557101,Greater (a>b)
-0.50020975,-0.03337762,Greater (a>b)
-0.40672216,0.032419585,Greater (a>b)
-0.50290054,0.09003097,Greater (a>b)
-0.45885485,0.019298105,Greater (a>b)
-0.19825296,0.05643548,Greater (a>b)
-0.5434975,-0.019871144,Greater (a>b)
-0.56816655,-5.1886578e-05,Greater (a>b)
-0.52537346,-0.07170055,Greater (a>b)
-0.59847546,0.035237778,Greater (a>b)
-0.52976835,0.00023927915,Greater (a>b)
-0.4475895,-0.006744598,Greater (a>b)
-0.51513404,-0.0931936,Greater (a>b)
-0.5139017,-0.04539904,Greater (a>b)
-0.47953162,-0.021652587,Greater (a>b)
-0.5426647,-0.037122913,Greater (a>b)
-0.5477079,-0.028718352,Greater (a>b)
-0.4910024,-0.054751933,Greater (a>b)
-0.54722875,0.017451288,Greater (a>b)
-0.52133006,-0.05842826,Greater (a>b)
-0.53942883,-0.0496884,Greater (a>b)
-0.5983108,0.04332129,Greater (a>b)
-0.55241764,-0.11645691,Greater (a>b)
-0.5111256,-0.03673117,Greater (a>b)
-0.51787454,-0.041574266,Greater (a>b)
-0.52194583,-0.00836375,Greater (a>b)
-0.51729476,0.02946879,Greater (a>b)
-0.50301325,-0.03509228,Greater (a>b)
-0.5699962,0.0029547068,Greater (a>b)
-0.4526377,-0.0436003,Greater (a>b)
-0.51064426,0.011086718,Greater (a>b)
-0.46716458,0.057008456,Greater (a>b)
-0.5294851,0.020381147,Greater (a>b)
-0.56133574,-0.10727908,Greater (a>b)
-0.55092865,-0.049622845,Greater (a>b)
-0.53707,-0.032735262,Greater (a>b)
-0.46672466,-0.015628727,Greater (a>b)
-0.4749798,-0.10558862,Greater (a>b)
-0.4555462,0.0419279,Greater (a>b)
-0.5121687,0.02246672,Greater (a>b)
-0.38255796,-0.07322326,Greater (a>b)
-0.5124256,-0.030279268,Greater (a>b)
-0.53877467,-0.01562154,Greater (a>b)
-0.52432144,-0.07201707,Greater (a>b)
-0.37756997,-0.0157291,Greater (a>b)
-0.5742574,-0.0037678564,Greater (a>b)
-0.5205749,-0.0812176,Greater (a>b)
-0.4878617,-0.050647918,Greater (a>b)
-0.5300377,-0.03405357,Greater (a>b)
-0.50807494,-0.07786204,Greater (a>b)
-0.5556314,0.08857529,Greater (a>b)
-0.52046853,0.0030408625,Greater (a>b)
-0.52190554,-0.023445606,Greater (a>b)
-0.50622004,0.06438537,Greater (a>b)
-0.5479982,-0.054945536,Greater (a>b)
-0.47268957,-0.039115064,Greater (a>b)
-0.4723722,-0.026323264,Greater (a>b)
-0.53703654,-0.11013488,Greater (a>b)
-0.43032223,0.092506886,Greater (a>b)
-0.46522924,-0.063968055,Greater (a>b)
-0.60353255,-0.015553469,Greater (a>b)
-0.49772513,-0.0397417,Greater (a>b)
-0.4793741,-0.031496987,Greater (a>b)
-0.5311141,-0.086844236,Greater (a>b)
-0.45805308,-0.010533459,Greater (a>b)
-0.57382214,0.0024473208,Greater (a>b)
-0.43764648,0.044672675,Greater (a>b)
-0.51640373,-0.0052392813,Greater (a>b)
-0.52475595,-0.0563928,Greater (a>b)
-0.5715983,-0.02157023,Greater (a>b)
-0.54188424,-0.053281352,Greater (a>b)
-0.5231576,-0.04506176,Greater (a>b)
-0.09458711,0.0064978185,Greater (a>b)
