PC1,PC2,Class
0.06162515,-0.2187715,Greater (a>b)
0.19740978,-0.053249933,Greater (a>b)
0.23107854,0.025652912,Greater (a>b)
0.09116611,-0.19365206,Greater (a>b)
0.16708045,-0.03662135,Greater (a>b)
0.17939201,-0.049409445,Greater (a>b)
0.20970495,-0.017712427,Greater (a>b)
0.24723408,-9.341126e-05,Greater (a>b)
0.21921134,0.07970948,Greater (a>b)
0.26408216,0.0857658,Greater (a>b)
0.1735249,0.02105971,Greater (a>b)
0.20818694,-0.042263053,Greater (a>b)
0.24175775,0.08256784,Greater (a>b)
0.17662415,-0.100357756,Greater (a>b)
0.19497225,0.01672734,Greater (a>b)
0.16247986,-0.01863202,Greater (a>b)
0.06171352,-0.3645998,Greater (a>b)
0.13551246,0.07609541,Greater (a>b)
-0.04483541,-0.22421975,Greater (a>b)
0.23376088,0.04486004,Greater (a>b)
0.18598703,-0.08599567,Greater (a>b)
0.17888743,0.021402419,Greater (a>b)
0.2047849,0.071890175,Greater (a>b)
0.22129859,0.028805856,Greater (a>b)
0.18915631,-0.020231534,Greater (a>b)
0.2089005,0.0033002233,Greater (a>b)
0.205143,-0.005748103,Greater (a>b)
0.17174345,-0.03437539,Greater (a>b)
0.2025522,0.05700246,Greater (a>b)
0.22787747,-0.030658064,Greater (a>b)
0.14807677,-0.1004008,Greater (a>b)
0.15179628,-0.069519274,Greater (a>b)
0.22576936,0.06442388,Greater (a>b)
0.24436858,0.013986878,Greater (a>b)
0.15755284,-0.17613384,Greater (a>b)
0.20636381,0.045624387,Greater (a>b)
0.17858227,0.009431853,Greater (a>b)
0.21336883,0.033905234,Greater (a>b)
0.22527336,0.14390601,Greater (a>b)
0.23209338,-0.12177505,Greater (a>b)
0.1901688,-0.13227503,Greater (a>b)
0.20677947,-0.047392797,Greater (a>b)
0.12092644,-0.09299302,Greater (a>b)
0.08743081,-0.20019095,Greater (a>b)
0.2111818,0.00057011365,Greater (a>b)
0.2102271,0.0792052,Greater (a>b)
0.23884405,-0.0081375595,Greater (a>b)
0.23158342,-0.017588222,Greater (a>b)
0.23877868,0.078404106,Greater (a>b)
0.15263568,-0.11712506,Greater (a>b)
0.20614222,0.03672915,Greater (a>b)
0.1549881,-0.054701928,Greater (a>b)
0.22973394,0.07320901,Greater (a>b)
0.15016477,0.04439769,Greater (a>b)
0.22416191,0.018049927,Greater (a>b)
0.2288367,0.017141193,Greater (a>b)
0.20271881,-0.09492246,Greater (a>b)
0.11540213,-0.12057868,Greater (a>b)
0.19137228,-0.060360406,Greater (a>b)
0.18713284,-0.07073798,Greater (a>b)
0.19416578,0.024979586,Greater (a>b)
0.20748529,-0.13530497,Greater (a>b)
0.2572307,0.12087997,Greater (a>b)
0.08691788,-0.20403211,Greater (a>b)
0.22245574,0.08771436,Greater (a>b)
0.25620228,0.022645535,Greater (a>b)
0.059393745,-0.2985622,Greater (a>b)
0.2305172,-0.030784242,Greater (a>b)
0.15957542,-0.010394423,Greater (a>b)
0.20971093,0.019022934,Greater (a>b)
0.2218819,-0.13377456,Greater (a>b)
0.13630985,-0.10302329,Greater (a>b)
0.1367316,-0.11824754,Greater (a>b)
0.15148392,-0.10228299,Greater (a>b)
0.18816988,0.067129344,Greater (a>b)
0.14065218,-0.10326998,Greater (a>b)
0.1999823,-0.023872362,Greater (a>b)
0.16979396,0.07654908,Greater (a>b)
0.1649994,-0.20377564,Greater (a>b)
0.048439823,-0.28779063,Greater (a>b)
0.22560978,-0.03310599,Greater (a>b)
0.23573929,0.08368054,Greater (a>b)
0.16942196,-0.22469485,Greater (a>b)
0.23426591,0.12514651,Greater (a>b)
0.17444992,-0.09226044,Greater (a>b)
-0.22396272,-0.34960577,Greater (a>b)
0.22283791,0.04606446,Greater (a>b)
0.21572061,-0.0077519706,Greater (a>b)
0.1632379,-0.10132102,Greater (a>b)
0.21757278,-0.010461132,Greater (a>b)
0.20783012,-0.034491323,Greater (a>b)
0.22467704,0.058939803,Greater (a>b)
0.18579961,-0.028822478,Greater (a>b)
0.18302079,-0.03192353,Greater (a>b)
0.16175857,-0.14269596,Greater (a>b)
0.19986479,0.006465955,Greater (a>b)
0.19862759,-0.08639397,Greater (a>b)
0.18229279,-0.0057599596,Greater (a>b)
0.19922395,0.12511666,Greater (a>b)
0.24696648,0.00915619,Greater (a>b)
-0.13083136,0.027420819,Less (b>a)
-0.072568186,0.15481548,Less (b>a)
-0.22093889,0.0152481375,Less (b>a)
-0.28040284,-0.10964888,Less (b>a)
-0.21058153,0.15315261,Less (b>a)
