PC1,PC2,Class
0.62493956,-0.35467744,Greater (a>b)
0.12896918,0.3130496,Greater (a>b)
-0.21453102,0.01594342,Greater (a>b)
0.81016666,-0.12486238,Greater (a>b)
0.04377081,-0.05245905,Greater (a>b)
-0.3457294,0.030510752,Greater (a>b)
0.01874231,0.12805627,Greater (a>b)
-0.3383651,0.12384436,Greater (a>b)
-0.14925337,-0.048888005,Greater (a>b)
-0.20444949,0.03764527,Greater (a>b)
0.060730223,0.20051314,Greater (a>b)
-0.31017435,-0.10055537,Greater (a>b)
-0.12176731,0.25268787,Greater (a>b)
-0.15587716,-0.22961606,Greater (a>b)
-0.117608346,0.18858051,Greater (a>b)
0.34919763,0.044159837,Greater (a>b)
0.5876341,-0.32542744,Greater (a>b)
0.1600728,-0.045770723,Greater (a>b)
0.18500483,0.27644554,Greater (a>b)
0.07242709,0.2270641,Greater (a>b)
-0.17888023,-0.09063474,Greater (a>b)
-0.13959518,0.16929936,Greater (a>b)
0.7675433,-0.15495278,Greater (a>b)
0.52924067,0.8019978,Greater (a>b)
0.3727601,0.40584096,Greater (a>b)
-0.18262613,-0.07985826,Greater (a>b)
-0.12632312,-0.10831179,Greater (a>b)
-0.20962092,-0.16028298,Greater (a>b)
0.087373964,0.14906418,Greater (a>b)
0.016335383,0.08997057,Greater (a>b)
-0.014212887,0.066700116,Greater (a>b)
0.0673227,0.12954989,Greater (a>b)
-0.32573226,-0.02916364,Greater (a>b)
-0.12860577,0.36818427,Greater (a>b)
0.45353228,-0.35320243,Greater (a>b)
-0.24363407,0.043222062,Greater (a>b)
-0.13579653,-0.13272135,Greater (a>b)
-0.1887111,0.13038507,Greater (a>b)
0.023908766,-0.077344716,Greater (a>b)
0.25635463,0.24917339,Greater (a>b)
-0.17055908,0.074271984,Greater (a>b)
-0.24419266,-0.1642636,Greater (a>b)
0.40280777,0.28126982,Greater (a>b)
0.62057567,-0.17434031,Greater (a>b)
0.2460496,0.29655063,Greater (a>b)
-0.17725025,0.062431503,Greater (a>b)
-0.3522574,-0.09074109,Greater (a>b)
-0.050467715,0.019360628,Greater (a>b)
-0.13959438,0.08763366,Greater (a>b)
0.13723217,-0.20735008,Greater (a>b)
-0.1876812,0.031654146,Greater (a>b)
-0.08579655,-0.12899485,Greater (a>b)
-0.16565454,0.18182644,Greater (a>b)
-0.018815055,0.09148399,Greater (a>b)
-0.13051036,0.14533372,Greater (a>b)
-0.03742518,0.023450123,Greater (a>b)
0.06907883,-0.11840961,Greater (a>b)
0.058356915,0.24108048,Greater (a>b)
0.14509676,-0.17738588,Greater (a>b)
0.12982877,0.09902008,Greater (a>b)
-0.26287657,-0.104195155,Greater (a>b)
-0.24283607,-0.19081539,Greater (a>b)
-0.45124424,-0.0036568209,Greater (a>b)
0.3062479,-0.43142986,Greater (a>b)
-0.021215094,0.12936828,Greater (a>b)
-0.20188168,-0.0026371216,Greater (a>b)
1.0015193,-0.037671357,Greater (a>b)
-0.113447644,-0.023011984,Greater (a>b)
-0.13418038,-0.10606585,Greater (a>b)
-0.18032217,0.055942494,Greater (a>b)
-0.1318935,-0.17068446,Greater (a>b)
0.22345528,0.06369721,Greater (a>b)
-0.16578916,0.030505253,Greater (a>b)
0.11273277,-0.35110587,Greater (a>b)
-0.13287252,-0.26307285,Greater (a>b)
0.4972738,0.2755235,Greater (a>b)
-0.16637461,0.23396756,Greater (a>b)
-0.20066622,0.15894689,Greater (a>b)
0.32091185,-0.1559124,Greater (a>b)
0.0036287226,0.07889505,Greater (a>b)
0.032584768,0.20391317,Greater (a>b)
-0.4201949,-0.023950793,Greater (a>b)
-0.041856155,-0.00023004132,Greater (a>b)
0.06601215,-0.018115578,Greater (a>b)
0.14750853,0.046933986,Greater (a>b)
0.9514252,0.11412986,Greater (a>b)
-0.044758257,0.29666114,Greater (a>b)
0.13817658,0.27896544,Greater (a>b)
0.024119861,0.2086288,Greater (a>b)
-0.25165445,0.26576486,Greater (a>b)
-0.1336339,-0.03714803,Greater (a>b)
-0.30058888,0.016242504,Greater (a>b)
-0.14443734,-0.08373285,Greater (a>b)
0.046464395,-0.080504596,Greater (a>b)
0.23849653,-0.119799465,Greater (a>b)
-0.2763224,-0.04470882,Greater (a>b)
-0.013581857,-0.2090489,Greater (a>b)
-0.108350694,-0.17930326,Greater (a>b)
-0.17233525,-0.031139884,Greater (a>b)
0.07305627,0.15444647,Greater (a>b)
0.5436391,-0.2916507,Less (b>a)
0.09982113,0.21185155,Less (b>a)
-0.035403855,0.07092088,Less (b>a)
0.2922462,-0.50877196,Less (b>a)
-0.075439386,-0.19661166,Less (b>a)
-0.029100798,0.09847817,Less (b>a)
-0.05087563,0.2542992,Less (b>a)
-0.11082499,0.23333369,Less (b>a)
-0.20458433,-0.2029933,Less (b>a)
-0.1080937,0.26844245,Less (b>a)
0.050256323,0.12462297,Less (b>a)
-0.051832817,-0.046985906,Less (b>a)
-0.13417639,0.09936787,Less (b>a)
-0.17899877,-0.005499113,Less (b>a)
-0.20189539,0.15620406,Less (b>a)
0.11120286,-0.0024961252,Less (b>a)
0.4094803,-0.5005649,Less (b>a)
0.10183297,-0.31819662,Less (b>a)
0.023544371,0.18195795,Less (b>a)
-0.094268285,-0.011922933,Less (b>a)
-0.18647939,-0.11266772,Less (b>a)
-0.12607768,-0.14040482,Less (b>a)
0.81004155,-0.061098855,Less (b>a)
-0.008331654,0.17105421,Less (b>a)
