PC1,PC2,Class
4.738838,-2.857065,Greater (a>b)
5.326175,0.038135383,Greater (a>b)
6.780742,1.7374718,Greater (a>b)
5.1562223,-1.2228773,Greater (a>b)
6.2552185,-1.598997,Greater (a>b)
6.3067794,-0.2296365,Greater (a>b)
6.737298,0.8044274,Greater (a>b)
7.258502,0.4480623,Greater (a>b)
6.063306,2.6974719,Greater (a>b)
7.165009,1.9364696,Greater (a>b)
4.799242,0.22120906,Greater (a>b)
8.1874,0.45125774,Greater (a>b)
6.215782,2.3842878,Greater (a>b)
6.648472,-2.0794392,Greater (a>b)
5.661001,0.6104758,Greater (a>b)
4.8030653,0.5007587,Greater (a>b)
5.914923,-5.7584314,Greater (a>b)
4.500495,0.8713387,Greater (a>b)
1.4051626,-5.4734015,Greater (a>b)
6.9540024,1.626551,Greater (a>b)
7.3659415,1.3803709,Greater (a>b)
6.1749454,-0.36362314,Greater (a>b)
7.48467,4.1917562,Greater (a>b)
6.0992937,3.66642,Greater (a>b)
4.9125853,1.8864633,Greater (a>b)
6.710481,0.40802574,Greater (a>b)
7.0583754,1.2707682,Greater (a>b)
5.9143987,-0.8116631,Greater (a>b)
6.0469785,2.7508054,Greater (a>b)
6.8275776,-0.9834116,Greater (a>b)
6.399294,-4.7095146,Greater (a>b)
7.1576753,-1.9956645,Greater (a>b)
6.774279,2.705648,Greater (a>b)
6.6983824,1.2694341,Greater (a>b)
7.401776,-4.6375895,Greater (a>b)
6.784439,2.9636033,Greater (a>b)
5.9934883,2.0299098,Greater (a>b)
5.92291,1.757931,Greater (a>b)
6.4740496,4.345558,Greater (a>b)
7.680525,-2.617487,Greater (a>b)
6.2632766,-3.609744,Greater (a>b)
7.537531,1.1932184,Greater (a>b)
4.4837832,0.77312696,Greater (a>b)
5.1535993,-1.5882865,Greater (a>b)
6.1704593,-0.2961416,Greater (a>b)
7.073265,3.5620072,Greater (a>b)
7.03573,-0.37004995,Greater (a>b)
6.9271274,-1.4322665,Greater (a>b)
7.7091975,3.5466704,Greater (a>b)
4.977366,-2.0907552,Greater (a>b)
6.587301,1.4925914,Greater (a>b)
5.6645007,-0.32926142,Greater (a>b)
5.2498574,2.560843,Greater (a>b)
3.5436516,1.4533446,Greater (a>b)
7.1205416,0.6518171,Greater (a>b)
7.9543366,1.3465875,Greater (a>b)
6.7476735,-2.0354834,Greater (a>b)
4.156194,-2.0797791,Greater (a>b)
7.474718,0.63365954,Greater (a>b)
6.278241,-0.6339199,Greater (a>b)
6.0187674,2.5423365,Greater (a>b)
6.871987,-4.124815,Greater (a>b)
6.439949,1.9806982,Greater (a>b)
6.04749,-2.6422586,Greater (a>b)
6.6793666,2.8202474,Greater (a>b)
7.8173327,0.6971226,Greater (a>b)
5.395343,-3.2001147,Greater (a>b)
7.072004,-0.28487897,Greater (a>b)
5.924932,0.086435534,Greater (a>b)
6.543076,1.4757245,Greater (a>b)
7.786589,-2.627358,Greater (a>b)
5.5689816,-0.37478673,Greater (a>b)
5.9621463,-2.8219893,Greater (a>b)
6.843534,-1.8799154,Greater (a>b)
5.8198786,-0.7763572,Greater (a>b)
5.4458876,-1.2762802,Greater (a>b)
5.5431566,-1.0515949,Greater (a>b)
4.781811,3.221409,Greater (a>b)
7.248884,-2.8232179,Greater (a>b)
4.768489,-5.4227576,Greater (a>b)
7.064451,0.07893576,Greater (a>b)
6.9011884,3.5998838,Greater (a>b)
7.5361333,-3.761427,Greater (a>b)
6.356136,3.3245358,Greater (a>b)
5.9996653,0.2055038,Greater (a>b)
-0.5750191,-4.076127,Greater (a>b)
6.2873015,2.0641181,Greater (a>b)
5.630643,0.7248186,Greater (a>b)
5.9889607,-2.0308015,Greater (a>b)
6.668909,0.12392774,Greater (a>b)
6.628512,-0.9437397,Greater (a>b)
7.075079,2.2009354,Greater (a>b)
5.875737,-0.008317274,Greater (a>b)
6.524684,1.3384975,Greater (a>b)
6.695831,-3.7293549,Greater (a>b)
6.572671,-0.49245587,Greater (a>b)
7.1312275,-1.9250628,Greater (a>b)
5.696582,-0.8755249,Greater (a>b)
6.106788,3.6015313,Greater (a>b)
7.9465084,0.8755104,Greater (a>b)
-3.1525896,1.6240577,Less (b>a)
-6.5708866,2.0648272,Less (b>a)
-6.744339,-1.7777781,Less (b>a)
-6.164573,-3.253474,Less (b>a)
-7.3949876,2.6156719,Less (b>a)
-5.866311,0.92548144,Less (b>a)
-6.277704,0.65900797,Less (b>a)
-5.732793,-1.7303892,Less (b>a)
-7.2089868,2.077056,Less (b>a)
-7.122087,0.4194878,Less (b>a)
-6.5803576,-3.1757872,Less (b>a)
-6.303533,0.090477884,Less (b>a)
-5.522765,-0.27923772,Less (b>a)
-6.193294,-0.84224004,Less (b>a)
-6.564077,2.2126112,Less (b>a)
-6.624449,2.3552258,Less (b>a)
-4.266309,-3.7928965,Less (b>a)
-7.280071,-1.4531962,Less (b>a)
-6.775408,-3.754816,Less (b>a)
-7.3917675,1.6047645,Less (b>a)
-5.6176257,0.66561425,Less (b>a)
-5.935864,-3.8777194,Less (b>a)
-2.266375,-2.3780327,Less (b>a)
-7.538589,-1.7272148,Less (b>a)
-6.608585,-0.014845214,Less (b>a)
-7.7127724,-1.2667625,Less (b>a)
-6.5939727,-0.027038787,Less (b>a)
-5.9910574,4.8060236,Less (b>a)
-6.581376,-2.147021,Less (b>a)
-6.621242,-0.5144143,Less (b>a)
-6.5724053,-0.268556,Less (b>a)
-5.693634,-0.4452327,Less (b>a)
-7.3591933,-0.4958488,Less (b>a)
-5.0435696,0.7753444,Less (b>a)
-7.903602,-2.5743892,Less (b>a)
-6.768114,0.34562618,Less (b>a)
-7.447698,0.08129755,Less (b>a)
-6.5419493,5.1339583,Less (b>a)
-6.8804626,-0.3556392,Less (b>a)
-5.680756,-4.8833447,Less (b>a)
-6.2648916,1.3969828,Less (b>a)
-6.8819656,-3.239765,Less (b>a)
-5.2265882,2.200147,Less (b>a)
-5.7370763,1.0396667,Less (b>a)
-6.6202145,0.089669265,Less (b>a)
-6.5515785,2.3967118,Less (b>a)
-6.653801,2.2610388,Less (b>a)
-6.700893,-1.0963123,Less (b>a)
-6.608634,2.868772,Less (b>a)
-7.2944484,0.43891123,Less (b>a)
-6.810888,1.0867997,Less (b>a)
-6.0313754,-1.8982878,Less (b>a)
-6.130537,2.043099,Less (b>a)
-6.7885942,-1.1558955,Less (b>a)
-7.155965,1.5620179,Less (b>a)
-6.8875327,1.0019703,Less (b>a)
-5.274149,0.18523985,Less (b>a)
-5.637522,1.1291133,Less (b>a)
-4.37004,-1.7823421,Less (b>a)
-6.971908,2.3234525,Less (b>a)
-6.1563716,1.2930727,Less (b>a)
-7.135182,3.0387816,Less (b>a)
-6.6700263,-0.856226,Less (b>a)
-4.8023877,-3.722997,Less (b>a)
-6.76551,2.1786735,Less (b>a)
-6.838429,4.5298233,Less (b>a)
-2.2373672,-4.4203115,Less (b>a)
-6.844318,2.5861127,Less (b>a)
-6.627845,1.2665409,Less (b>a)
-6.3968296,1.433367,Less (b>a)
-6.4172277,-2.5414119,Less (b>a)
-4.364981,-5.229902,Less (b>a)
-6.67067,-0.2974651,Less (b>a)
-6.9251065,0.07112614,Less (b>a)
-7.1917653,-2.0480788,Less (b>a)
-0.41886294,4.723746,Less (b>a)
-7.284427,0.5833153,Less (b>a)
-5.8315697,3.6663525,Less (b>a)
-5.065374,-2.9791577,Less (b>a)
-6.2002807,-4.1427827,Less (b>a)
-6.509599,-0.99726737,Less (b>a)
-4.828688,4.8712873,Less (b>a)
-5.1993833,-2.4684641,Less (b>a)
-7.2198997,-0.18511531,Less (b>a)
-6.7577586,-1.1185493,Less (b>a)
-5.366193,-1.4631377,Less (b>a)
-5.050368,4.060762,Less (b>a)
-6.1428123,4.7409,Less (b>a)
-4.94831,-3.321364,Less (b>a)
-7.520447,-0.285766,Less (b>a)
-6.954039,2.6758132,Less (b>a)
-6.21918,2.9818401,Less (b>a)
-6.977806,-1.591377,Less (b>a)
-6.483823,-3.940324,Less (b>a)
-7.2095127,-2.9660048,Less (b>a)
-6.2564263,0.25296387,Less (b>a)
-6.0587387,1.2623874,Less (b>a)
-5.749714,-2.7543461,Less (b>a)
-7.3640957,1.787344,Less (b>a)
