Head,LogitDiff
Layer28Head5,0.0704544261097908
Layer28Head10,0.061479683965444565
Layer31Head3,0.05952667444944382
Layer30Head1,0.04526412859559059
Layer31Head1,0.04384802654385567
Layer30Head27,0.04312274605035782
Layer30Head26,0.03987070545554161
Layer21Head9,0.035337552428245544
Layer31Head24,0.033711861819028854
Layer13Head7,0.03077283315360546
Layer31Head26,0.030467486009001732
Layer26Head23,0.016431622207164764
Layer18Head26,0.016027892008423805
Layer26Head17,0.014196042902767658
Layer14Head3,0.010382212698459625
Layer17Head20,0.006654546596109867
Layer26Head3,0.006376056000590324
Layer14Head1,0.005235596559941769
Layer25Head23,0.0050560347735881805
Layer28Head18,0.004450179636478424
Layer14Head24,0.004128774628043175
Layer18Head29,0.0030196886509656906
Layer16Head21,0.003008275292813778
Layer31Head14,0.002509581856429577
Layer12Head6,0.001356799155473709
Layer20Head9,-0.00019715167582035065
Layer16Head29,-0.00025541894137859344
Layer17Head21,-0.0004985714331269264
Layer26Head19,-0.0018758829683065414
Layer30Head6,-0.002431201282888651
Layer15Head13,-0.0024411818012595177
Layer30Head15,-0.002695447765290737
Layer30Head2,-0.002932850271463394
Layer14Head28,-0.0029454007744789124
Layer14Head18,-0.00313415564596653
Layer27Head8,-0.0031907684169709682
Layer26Head21,-0.0033657411113381386
Layer26Head15,-0.0033925026655197144
Layer15Head10,-0.0036333436146378517
Layer18Head31,-0.0037461966276168823
Layer24Head25,-0.004210811108350754
Layer30Head29,-0.004771290812641382
Layer16Head0,-0.004990356042981148
Layer18Head20,-0.005035873502492905
Layer13Head28,-0.005083941854536533
Layer25Head20,-0.005494041368365288
Layer13Head19,-0.005518681835383177
Layer15Head23,-0.005660421214997768
Layer16Head13,-0.005676821805536747
Layer18Head28,-0.005682321265339851
Layer15Head11,-0.005717725493013859
Layer30Head13,-0.005879067815840244
Layer27Head6,-0.005950055085122585
Layer19Head0,-0.006017377134412527
Layer30Head9,-0.006041384302079678
Layer18Head0,-0.00604722835123539
Layer27Head13,-0.0060902805998921394
Layer14Head13,-0.006177782081067562
Layer14Head31,-0.006279223598539829
Layer14Head12,-0.006368234753608704
Layer16Head4,-0.006410679314285517
Layer30Head12,-0.006424989551305771
Layer25Head28,-0.006426983047276735
Layer12Head24,-0.006740238983184099
Layer13Head9,-0.006901629269123077
Layer15Head20,-0.006963478401303291
Layer15Head6,-0.007178289815783501
Layer17Head31,-0.007189103402197361
Layer12Head9,-0.0072373440489172935
Layer17Head27,-0.007439993321895599
Layer16Head26,-0.007488366682082415
Layer24Head13,-0.007516996469348669
Layer13Head4,-0.00758000835776329
Layer30Head22,-0.007703257724642754
Layer25Head12,-0.007719414308667183
Layer23Head28,-0.007853196933865547
Layer28Head8,-0.007916216738522053
Layer27Head21,-0.007975565269589424
Layer21Head2,-0.008019911125302315
Layer26Head12,-0.008136354386806488
Layer30Head24,-0.008148076012730598
Layer31Head20,-0.008206088095903397
Layer20Head8,-0.008280177600681782
Layer20Head29,-0.008311507292091846
Layer27Head11,-0.008363507688045502
Layer19Head11,-0.008370958268642426
Layer13Head17,-0.008501327596604824
Layer22Head28,-0.008511110208928585
Layer17Head5,-0.00851677916944027
Layer27Head28,-0.00853003654628992
Layer17Head7,-0.008546198718249798
Layer25Head18,-0.00855147186666727
Layer13Head11,-0.008557863533496857
Layer23Head14,-0.008565431460738182
Layer22Head24,-0.00869021750986576
Layer11Head16,-0.008715622127056122
Layer20Head28,-0.008726498112082481
Layer14Head16,-0.008819217793643475
Layer31Head28,-0.00893311109393835
Layer24Head16,-0.008941521868109703
Layer13Head8,-0.008957674726843834
Layer10Head23,-0.0089788306504488
Layer23Head22,-0.009039062075316906
Layer13Head13,-0.009088356979191303
Layer30Head10,-0.009133188053965569
Layer23Head24,-0.009143094532191753
Layer12Head26,-0.009157473221421242
