PC1,PC2,Class
-1.0835465,-0.1152786,Greater (a>b)
-1.052656,0.30811533,Greater (a>b)
-1.5763084,0.004886476,Greater (a>b)
-1.0839527,-0.21919264,Greater (a>b)
-1.3987324,0.13098384,Greater (a>b)
-1.7250757,-0.5497394,Greater (a>b)
-1.2974836,-0.15180151,Greater (a>b)
-0.8416922,0.014620096,Greater (a>b)
-1.2048271,0.5184178,Greater (a>b)
-1.2887644,0.2342892,Greater (a>b)
-1.6396596,-0.28941223,Greater (a>b)
-1.7051412,-0.23024744,Greater (a>b)
-1.461738,0.16854832,Greater (a>b)
-1.4441271,0.010744023,Greater (a>b)
-1.5981734,-0.11982547,Greater (a>b)
-1.3484244,0.08523027,Greater (a>b)
-1.257182,-0.14055222,Greater (a>b)
-0.6595752,0.8767592,Greater (a>b)
-1.0127761,0.5436737,Greater (a>b)
-1.6324109,-0.23109047,Greater (a>b)
-1.6577858,-0.5318427,Greater (a>b)
-1.6060009,-0.33777726,Greater (a>b)
-1.5188843,-0.5632282,Greater (a>b)
-1.6838708,-0.1698731,Greater (a>b)
-1.5241616,-0.34489387,Greater (a>b)
-1.4064834,-0.022424478,Greater (a>b)
-1.5663503,-0.25222972,Greater (a>b)
-1.2626736,0.23302026,Greater (a>b)
-1.2110494,0.49280918,Greater (a>b)
-1.3350729,0.0034125543,Greater (a>b)
-1.3903459,0.025309512,Greater (a>b)
-1.1778543,0.04006902,Greater (a>b)
-1.5739529,-0.054227628,Greater (a>b)
-0.90798664,0.6118125,Greater (a>b)
-1.5821695,-0.2527812,Greater (a>b)
-1.2930582,0.44749686,Greater (a>b)
-1.1344234,0.5122556,Greater (a>b)
-1.4335551,-0.22045909,Greater (a>b)
-1.5993962,-0.16528483,Greater (a>b)
-1.6733333,-0.23438399,Greater (a>b)
-1.348502,0.3343894,Greater (a>b)
-1.3585868,-0.2117743,Greater (a>b)
-1.450468,-0.20980388,Greater (a>b)
-0.9550436,-0.061977234,Greater (a>b)
-1.7431972,-0.45458344,Greater (a>b)
-1.401755,-0.019702563,Greater (a>b)
-1.0986191,0.56845,Greater (a>b)
-1.0052097,0.41989127,Greater (a>b)
-1.7781721,-0.5265543,Greater (a>b)
-1.5875738,-0.2821776,Greater (a>b)
-1.4096409,0.04111355,Greater (a>b)
-0.4945351,1.2769748,Greater (a>b)
-1.1579316,0.5779941,Greater (a>b)
-0.74360716,0.6371764,Greater (a>b)
-1.3601748,0.28672117,Greater (a>b)
-1.5727715,-0.5220047,Greater (a>b)
-1.6697046,-0.3146731,Greater (a>b)
-1.4327954,-0.2027078,Greater (a>b)
-1.6527213,-0.5523779,Greater (a>b)
-1.6535939,-0.083008595,Greater (a>b)
-1.2039423,0.2841767,Greater (a>b)
-1.3010019,0.041868486,Greater (a>b)
-1.3182715,0.28105268,Greater (a>b)
-1.3519527,-0.25871134,Greater (a>b)
-1.40849,-0.013928614,Greater (a>b)
-1.2926154,0.1915543,Greater (a>b)
-1.2833991,-0.3777774,Greater (a>b)
-1.0723499,0.47064844,Greater (a>b)
-0.8418449,0.8223913,Greater (a>b)
-1.461781,-0.01350294,Greater (a>b)
-0.9320347,0.77355474,Greater (a>b)
-0.871376,0.05712508,Greater (a>b)
-1.1557436,0.6650641,Greater (a>b)
-1.6291628,-0.39841026,Greater (a>b)
-0.86691105,0.92266554,Greater (a>b)
-0.96967006,0.46023253,Greater (a>b)
-0.9953156,0.71214193,Greater (a>b)
-1.569478,0.0776896,Greater (a>b)
-1.0626042,0.6773827,Greater (a>b)
-1.5665126,-0.19253659,Greater (a>b)
-1.1113148,0.728602,Greater (a>b)
-1.6131995,-0.17612949,Greater (a>b)
-1.6821162,-0.3969761,Greater (a>b)
-1.26849,0.2907548,Greater (a>b)
-1.4305921,-0.0005089411,Greater (a>b)
0.28335968,-0.055240817,Greater (a>b)
-1.4828471,-0.09337588,Greater (a>b)
-1.2845007,-0.09169967,Greater (a>b)
-1.4009439,-0.23547728,Greater (a>b)
-1.4001616,-0.04912606,Greater (a>b)
-0.8768592,0.51782393,Greater (a>b)
-1.6630727,-0.5920778,Greater (a>b)
-1.1934135,0.012226822,Greater (a>b)
-1.5692832,-0.14134945,Greater (a>b)
-1.5322634,0.06415524,Greater (a>b)
-1.4458144,0.08023789,Greater (a>b)
-1.3365881,-0.13200924,Greater (a>b)
-0.8111564,0.54461503,Greater (a>b)
-1.4143327,0.08212672,Greater (a>b)
-1.6561035,-0.5492378,Greater (a>b)
1.4030294,-0.54421276,Less (b>a)
1.376889,-0.14301923,Less (b>a)
0.99863315,-0.34439003,Less (b>a)
0.76003563,-0.7229041,Less (b>a)
1.9277257,0.075962484,Less (b>a)
0.64930373,-0.11111577,Less (b>a)
1.3058473,0.15457246,Less (b>a)
1.1686187,-0.23279095,Less (b>a)
1.7432536,-0.016975874,Less (b>a)
0.96714634,0.08778126,Less (b>a)
1.3376588,0.03163484,Less (b>a)
0.93882245,-0.5539961,Less (b>a)
0.4684018,-0.106202,Less (b>a)
1.2116033,-0.034477737,Less (b>a)
1.7098074,0.072986275,Less (b>a)
0.9137823,-0.551853,Less (b>a)
1.8790473,-0.44104424,Less (b>a)
1.5572248,-0.2409679,Less (b>a)
1.3829007,-0.0728415,Less (b>a)
1.0700969,-0.13122098,Less (b>a)
1.4376528,-0.37310117,Less (b>a)
0.7643575,0.016308023,Less (b>a)
0.46433526,-0.67232746,Less (b>a)
1.7852578,-0.15303238,Less (b>a)
0.7816006,-0.4284803,Less (b>a)
1.2780833,0.0072708935,Less (b>a)
0.8299249,-0.020785434,Less (b>a)
2.1102083,0.18806027,Less (b>a)
1.2662569,-0.11194887,Less (b>a)
0.9675849,-0.01743123,Less (b>a)
1.2033668,0.014519603,Less (b>a)
0.70172054,-0.5242999,Less (b>a)
1.4346887,-0.031224485,Less (b>a)
1.3394564,0.8220705,Less (b>a)
1.0325114,-0.5902716,Less (b>a)
1.8983784,0.17472653,Less (b>a)
1.1054386,-0.23075242,Less (b>a)
0.8383605,-0.14514071,Less (b>a)
1.2842882,-0.30759156,Less (b>a)
0.7226919,-0.09733935,Less (b>a)
1.6269281,0.60358447,Less (b>a)
0.8224608,-0.6246257,Less (b>a)
0.061548084,0.12016939,Less (b>a)
1.0767136,-0.45605066,Less (b>a)
1.4351228,-0.17640147,Less (b>a)
0.83030087,-0.4220541,Less (b>a)
1.5417478,0.14503223,Less (b>a)
1.1338726,0.5432477,Less (b>a)
0.8796558,-0.43387902,Less (b>a)
2.4069135,-0.2243969,Less (b>a)
1.7127739,0.037402414,Less (b>a)
1.4288836,0.49959704,Less (b>a)
1.3987459,0.083473675,Less (b>a)
0.9224768,0.11651261,Less (b>a)
1.3177961,0.21410473,Less (b>a)
1.5720009,0.12362846,Less (b>a)
1.3853993,0.105096236,Less (b>a)
1.55877,-0.12508492,Less (b>a)
1.2197117,-0.47216114,Less (b>a)
1.3238691,0.116008066,Less (b>a)
1.5592521,-0.1326996,Less (b>a)
0.65482545,-0.029893672,Less (b>a)
1.2023382,0.38113433,Less (b>a)
0.9165499,-0.6595552,Less (b>a)
1.4618255,0.007704285,Less (b>a)
1.3846213,0.3545326,Less (b>a)
1.6228265,-0.56950456,Less (b>a)
1.238729,0.2280405,Less (b>a)
1.5410662,-0.043684844,Less (b>a)
1.9246719,0.14313646,Less (b>a)
1.9949379,0.7299208,Less (b>a)
0.5103588,-0.4574837,Less (b>a)
1.6690682,0.67644346,Less (b>a)
1.2545192,-0.29918823,Less (b>a)
2.008026,0.50788593,Less (b>a)
1.81135,0.4119744,Less (b>a)
1.1993818,0.033980675,Less (b>a)
1.6035647,-0.13031662,Less (b>a)
1.412664,-0.123083346,Less (b>a)
0.81064564,-0.19924115,Less (b>a)
1.4763911,0.4936493,Less (b>a)
2.01485,0.020584466,Less (b>a)
1.3489524,-0.16732875,Less (b>a)
1.6175238,-0.17444682,Less (b>a)
1.7400763,0.23788475,Less (b>a)
1.5595429,-0.6130749,Less (b>a)
1.4388489,0.14327854,Less (b>a)
1.5882001,-0.05308545,Less (b>a)
1.5994273,-0.173502,Less (b>a)
1.3776685,0.078279994,Less (b>a)
2.419609,0.48022988,Less (b>a)
