PC1,PC2,Class
32.42655,36.689056,Greater (a>b)
33.31164,-1.2390529,Greater (a>b)
44.74735,-5.656308,Greater (a>b)
28.621687,32.810825,Greater (a>b)
39.486668,6.3766775,Greater (a>b)
39.789978,-2.1310768,Greater (a>b)
29.36039,-7.0302835,Greater (a>b)
19.750216,-7.1217003,Greater (a>b)
40.097897,7.113123,Greater (a>b)
35.984848,-11.294149,Greater (a>b)
43.851067,-0.0464645,Greater (a>b)
45.841404,4.7729077,Greater (a>b)
40.271954,-8.96866,Greater (a>b)
38.483723,-6.2337637,Greater (a>b)
43.098873,-1.0620469,Greater (a>b)
43.194817,21.003973,Greater (a>b)
34.162815,25.128057,Greater (a>b)
29.335955,0.2450218,Greater (a>b)
33.127575,-10.441961,Greater (a>b)
43.82093,2.342944,Greater (a>b)
39.314034,3.6007798,Greater (a>b)
40.87135,-1.5830796,Greater (a>b)
35.574753,26.497671,Greater (a>b)
49.393257,9.14302,Greater (a>b)
38.65787,3.1525028,Greater (a>b)
37.8719,-9.939952,Greater (a>b)
39.793365,-8.558577,Greater (a>b)
35.279907,-1.6888524,Greater (a>b)
38.585575,1.41894,Greater (a>b)
36.978683,-5.6467524,Greater (a>b)
38.97015,-10.539366,Greater (a>b)
33.58124,11.85356,Greater (a>b)
42.43463,-0.8473615,Greater (a>b)
31.157152,-13.344536,Greater (a>b)
44.039013,22.990526,Greater (a>b)
41.389305,-5.363197,Greater (a>b)
36.54749,0.35371992,Greater (a>b)
35.348408,0.3619297,Greater (a>b)
42.97917,3.2577398,Greater (a>b)
44.605854,5.3502383,Greater (a>b)
38.4816,-19.329357,Greater (a>b)
33.17909,6.0355077,Greater (a>b)
34.332794,-9.236702,Greater (a>b)
26.416182,26.48526,Greater (a>b)
41.794907,-3.1436992,Greater (a>b)
38.29223,-1.577095,Greater (a>b)
35.35715,-18.961046,Greater (a>b)
33.490555,-10.940197,Greater (a>b)
47.926704,14.042742,Greater (a>b)
40.777412,11.226571,Greater (a>b)
37.427647,-14.41911,Greater (a>b)
27.994894,-2.1908119,Greater (a>b)
39.529373,-12.068946,Greater (a>b)
29.01839,-3.122047,Greater (a>b)
39.082935,-7.2435665,Greater (a>b)
36.963272,-3.6721232,Greater (a>b)
46.819492,17.837921,Greater (a>b)
35.56463,-10.163421,Greater (a>b)
40.843277,18.021929,Greater (a>b)
46.476654,8.218893,Greater (a>b)
35.780987,-4.9957333,Greater (a>b)
35.035824,-2.761279,Greater (a>b)
39.425488,-9.439495,Greater (a>b)
36.052288,24.845577,Greater (a>b)
