Head,LogitDiff
Layer28Head10,0.11385885626077652
Layer26Head11,0.10449017584323883
Layer21Head27,0.026241527870297432
Layer31Head4,0.024583179503679276
Layer31Head9,0.023207364603877068
Layer15Head9,0.022082427516579628
Layer31Head8,0.02159237116575241
Layer18Head15,0.020037755370140076
Layer29Head20,0.01908663474023342
Layer28Head2,0.017229147255420685
Layer25Head19,0.016710586845874786
Layer17Head18,0.016187554225325584
Layer16Head25,0.01577347330749035
Layer28Head26,0.015075244940817356
Layer24Head14,0.01397542655467987
Layer31Head20,0.013463119976222515
Layer29Head22,0.013048381544649601
Layer29Head2,0.011514107696712017
Layer13Head25,0.010249431245028973
Layer17Head12,0.010051393881440163
Layer26Head1,0.008889542892575264
Layer15Head24,0.008729187771677971
Layer23Head7,0.008526010438799858
Layer25Head21,0.007107626646757126
Layer21Head0,0.00709700770676136
Layer21Head11,0.006974296644330025
Layer19Head3,0.006132165901362896
Layer25Head23,0.005960509646683931
Layer24Head4,0.005803127773106098
Layer20Head28,0.005265993997454643
Layer21Head10,0.0051018535159528255
Layer28Head7,0.004939437843859196
Layer15Head0,0.004821327049285173
Layer24Head21,0.004572359845042229
Layer23Head18,0.004527267534285784
Layer22Head15,0.00450890464708209
Layer15Head27,0.00381705304607749
Layer28Head5,0.0036976076662540436
Layer20Head14,0.0035507383290678263
Layer30Head9,0.0034374981187283993
Layer19Head6,0.003417686093598604
Layer30Head1,0.003341810079291463
Layer31Head13,0.002938122721388936
Layer19Head10,0.002902137814089656
Layer16Head18,0.0027151531539857388
Layer19Head8,0.0027080809231847525
Layer21Head21,0.002615699777379632
Layer24Head15,0.002615655306726694
Layer13Head9,0.0025965585373342037
Layer30Head7,0.002574439160525799
Layer17Head3,0.0024636108428239822
Layer20Head3,0.0024619472678750753
Layer17Head23,0.0023733607959002256
Layer29Head23,0.002346963854506612
Layer23Head14,0.0023288768716156483
Layer28Head13,0.002321828855201602
Layer23Head20,0.002300851047039032
Layer16Head19,0.002060913946479559
Layer25Head30,0.0020292236004024744
Layer25Head5,0.0019319707062095404
Layer25Head2,0.0017960942350327969
Layer19Head31,0.001768041867762804
Layer25Head11,0.0016565511468797922
Layer24Head8,0.0015026102773845196
Layer20Head22,0.0014696635771542788
Layer22Head22,0.0014524331782013178
Layer31Head26,0.001426061848178506
Layer27Head18,0.0013853252166882157
Layer19Head16,0.001378593035042286
Layer28Head6,0.0013298180419951677
Layer28Head0,0.0012843252625316381
Layer29Head30,0.0012821874115616083
Layer13Head24,0.0011790923308581114
Layer16Head13,0.0011424198746681213
Layer30Head16,0.0011384158860892057
Layer30Head15,0.0011240863241255283
Layer16Head30,0.0011054060887545347
Layer18Head4,0.001004792284220457
Layer19Head4,0.0009757315274327993
Layer30Head3,0.0009284578263759613
Layer18Head8,0.0008944033179432154
Layer28Head1,0.000813379418104887
Layer23Head5,0.0008038936648517847
Layer31Head1,0.0007854572031646967
Layer29Head14,0.000744551420211792
Layer17Head0,0.0006963869091123343
Layer28Head27,0.0006946974899619818
Layer14Head1,0.0006629754789173603
Layer16Head27,0.0006469504442065954
Layer16Head6,0.0006071350071579218
Layer21Head16,0.0006064584013074636
Layer14Head23,0.0004282838199287653
Layer27Head5,0.00040954514406621456
Layer25Head26,0.00038985093124210835
Layer19Head9,0.00032980041578412056
Layer27Head9,0.0002856822684407234
Layer31Head24,0.00023361505009233952
Layer29Head3,0.00019601942040026188
Layer15Head30,0.00013102544471621513
Layer14Head11,-4.762224853038788e-05
Layer16Head7,-5.15736173838377e-05
Layer15Head7,-6.757350638508797e-05
Layer26Head8,-8.277478627860546e-05
Layer26Head5,-8.706224616616964e-05
Layer26Head23,-0.00012075575068593025
Layer21Head31,-0.00012996909208595753
Layer18Head18,-0.00016910117119550705
Layer18Head14,-0.00023945095017552376
Layer16Head9,-0.00025899079628288746
Layer24Head25,-0.00026883254759013653
Layer25Head24,-0.0002987331245094538
Layer15Head8,-0.0003248245920985937
Layer24Head12,-0.00042325793765485287
Layer13Head31,-0.0004771859385073185
Layer22Head30,-0.0004930638242512941
Layer31Head14,-0.0004957538330927491
Layer30Head28,-0.000516191590577364
Layer16Head8,-0.0005312421126291156
Layer11Head8,-0.0005434987833723426
Layer15Head2,-0.0005554708186537027
Layer21Head20,-0.0006076529389247298
Layer18Head17,-0.0006377324461936951
Layer16Head4,-0.0006384591106325388
Layer15Head19,-0.000655891839414835
Layer13Head5,-0.0006599144544452429
Layer29Head11,-0.0006757230730727315
Layer28Head24,-0.000701637240126729
Layer31Head18,-0.0007253199582919478
Layer26Head31,-0.0007331814849749207
Layer20Head1,-0.0007456359453499317
Layer29Head9,-0.0008192546665668488
Layer22Head16,-0.0009077352005988359
Layer25Head17,-0.0009817921090871096
Layer26Head28,-0.0010078164050355554
Layer18Head20,-0.001028111088089645
Layer11Head10,-0.0010332263773307204
Layer27Head14,-0.0010683026630431414
Layer11Head28,-0.0010855526197701693
Layer29Head6,-0.0010935268364846706
Layer12Head0,-0.0011154853273183107
Layer28Head9,-0.0011955179506912827
Layer29Head1,-0.0012150187976658344
Layer19Head25,-0.0012400303967297077
Layer14Head12,-0.0012604601215571165
Layer24Head22,-0.0012654861202463508
Layer15Head26,-0.0012939879670739174
Layer19Head27,-0.0013047379907220602
Layer28Head20,-0.0013178586959838867
Layer18Head12,-0.0013216278748586774
Layer26Head12,-0.0014068253803998232
Layer16Head2,-0.0014109648764133453
Layer21Head12,-0.0014286346267908812
Layer12Head27,-0.0014286868972703815
Layer11Head3,-0.0014287200756371021
Layer19Head15,-0.0014607585035264492
Layer14Head22,-0.0014647647039964795
Layer26Head29,-0.0014842624077573419
Layer14Head16,-0.0014919587410986423
Layer30Head11,-0.0014933577040210366
Layer17Head24,-0.0015139917377382517
Layer20Head29,-0.0015267562121152878
Layer17Head28,-0.0015277948696166277
Layer13Head27,-0.0015392160275951028
Layer29Head28,-0.0015521192690357566
Layer15Head22,-0.0015790280885994434
Layer26Head7,-0.0015825305599719286
Layer8Head10,-0.0015933529939502478
Layer29Head16,-0.0015949481166899204
Layer11Head25,-0.001637456240132451
Layer24Head29,-0.001642165589146316
Layer14Head13,-0.0016709372866898775
Layer30Head18,-0.001685451134108007
Layer9Head22,-0.0016944142989814281
Layer14Head8,-0.0016959233907982707
Layer23Head13,-0.0016989349387586117
Layer17Head20,-0.0017126619350165129
Layer14Head4,-0.0017189380014315248
Layer27Head4,-0.0017268063966184855
Layer10Head25,-0.0017483450938016176
Layer31Head21,-0.0017495321808382869
Layer14Head2,-0.0017608802299946547
Layer27Head31,-0.0017636026022955775
Layer16Head20,-0.0017689857631921768
Layer19Head17,-0.0017734518041834235
Layer25Head22,-0.0017813481390476227
Layer30Head27,-0.0017850734293460846
Layer28Head19,-0.0017910472815856338
Layer25Head9,-0.0018031731015071273
Layer15Head17,-0.001825686078518629
Layer11Head4,-0.0018276931950822473
Layer20Head18,-0.0018432127544656396
Layer15Head23,-0.0018434268422424793
Layer30Head2,-0.0018465276807546616
Layer24Head28,-0.001851800479926169
Layer13Head22,-0.0018544411286711693
Layer24Head20,-0.001860159682109952
Layer8Head12,-0.001862172968685627
Layer21Head23,-0.0018807179294526577
Layer13Head21,-0.001881713280454278
Layer17Head5,-0.0018909006612375379
Layer14Head3,-0.001905722077935934
Layer12Head8,-0.0019151866436004639
Layer20Head11,-0.0019298100378364325
Layer26Head21,-0.001936420681886375
Layer7Head18,-0.0019455284345895052
Layer24Head18,-0.0019461937481537461
Layer13Head18,-0.0019491186831146479
Layer29Head19,-0.0019658219534903765
Layer10Head14,-0.0019733398221433163
Layer17Head10,-0.0019788150675594807
Layer26Head14,-0.0020251600071787834
Layer17Head27,-0.0020260673481971025
Layer26Head6,-0.002041168976575136
Layer19Head22,-0.0020419475622475147
Layer20Head30,-0.0020439056679606438
Layer9Head19,-0.0020562289282679558
Layer8Head17,-0.0020599146373569965
Layer26Head30,-0.002087433822453022
Layer18Head11,-0.0020880233496427536
Layer18Head7,-0.00210504699498415
Layer15Head11,-0.002106964588165283
Layer13Head29,-0.0021132598631083965
Layer17Head26,-0.002113794442266226
Layer28Head25,-0.002114195842295885
Layer27Head7,-0.0021212981082499027
Layer10Head6,-0.0021261079236865044
Layer10Head21,-0.0021374362986534834
Layer27Head16,-0.0021521705202758312
Layer13Head28,-0.0021573673002421856
Layer27Head8,-0.002158108400180936
Layer16Head10,-0.002160574309527874
Layer20Head16,-0.002167981117963791
Layer27Head21,-0.002171973465010524
Layer11Head14,-0.002173281041905284
Layer12Head15,-0.002187019679695368
Layer19Head28,-0.002192128449678421
Layer17Head22,-0.002192624844610691
Layer24Head2,-0.0021990924142301083
Layer11Head24,-0.002203247742727399
Layer27Head30,-0.0022107339464128017
Layer8Head23,-0.00221796752884984
Layer15Head31,-0.002231755992397666
Layer17Head19,-0.0022362233139574528
Layer30Head8,-0.002238938119262457
Layer25Head18,-0.0022434121929109097
Layer25Head6,-0.002247776836156845
Layer12Head10,-0.0022524686064571142
Layer23Head27,-0.0022536590695381165
Layer14Head6,-0.0022544681560248137
Layer7Head20,-0.002256274688988924
Layer22Head11,-0.0022580926306545734
Layer26Head20,-0.0022654361091554165
Layer23Head31,-0.0022688135504722595
Layer20Head4,-0.00227647228166461
Layer23Head6,-0.0022789030335843563
Layer21Head17,-0.0022914959117770195
Layer15Head25,-0.002292302902787924
Layer25Head14,-0.0022940479684621096
Layer8Head29,-0.002294447273015976
Layer14Head20,-0.002301023108884692
Layer25Head8,-0.002302598673850298
Layer10Head9,-0.0023103468120098114
Layer9Head26,-0.002317445119842887
