Value,Condition
-0.0027703847736120224,Clean (a>b → Yes)
-0.05792628973722458,Clean (a>b → Yes)
-0.005327707622200251,Clean (a>b → Yes)
-0.0073615070432424545,Clean (a>b → Yes)
-0.08960673213005066,Clean (a>b → Yes)
-0.05604458600282669,Clean (a>b → Yes)
-0.007702363654971123,Clean (a>b → Yes)
0.010587688535451889,Clean (a>b → Yes)
-0.026175320148468018,Clean (a>b → Yes)
-0.005757774226367474,Clean (a>b → Yes)
-0.0007925760000944138,Corrupt (b>a → No)
-0.014758121222257614,Corrupt (b>a → No)
-0.006043526344001293,Corrupt (b>a → No)
-0.07805544137954712,Corrupt (b>a → No)
-0.10044394433498383,Corrupt (b>a → No)
-0.032297082245349884,Corrupt (b>a → No)
-0.04308602958917618,Corrupt (b>a → No)
-0.018827199935913086,Corrupt (b>a → No)
-0.050016071647405624,Corrupt (b>a → No)
-0.005611328408122063,Corrupt (b>a → No)
