Layer,Head,Contribution
2,3,767.8017578125
2,0,609.5162353515625
2,7,392.28985595703125
5,0,306.4516906738281
0,7,295.6571044921875
5,6,286.5638122558594
5,5,249.87786865234375
4,1,249.7956085205078
5,1,197.85076904296875
2,4,142.67596435546875
0,6,134.85040283203125
2,6,119.83687591552734
0,5,113.12542724609375
1,5,81.32928466796875
0,2,59.769805908203125
5,4,42.52850341796875
1,7,39.45878601074219
4,0,36.31205749511719
3,1,17.526809692382812
4,6,15.6514892578125
3,5,14.541378021240234
4,4,-0.6621551513671875
5,7,-3.6497802734375
3,7,-59.04081726074219
0,1,-69.9310302734375
4,2,-76.4253921508789
3,0,-123.37841796875
3,2,-124.14703369140625
0,0,-140.77560424804688
4,7,-142.69691467285156
4,5,-161.94503784179688
5,2,-183.1533966064453
1,6,-214.26271057128906
3,3,-214.89109802246094
3,4,-253.4703369140625
1,2,-291.76788330078125
1,0,-307.49456787109375
1,1,-340.882568359375
2,5,-360.00445556640625
4,3,-361.67352294921875
1,3,-436.2933044433594
0,3,-442.380615234375
5,3,-473.57666015625
1,4,-489.6748046875
3,6,-608.038330078125
2,1,-648.90478515625
0,4,-750.3616333007812
2,2,-1805.296142578125
