PC1,PC2,Class
-0.1206689,-0.6468017,Greater (a>b)
0.2324608,0.50503165,Greater (a>b)
0.016955445,-0.61365086,Greater (a>b)
-0.32744098,-0.39246804,Greater (a>b)
-1.5365977,0.7737737,Greater (a>b)
1.181208,0.57796586,Greater (a>b)
0.36277065,0.0052690315,Greater (a>b)
0.11214609,-0.42559704,Greater (a>b)
1.276323,0.4323882,Greater (a>b)
0.014712925,-0.61042386,Greater (a>b)
-0.6873124,-0.6058485,Less (b>a)
0.028431281,-0.50634944,Less (b>a)
0.015456557,-0.6113882,Less (b>a)
-0.8649455,-0.04842637,Less (b>a)
-1.7215666,0.9796248,Less (b>a)
1.1709647,0.4986282,Less (b>a)
0.3206884,0.7577742,Less (b>a)
-0.4195253,0.2784776,Less (b>a)
0.9337321,0.26249036,Less (b>a)
0.012207448,-0.610469,Less (b>a)
