PC1,PC2,Class
0.42658228,0.18469635,Greater (a>b)
0.43328428,-2.084115,Greater (a>b)
0.6729444,1.576047,Greater (a>b)
0.7023478,0.22340825,Greater (a>b)
0.80497223,-1.240999,Greater (a>b)
0.08828593,-4.0275626,Greater (a>b)
0.37633076,-1.380766,Greater (a>b)
0.74149054,1.1419176,Greater (a>b)
0.48622856,-3.233504,Greater (a>b)
0.3498472,1.1956705,Greater (a>b)
-0.0021241903,-0.8833749,Greater (a>b)
0.12976466,-0.54167235,Greater (a>b)
-0.97129565,-1.8635182,Greater (a>b)
0.53825617,-1.0031792,Greater (a>b)
0.74171287,1.6851913,Greater (a>b)
-11.517055,0.48058522,Greater (a>b)
0.32033637,0.011223982,Greater (a>b)
0.18886964,1.5087659,Greater (a>b)
0.16256347,-0.780834,Greater (a>b)
0.15639615,-0.32108304,Greater (a>b)
0.47487393,0.4288116,Greater (a>b)
0.30386722,1.0537127,Greater (a>b)
0.48296005,0.5511557,Greater (a>b)
0.33053228,0.14122617,Greater (a>b)
0.65724444,-0.7384336,Greater (a>b)
-0.009517086,-1.4842219,Greater (a>b)
0.57344615,0.70566744,Greater (a>b)
1.1455315,1.0066109,Greater (a>b)
0.37338266,-2.0592465,Greater (a>b)
-0.0047711027,-1.1030165,Greater (a>b)
0.30808368,-0.03648403,Greater (a>b)
0.06998295,-0.99930006,Greater (a>b)
0.86713475,1.6621217,Greater (a>b)
0.32277298,1.637731,Greater (a>b)
0.5503248,0.48847297,Greater (a>b)
0.38090807,0.43945372,Greater (a>b)
1.2811985,1.077819,Greater (a>b)
0.6037027,0.374328,Greater (a>b)
0.722442,-1.1213528,Greater (a>b)
0.42944503,-1.6755321,Greater (a>b)
0.49704212,1.5679733,Greater (a>b)
0.48656872,0.7921471,Greater (a>b)
0.88241845,-1.830933,Greater (a>b)
0.6862298,0.32096645,Greater (a>b)
0.6706365,0.7651128,Greater (a>b)
0.25968888,-1.365981,Greater (a>b)
0.03575778,0.36803496,Greater (a>b)
0.19680397,1.1694727,Greater (a>b)
0.59666705,0.9182007,Greater (a>b)
-11.57826,-0.008206624,Greater (a>b)
0.24744539,1.5006577,Greater (a>b)
0.5741167,1.4029737,Greater (a>b)
1.0760105,1.3263226,Greater (a>b)
0.4079453,-1.4396827,Greater (a>b)
0.5976834,1.7396046,Greater (a>b)
0.78163046,1.1049054,Greater (a>b)
0.7549326,1.2216201,Greater (a>b)
-0.40131122,-3.26909,Greater (a>b)
0.7196141,0.69073933,Greater (a>b)
0.7820269,0.92960525,Greater (a>b)
0.513866,1.3142751,Greater (a>b)
0.96146375,1.6110054,Greater (a>b)
0.31117427,1.3048708,Greater (a>b)
0.45278046,0.318138,Greater (a>b)
1.0342346,1.0428426,Greater (a>b)
0.43314785,-1.7050307,Greater (a>b)
0.24455975,0.114650264,Greater (a>b)
0.3962319,1.4916553,Greater (a>b)
0.62470996,-0.8834168,Greater (a>b)
0.9022557,1.8304917,Greater (a>b)
0.6051394,0.7692944,Greater (a>b)
-11.384316,0.39607856,Greater (a>b)
0.1882743,-1.2121443,Greater (a>b)
0.786253,0.46928555,Greater (a>b)
0.33143282,0.96565723,Greater (a>b)
0.13018353,-0.27799207,Greater (a>b)
0.4886707,0.5599975,Greater (a>b)
0.55704623,0.9162662,Greater (a>b)
0.9208729,0.877681,Greater (a>b)
-0.3693693,-2.583642,Greater (a>b)
1.0618336,0.38666934,Greater (a>b)
0.65068805,1.1212846,Greater (a>b)
0.4718488,1.1809497,Greater (a>b)
0.42693254,-0.23665996,Greater (a>b)
0.68239903,1.32354,Greater (a>b)
-11.656788,0.25667375,Greater (a>b)
0.28278038,-0.52471185,Greater (a>b)
0.46602064,0.28191397,Greater (a>b)
0.6712326,1.2382149,Greater (a>b)
0.29738787,0.5387463,Greater (a>b)
0.3763984,1.6360192,Greater (a>b)
0.370554,-1.8671186,Greater (a>b)
0.5042308,-2.51828,Greater (a>b)
-0.097009175,-0.17547885,Greater (a>b)
0.90238273,0.96722203,Greater (a>b)
0.29365602,0.54961264,Greater (a>b)
0.8243827,-1.3247056,Greater (a>b)
0.022283806,-0.7181025,Greater (a>b)
0.95318174,0.83275086,Greater (a>b)
0.124875546,-1.691793,Greater (a>b)
0.599337,0.22514856,Less (b>a)
0.6816477,-1.6084114,Less (b>a)
0.6422786,1.3975075,Less (b>a)
