Layer,Head,Contribution
35,12,15.417402267456055
35,13,15.174784660339355
33,5,5.362354278564453
34,10,4.802438259124756
35,15,4.77284049987793
34,8,4.148346424102783
33,9,4.080033302307129
30,13,3.894857883453369
32,2,3.8036603927612305
35,9,3.731443405151367
26,8,3.713677406311035
33,10,3.6296300888061523
24,6,3.5716376304626465
34,12,3.0950069427490234
35,10,3.083926200866699
34,6,2.8962655067443848
35,1,2.845223903656006
29,9,2.824448585510254
25,9,2.743750810623169
34,14,2.3416802883148193
30,11,2.341535806655884
27,9,2.328488826751709
3,14,2.3246147632598877
26,11,2.300933599472046
32,12,2.244572639465332
28,14,2.2210049629211426
13,14,1.9146010875701904
20,2,1.864783763885498
27,3,1.8517661094665527
26,13,1.8190886974334717
19,0,1.729440450668335
23,12,1.722352385520935
28,9,1.7138597965240479
31,2,1.7121050357818604
17,12,1.685688853263855
30,10,1.6794482469558716
35,6,1.6744623184204102
19,10,1.6200060844421387
24,7,1.6198179721832275
35,8,1.616454839706421
30,12,1.5981814861297607
6,15,1.5884064435958862
3,3,1.5329008102416992
8,2,1.5304721593856812
27,11,1.4765104055404663
18,0,1.4599255323410034
18,13,1.4594265222549438
15,15,1.4541881084442139
30,2,1.4466612339019775
10,10,1.4292237758636475
14,2,1.403051495552063
23,9,1.3502564430236816
25,10,1.3485461473464966
11,9,1.3349634408950806
16,1,1.315342903137207
8,4,1.2611016035079956
34,1,1.260115146636963
16,14,1.248941421508789
7,15,1.2261312007904053
6,3,1.2177563905715942
16,8,1.2121877670288086
25,7,1.1936794519424438
21,13,1.1544469594955444
25,1,1.1497489213943481
31,12,1.1410471200942993
14,8,1.1179375648498535
33,3,1.1173752546310425
4,2,1.0822227001190186
24,12,1.072322964668274
29,12,1.0612497329711914
34,4,1.0540870428085327
11,13,1.053183913230896
7,8,1.0511850118637085
21,4,1.049128770828247
26,0,1.0490663051605225
25,3,1.0391855239868164
29,11,1.0370314121246338
35,4,1.0326852798461914
25,13,1.0217881202697754
3,11,0.9893298745155334
20,9,0.9596065282821655
9,1,0.9557493329048157
4,14,0.9456781148910522
0,12,0.9435456395149231
10,7,0.9113427400588989
23,14,0.9078820943832397
26,7,0.904936671257019
29,4,0.9010726809501648
15,10,0.8877345323562622
22,8,0.8717165589332581
5,9,0.8701077699661255
4,12,0.8693551421165466
4,4,0.8601770401000977
27,2,0.8536944389343262
