Layer,Head,Contribution
35,11,6.014498233795166
35,14,4.9009175300598145
33,8,4.460178375244141
33,1,4.328478813171387
34,11,4.156959533691406
30,15,3.880946636199951
30,14,3.82485032081604
34,3,3.554417610168457
33,6,3.508551836013794
16,9,3.1320557594299316
28,5,3.06259822845459
34,15,3.030207633972168
33,0,3.003232717514038
34,0,2.641228437423706
30,7,2.6358680725097656
34,9,2.594674825668335
32,0,2.4435513019561768
26,9,2.336845874786377
30,0,2.307960033416748
32,5,2.3048934936523438
31,14,2.2542548179626465
24,1,2.1864566802978516
31,5,2.1828036308288574
32,4,2.146005868911743
13,11,2.1270925998687744
24,14,2.1006531715393066
28,15,2.0710959434509277
15,0,1.9873766899108887
33,2,1.9645116329193115
32,15,1.838829755783081
3,10,1.800011157989502
17,9,1.7362871170043945
35,5,1.721537470817566
19,9,1.7134876251220703
32,9,1.6833922863006592
14,14,1.5629281997680664
12,13,1.540810227394104
28,0,1.5348241329193115
4,1,1.5077805519104004
19,11,1.4768694639205933
20,0,1.443036437034607
12,14,1.4392547607421875
20,13,1.4332444667816162
28,2,1.4269840717315674
23,10,1.4176368713378906
32,6,1.3651983737945557
20,5,1.35053288936615
3,12,1.344861626625061
2,9,1.3443728685379028
12,12,1.333552598953247
32,10,1.3189103603363037
31,11,1.3001725673675537
22,9,1.2774145603179932
6,6,1.2743666172027588
29,14,1.2579843997955322
5,11,1.2489840984344482
6,13,1.2201080322265625
30,3,1.218796968460083
23,7,1.2043652534484863
34,2,1.1802482604980469
33,12,1.1750916242599487
32,8,1.1612658500671387
11,8,1.1425600051879883
18,15,1.1181315183639526
17,7,1.1144665479660034
3,4,1.0919936895370483
26,6,1.0855457782745361
33,4,1.069448709487915
13,13,1.0591192245483398
18,2,1.0559736490249634
25,2,1.0526783466339111
32,14,1.018959403038025
24,10,1.0051387548446655
5,0,0.9959801435470581
27,8,0.9920576810836792
27,7,0.9809908270835876
0,8,0.9765143990516663
3,7,0.9759798645973206
6,0,0.9746226668357849
6,4,0.9712326526641846
17,13,0.9655166268348694
18,7,0.9642322063446045
3,6,0.9581354260444641
10,8,0.9531936049461365
23,11,0.9343252182006836
23,15,0.9219527244567871
14,6,0.9139307141304016
19,12,0.8985958695411682
9,5,0.8968947529792786
19,5,0.8877644538879395
3,1,0.8846635818481445
16,0,0.874853253364563
5,13,0.8666216135025024
28,12,0.8619330525398254
21,12,0.8553378582000732
13,8,0.8437621593475342
27,1,0.8304693698883057
29,0,0.8289498090744019
19,1,0.8183688521385193
4,0,0.808440089225769
13,2,0.8039668202400208
11,15,0.8030122518539429
24,3,0.7970185279846191
28,8,0.7880465984344482
33,13,0.7872934341430664
19,14,0.783316433429718
4,15,0.7829347848892212
8,1,0.775341808795929
15,7,0.7502692937850952
15,13,0.7299858331680298
17,0,0.7283555269241333
20,14,0.72373366355896
15,8,0.7151437997817993
4,8,0.7116739749908447
18,12,0.7115294933319092
31,15,0.6947692036628723
3,5,0.6923810839653015
7,6,0.6848909854888916
19,6,0.6787104606628418
25,11,0.6783181428909302
20,6,0.6667253375053406
11,12,0.6648232936859131
3,9,0.6636682748794556
24,15,0.6569696068763733
34,7,0.6452502012252808
27,4,0.6443451046943665
26,2,0.6443308591842651
7,12,0.638225793838501
15,12,0.635235071182251
33,11,0.6262655258178711
35,0,0.6260286569595337
9,7,0.6175229549407959
15,6,0.6159238219261169
13,3,0.6082208156585693
22,7,0.6077713370323181
31,8,0.6046916246414185
25,15,0.6034040451049805
24,13,0.5898282527923584
13,6,0.5818700790405273
4,13,0.5629702806472778
5,10,0.5625415444374084
10,6,0.5442668199539185
28,6,0.5425574779510498
15,1,0.5421281456947327
33,7,0.5402834415435791
22,2,0.531014084815979
25,6,0.5288957357406616
6,8,0.5243825316429138
18,1,0.5189419984817505
29,8,0.5101572275161743
4,7,0.5060388445854187
31,13,0.5020623207092285
21,2,0.4941496253013611
10,0,0.49025750160217285
9,10,0.4886849522590637
10,11,0.48233962059020996
35,2,0.4777783155441284
9,6,0.476978600025177
13,4,0.46996498107910156
16,5,0.46243467926979065
9,12,0.46023643016815186
19,7,0.4586344063282013
29,10,0.45726537704467773
18,5,0.45166730880737305
31,3,0.44544315338134766
12,3,0.4415214955806732
2,13,0.4397273659706116
17,6,0.4366908371448517
0,0,0.4346747398376465
10,14,0.43415898084640503
27,10,0.42999914288520813
21,3,0.4255125820636749
9,3,0.41075554490089417
24,5,0.410043329000473
19,15,0.40789979696273804
24,8,0.40753740072250366
23,2,0.3995022177696228
0,15,0.39806944131851196
26,3,0.3970644772052765
34,13,0.39480042457580566
27,0,0.38259512186050415
12,8,0.38012680411338806
