Value,Condition
-0.12924155592918396,Clean (a>b → Yes)
-0.23368336260318756,Clean (a>b → Yes)
-0.2168106883764267,Clean (a>b → Yes)
-0.06345945596694946,Clean (a>b → Yes)
0.008087284862995148,Clean (a>b → Yes)
-0.1364278346300125,Clean (a>b → Yes)
-0.14997941255569458,Clean (a>b → Yes)
-0.1058797612786293,Clean (a>b → Yes)
0.011227987706661224,Clean (a>b → Yes)
-0.15862782299518585,Clean (a>b → Yes)
-0.025676164776086807,Clean (a>b → Yes)
-0.053795717656612396,Clean (a>b → Yes)
-0.17219433188438416,Clean (a>b → Yes)
-0.2830652594566345,Clean (a>b → Yes)
-0.19457124173641205,Clean (a>b → Yes)
-0.013511749915778637,Clean (a>b → Yes)
-0.15204748511314392,Clean (a>b → Yes)
-0.017253009602427483,Clean (a>b → Yes)
-0.1870589554309845,Clean (a>b → Yes)
-0.25132739543914795,Clean (a>b → Yes)
-0.10659649223089218,Clean (a>b → Yes)
-0.10434717684984207,Clean (a>b → Yes)
-0.060554634779691696,Clean (a>b → Yes)
-0.16026175022125244,Clean (a>b → Yes)
-0.2543471157550812,Clean (a>b → Yes)
-0.06103193387389183,Clean (a>b → Yes)
-0.14875385165214539,Clean (a>b → Yes)
-0.050060782581567764,Clean (a>b → Yes)
-0.06753695011138916,Clean (a>b → Yes)
-0.1588963121175766,Clean (a>b → Yes)
-0.1969866156578064,Clean (a>b → Yes)
-0.13495969772338867,Clean (a>b → Yes)
-0.07163304835557938,Clean (a>b → Yes)
-0.13651075959205627,Clean (a>b → Yes)
-0.17303824424743652,Clean (a>b → Yes)
-0.1232183426618576,Clean (a>b → Yes)
0.016525274142622948,Clean (a>b → Yes)
-0.15299992263317108,Clean (a>b → Yes)
-0.07187063992023468,Clean (a>b → Yes)
-0.2772614657878876,Clean (a>b → Yes)
-0.15395031869411469,Clean (a>b → Yes)
-0.08871866017580032,Clean (a>b → Yes)
-0.0963953360915184,Clean (a>b → Yes)
-0.05674233287572861,Clean (a>b → Yes)
-0.16272050142288208,Clean (a>b → Yes)
-0.10265098512172699,Clean (a>b → Yes)
-0.12464146316051483,Clean (a>b → Yes)
-0.09502315521240234,Clean (a>b → Yes)
-0.13615192472934723,Clean (a>b → Yes)
-0.05775320902466774,Clean (a>b → Yes)
-0.10190391540527344,Clean (a>b → Yes)
0.07768768817186356,Clean (a>b → Yes)
-0.3284277319908142,Clean (a>b → Yes)
-0.16879083216190338,Clean (a>b → Yes)
-0.2501714527606964,Clean (a>b → Yes)
-0.2143019139766693,Clean (a>b → Yes)
-0.24522867798805237,Clean (a>b → Yes)
-0.2390451580286026,Clean (a>b → Yes)
-0.12558190524578094,Clean (a>b → Yes)
-0.06063680723309517,Clean (a>b → Yes)
-0.16163456439971924,Clean (a>b → Yes)
-0.1715129166841507,Clean (a>b → Yes)
-0.16000106930732727,Clean (a>b → Yes)
-0.0717541053891182,Clean (a>b → Yes)
-0.31829071044921875,Clean (a>b → Yes)
-0.1852693259716034,Clean (a>b → Yes)
-0.14490872621536255,Clean (a>b → Yes)
-0.06704149395227432,Clean (a>b → Yes)
0.020258696749806404,Clean (a>b → Yes)
-0.11366869509220123,Clean (a>b → Yes)
-0.10043244808912277,Clean (a>b → Yes)
-0.02022058516740799,Clean (a>b → Yes)
-0.08903275430202484,Clean (a>b → Yes)
0.027792448177933693,Clean (a>b → Yes)
