PC1,PC2,Class
0.14420581,-0.030164976,Greater (a>b)
-0.085741535,0.062161863,Greater (a>b)
-0.08622773,-0.013825782,Greater (a>b)
0.037282933,0.05036367,Greater (a>b)
0.02055384,0.03094728,Greater (a>b)
-0.011687456,-0.0960745,Greater (a>b)
0.0089933975,-0.020431736,Greater (a>b)
-0.046936348,-0.016946811,Greater (a>b)
0.01114841,-0.042296574,Greater (a>b)
-0.07177402,0.016120773,Greater (a>b)
0.093599394,0.055184044,Less (b>a)
-0.026370015,-0.031591326,Less (b>a)
-0.08326824,0.014202613,Less (b>a)
0.014912531,0.06336395,Less (b>a)
0.03498715,0.099358186,Less (b>a)
-0.023549223,-0.030494187,Less (b>a)
0.05354737,-0.111861944,Less (b>a)
-0.018293241,-0.011429291,Less (b>a)
0.05752373,0.024880115,Less (b>a)
-0.022906797,-0.011465368,Less (b>a)
