PC1,PC2,Class
13.932807,-7.6058507,Greater (a>b)
13.467226,3.3303134,Greater (a>b)
13.531597,0.6343435,Greater (a>b)
11.348319,-5.9402714,Greater (a>b)
12.10009,1.8441435,Greater (a>b)
12.49004,-7.3628187,Greater (a>b)
11.165938,-0.7209996,Greater (a>b)
9.305331,-0.029528078,Greater (a>b)
9.768605,0.6431089,Greater (a>b)
12.640526,5.382534,Greater (a>b)
10.412738,4.2948346,Greater (a>b)
10.939621,-6.600919,Greater (a>b)
12.646827,1.1871392,Greater (a>b)
12.432157,-1.4062644,Greater (a>b)
13.231403,2.7675745,Greater (a>b)
11.920219,1.100216,Greater (a>b)
12.564234,-4.0384398,Greater (a>b)
9.159898,3.033419,Greater (a>b)
12.181628,-0.7550712,Greater (a>b)
14.615826,-0.6723854,Greater (a>b)
11.398622,-3.9809084,Greater (a>b)
10.964313,2.8677893,Greater (a>b)
9.692714,-7.8235645,Greater (a>b)
12.67253,-4.2004256,Greater (a>b)
11.800517,2.1980321,Greater (a>b)
12.048549,3.911488,Greater (a>b)
13.415084,0.6562055,Greater (a>b)
11.056032,1.3784808,Greater (a>b)
9.013216,2.8807926,Greater (a>b)
10.653957,2.2387576,Greater (a>b)
12.4656105,0.36509186,Greater (a>b)
12.326769,-8.034058,Greater (a>b)
11.639265,0.9081344,Greater (a>b)
10.4731655,3.2010143,Greater (a>b)
12.833394,-3.3733795,Greater (a>b)
11.474447,5.9798894,Greater (a>b)
9.661855,0.2768405,Greater (a>b)
12.567951,3.4491582,Greater (a>b)
11.2933445,-0.28989044,Greater (a>b)
15.374625,-0.7538029,Greater (a>b)
11.272661,3.867904,Greater (a>b)
10.3835745,-5.390135,Greater (a>b)
11.400322,-0.41131026,Greater (a>b)
12.811227,-3.9669504,Greater (a>b)
13.740591,2.212404,Greater (a>b)
10.606399,-2.1876495,Greater (a>b)
12.351725,3.6930785,Greater (a>b)
11.320646,5.0998726,Greater (a>b)
10.519196,-0.3199626,Greater (a>b)
11.511404,2.8954833,Greater (a>b)
