PC1,PC2,Class
32.48479,13.268357,Greater (a>b)
26.949184,-4.59557,Greater (a>b)
26.889828,-9.450396,Greater (a>b)
28.774467,9.836299,Greater (a>b)
30.269726,11.747812,Greater (a>b)
29.776564,1.7646554,Greater (a>b)
24.123491,-6.0017757,Greater (a>b)
16.615845,-15.636444,Greater (a>b)
21.488667,0.7053266,Greater (a>b)
28.117939,-0.76429385,Greater (a>b)
23.086166,-6.242918,Greater (a>b)
24.324362,3.0948637,Greater (a>b)
30.350351,3.1016312,Greater (a>b)
27.051908,-3.6961763,Greater (a>b)
28.811996,2.2752078,Greater (a>b)
28.93554,7.55423,Greater (a>b)
27.959475,6.6536264,Greater (a>b)
20.607475,4.613268,Greater (a>b)
24.66368,-10.802384,Greater (a>b)
31.313116,5.351566,Greater (a>b)
24.124132,-1.9763896,Greater (a>b)
19.47109,-14.370499,Greater (a>b)
19.869495,-5.317409,Greater (a>b)
25.921648,-1.1623158,Greater (a>b)
22.593557,-7.741018,Greater (a>b)
25.482393,-1.3307062,Greater (a>b)
28.6985,5.2553344,Greater (a>b)
29.45093,14.284583,Greater (a>b)
19.050436,-1.5591083,Greater (a>b)
20.159685,-15.076176,Greater (a>b)
25.517838,-5.0798144,Greater (a>b)
28.18419,8.149182,Greater (a>b)
29.743883,9.595497,Greater (a>b)
21.12348,-4.105989,Greater (a>b)
29.715523,6.707134,Greater (a>b)
22.723927,-9.700062,Greater (a>b)
22.714481,3.466538,Greater (a>b)
29.719591,9.371135,Greater (a>b)
27.86952,10.390479,Greater (a>b)
36.68336,15.885708,Greater (a>b)
22.527489,-12.660767,Greater (a>b)
22.846107,-0.9289051,Greater (a>b)
20.718893,-8.245379,Greater (a>b)
28.007376,6.319578,Greater (a>b)
30.417173,-1.818663,Greater (a>b)
23.705757,-0.56699723,Greater (a>b)
27.521683,0.06502088,Greater (a>b)
26.616896,3.019564,Greater (a>b)
25.208788,1.8952554,Greater (a>b)
22.197197,-9.195251,Greater (a>b)
23.555094,-3.3043208,Greater (a>b)
16.440071,8.783886,Greater (a>b)
27.867268,-0.6079424,Greater (a>b)
24.556173,-10.253203,Greater (a>b)
28.82511,-4.378357,Greater (a>b)
34.500107,10.899077,Greater (a>b)
24.32628,-10.582439,Greater (a>b)
28.43329,-7.848989,Greater (a>b)
28.009516,6.8104877,Greater (a>b)
27.2964,15.048737,Greater (a>b)
24.93406,-7.8385863,Greater (a>b)
27.632036,-1.0052248,Greater (a>b)
27.58735,-1.7620261,Greater (a>b)
18.321194,-9.5501,Greater (a>b)
33.16631,10.931064,Greater (a>b)
29.379595,1.8301452,Greater (a>b)
24.440817,-3.3689778,Greater (a>b)
25.211983,5.8309574,Greater (a>b)
21.230207,4.505501,Greater (a>b)
29.7934,5.9613132,Greater (a>b)
24.881851,-8.730845,Greater (a>b)
9.835301,-13.158365,Greater (a>b)
13.565439,-11.88839,Greater (a>b)
8.9399395,-10.934243,Greater (a>b)
25.90767,24.132616,Greater (a>b)
25.051119,-5.811706,Greater (a>b)
26.364876,2.896287,Greater (a>b)
27.83421,-9.79238,Greater (a>b)
21.403809,1.5552466,Greater (a>b)
18.412622,-15.85064,Greater (a>b)
21.443571,-8.052472,Greater (a>b)
24.167107,-5.239099,Greater (a>b)
23.701918,-0.23392692,Greater (a>b)
30.845037,9.276738,Greater (a>b)
10.710713,2.985551,Greater (a>b)
5.4069624,10.975906,Greater (a>b)
32.523174,8.74921,Greater (a>b)
24.82336,-13.431922,Greater (a>b)
19.877598,-6.492055,Greater (a>b)
20.175535,-14.344387,Greater (a>b)
21.852083,-2.1592305,Greater (a>b)
32.687428,11.082454,Greater (a>b)
26.767754,-5.8805137,Greater (a>b)
32.16336,12.397449,Greater (a>b)
30.845936,6.831281,Greater (a>b)
24.836277,-1.1582553,Greater (a>b)
23.451962,-0.0032780387,Greater (a>b)
18.240578,-9.072404,Greater (a>b)
27.079473,13.884332,Greater (a>b)
25.905802,-11.3482275,Greater (a>b)
-21.891403,2.319372,Less (b>a)
-27.323803,-10.093847,Less (b>a)
-22.71556,-11.538418,Less (b>a)
-19.52963,3.6748028,Less (b>a)
-21.936548,0.2351428,Less (b>a)
-17.036335,-12.359366,Less (b>a)
-21.004192,17.391806,Less (b>a)
-30.596643,4.5637903,Less (b>a)
-29.404108,10.400214,Less (b>a)
-31.395443,1.2895495,Less (b>a)
-29.692713,16.830254,Less (b>a)
-14.305122,-6.4177656,Less (b>a)
-29.541338,-9.144074,Less (b>a)
-18.690351,20.071085,Less (b>a)
-31.610819,5.7495904,Less (b>a)
-29.329592,9.663253,Less (b>a)
-20.199297,9.543814,Less (b>a)
-25.453386,-3.9628668,Less (b>a)
-25.061357,-3.4685035,Less (b>a)
-21.515627,1.8146664,Less (b>a)
-21.46075,-8.073582,Less (b>a)
-27.661278,-6.427258,Less (b>a)
-13.98211,4.439837,Less (b>a)
-17.793966,-3.747598,Less (b>a)
-17.699608,-9.739356,Less (b>a)
-34.7,5.9928656,Less (b>a)
-20.919079,-9.780233,Less (b>a)
-27.497856,3.1572793,Less (b>a)
-29.601309,6.487078,Less (b>a)
-26.053387,-12.724882,Less (b>a)
-21.571161,0.6550496,Less (b>a)
-9.832284,2.4027078,Less (b>a)
-29.77138,-4.441003,Less (b>a)
-29.809748,9.020064,Less (b>a)
-23.15838,-10.509842,Less (b>a)
-28.43713,-10.762697,Less (b>a)
-24.007097,1.1800892,Less (b>a)
-27.99475,-2.8377326,Less (b>a)
-26.238474,10.33925,Less (b>a)
-22.912144,-3.2782006,Less (b>a)
-25.263184,3.2334423,Less (b>a)
-27.706722,-6.4073105,Less (b>a)
-23.858728,-11.495232,Less (b>a)
-17.180422,3.7898357,Less (b>a)
-27.777882,-1.3630601,Less (b>a)
-10.708905,0.744996,Less (b>a)
-29.332453,-4.0821853,Less (b>a)
-30.728655,3.873827,Less (b>a)
-28.924252,5.830178,Less (b>a)
-28.200962,-9.247507,Less (b>a)
-33.797997,12.167713,Less (b>a)
-20.47517,6.2319255,Less (b>a)
-23.417433,-10.823399,Less (b>a)
-30.729067,-3.0627532,Less (b>a)
-27.873034,-0.5020505,Less (b>a)
-21.915188,2.6664126,Less (b>a)
-19.04911,-13.684261,Less (b>a)
-28.864595,-1.5205995,Less (b>a)
-21.266596,1.3938887,Less (b>a)
-27.052391,10.646379,Less (b>a)
-27.464178,-0.23926905,Less (b>a)
-28.979649,1.1190338,Less (b>a)
-28.614054,-10.717487,Less (b>a)
-21.447237,0.6217215,Less (b>a)
-23.346636,-3.3837779,Less (b>a)
-30.30672,-6.0039907,Less (b>a)
-13.684685,2.5375824,Less (b>a)
-27.365368,5.3362284,Less (b>a)
-22.014185,1.4925153,Less (b>a)
-22.498226,11.035008,Less (b>a)
-34.00281,13.5001955,Less (b>a)
-20.435764,14.154824,Less (b>a)
-21.98115,-9.409696,Less (b>a)
-10.028337,6.0095186,Less (b>a)
-28.756838,-1.1513638,Less (b>a)
-23.528833,-7.9716725,Less (b>a)
-26.400646,-9.063601,Less (b>a)
-32.248104,-3.043897,Less (b>a)
-23.35026,-2.3001738,Less (b>a)
-18.704643,-14.891175,Less (b>a)
-23.285938,3.906438,Less (b>a)
-30.776295,8.456864,Less (b>a)
-20.031927,4.845352,Less (b>a)
-27.75979,-2.2309408,Less (b>a)
-31.18658,11.434585,Less (b>a)
-25.247257,-3.3333347,Less (b>a)
-22.95788,7.9642177,Less (b>a)
-27.442156,-0.15295424,Less (b>a)
-33.51263,11.127534,Less (b>a)
-32.362206,-2.4542809,Less (b>a)
-33.01353,8.151792,Less (b>a)
-22.939947,-7.292466,Less (b>a)
-26.53937,2.2519772,Less (b>a)
-29.274689,-0.62280643,Less (b>a)
-26.540804,5.2993665,Less (b>a)
-27.187098,9.488805,Less (b>a)
-24.73776,-9.57185,Less (b>a)
-21.249786,-0.89282405,Less (b>a)
-31.85471,11.755502,Less (b>a)
-19.871754,-9.698315,Less (b>a)
