PC1,PC2,Class
1.7437855,1.528547,Greater (a>b)
2.4904838,-0.6003921,Greater (a>b)
2.3946505,1.8518542,Greater (a>b)
1.7534521,1.0903662,Greater (a>b)
3.0105698,-1.9040906,Greater (a>b)
2.474881,2.2953815,Greater (a>b)
2.3403745,0.5868774,Greater (a>b)
2.7107985,0.81184566,Greater (a>b)
1.9521632,-2.1312995,Greater (a>b)
2.5607708,-0.3907499,Greater (a>b)
2.5068886,-0.7077795,Greater (a>b)
2.275255,2.7758229,Greater (a>b)
2.0525105,0.21014522,Greater (a>b)
1.8847021,1.7049904,Greater (a>b)
2.1789918,-0.46528426,Greater (a>b)
2.0388644,-1.233857,Greater (a>b)
1.7742198,0.4869874,Greater (a>b)
1.930751,-2.227869,Greater (a>b)
2.391877,0.628395,Greater (a>b)
2.4161403,1.2031407,Greater (a>b)
2.106463,1.216301,Greater (a>b)
1.8568021,-1.4400017,Greater (a>b)
2.0262723,1.9712746,Greater (a>b)
2.4710221,1.5767423,Greater (a>b)
2.3175087,0.59305704,Greater (a>b)
2.575742,-2.5707724,Greater (a>b)
2.2737374,-0.24352261,Greater (a>b)
2.1883593,-2.7683845,Greater (a>b)
2.0176337,-1.8639377,Greater (a>b)
2.2188313,0.54200983,Greater (a>b)
1.7456788,0.62898105,Greater (a>b)
2.0469723,1.867649,Greater (a>b)
2.5819983,-1.1245894,Greater (a>b)
2.2124798,-1.6457931,Greater (a>b)
2.0060472,0.91941404,Greater (a>b)
1.8619851,-2.081447,Greater (a>b)
2.1483235,-1.9312655,Greater (a>b)
2.3782742,-0.99535745,Greater (a>b)
2.7153888,-1.7129663,Greater (a>b)
2.8090463,-0.35560665,Greater (a>b)
2.069609,-1.7556628,Greater (a>b)
2.1119287,1.133105,Greater (a>b)
1.8700883,0.4645707,Greater (a>b)
1.9304831,1.1861178,Greater (a>b)
2.2500875,0.8945774,Greater (a>b)
1.9497725,0.68492603,Greater (a>b)
2.0435948,-0.9424585,Greater (a>b)
1.9819285,-1.1125021,Greater (a>b)
2.1681263,0.9568421,Greater (a>b)
2.3096797,-2.7203863,Greater (a>b)
2.5308871,-2.9821718,Greater (a>b)
1.4035814,-2.7265189,Greater (a>b)
2.302905,0.71402055,Greater (a>b)
1.9924138,0.39256707,Greater (a>b)
2.6273894,0.87893194,Greater (a>b)
2.0361552,1.3684115,Greater (a>b)
2.1715868,-0.43522444,Greater (a>b)
2.459403,0.008677514,Greater (a>b)
2.057815,0.9148048,Greater (a>b)
3.0407224,-0.54065645,Greater (a>b)
2.4100351,0.8249709,Greater (a>b)
2.4345856,-0.60176396,Greater (a>b)
2.355301,-0.42321,Greater (a>b)
