PC1,PC2,Class
0.4688174,1.8260659,Greater (a>b)
1.6932172,0.17780477,Greater (a>b)
1.505993,0.31811726,Greater (a>b)
0.2974337,2.3301437,Greater (a>b)
1.4034166,0.6676377,Greater (a>b)
1.388888,-0.13313761,Greater (a>b)
1.3342618,0.123777986,Greater (a>b)
0.13272582,0.5457494,Greater (a>b)
1.7233412,-0.60221285,Greater (a>b)
1.9082626,-0.27246302,Greater (a>b)
1.5803682,-0.6062064,Greater (a>b)
1.7292174,-0.2844904,Greater (a>b)
1.255045,0.31906283,Greater (a>b)
1.2543926,-0.041728113,Greater (a>b)
1.890314,-0.56225145,Greater (a>b)
1.8418018,-0.17374979,Greater (a>b)
0.6518122,2.403286,Greater (a>b)
1.2179523,-0.22074296,Greater (a>b)
0.6068207,0.28521675,Greater (a>b)
1.961535,-0.6918073,Greater (a>b)
1.493929,-0.010734578,Greater (a>b)
1.5769875,-0.22203994,Greater (a>b)
0.12427099,3.086084,Greater (a>b)
1.5046068,0.1989268,Greater (a>b)
1.9106125,-0.4365232,Greater (a>b)
1.7180098,-0.68605,Greater (a>b)
1.6304798,-0.42783433,Greater (a>b)
1.8123287,-0.115677,Greater (a>b)
1.7383993,-0.3867331,Greater (a>b)
1.1438957,0.5828929,Greater (a>b)
1.645882,0.37169594,Greater (a>b)
0.9810505,0.89615923,Greater (a>b)
1.8428421,-0.17418963,Greater (a>b)
1.6253042,-0.27032164,Greater (a>b)
1.0775856,2.4345543,Greater (a>b)
1.5511843,-0.11525398,Greater (a>b)
1.6516137,-0.46558955,Greater (a>b)
1.4898877,0.800086,Greater (a>b)
1.548611,0.34891227,Greater (a>b)
1.5600111,0.10642235,Greater (a>b)
1.3870931,-0.3600557,Greater (a>b)
1.6960893,0.42982593,Greater (a>b)
0.8479414,1.296069,Greater (a>b)
0.705941,2.331246,Greater (a>b)
1.6289641,-0.47949058,Greater (a>b)
1.0467962,0.60628694,Greater (a>b)
1.7282449,0.094825685,Greater (a>b)
1.8169179,-0.2542783,Greater (a>b)
1.9783678,-0.74730575,Greater (a>b)
1.8122568,-0.7420174,Greater (a>b)
1.7217693,-0.5987336,Greater (a>b)
0.57813096,0.64646333,Greater (a>b)
1.6939219,-0.053942185,Greater (a>b)
1.2291709,0.57141817,Greater (a>b)
1.2732728,-0.15075418,Greater (a>b)
1.5146728,0.1460272,Greater (a>b)
1.806087,-0.041652974,Greater (a>b)
1.7260014,-0.14254878,Greater (a>b)
1.331402,1.7451662,Greater (a>b)
1.602006,-0.03877582,Greater (a>b)
1.652184,0.032475553,Greater (a>b)
0.44663128,1.6801734,Greater (a>b)
1.7989584,-0.38877824,Greater (a>b)
0.50822943,2.412091,Greater (a>b)
1.8390156,0.15920833,Greater (a>b)
1.640915,-0.38452345,Greater (a>b)
0.18939598,1.9443533,Greater (a>b)
1.4183744,0.3953339,Greater (a>b)
1.6125704,-0.9962788,Greater (a>b)
1.7211276,-0.17611085,Greater (a>b)
1.4075216,-0.58806074,Greater (a>b)
1.6641861,-0.081661455,Greater (a>b)
1.379938,0.40324098,Greater (a>b)
1.005357,1.53915,Greater (a>b)
1.3606018,-0.51295465,Greater (a>b)
1.8416868,-0.49000472,Greater (a>b)
1.4971796,0.34155416,Greater (a>b)
1.7111917,-0.45518187,Greater (a>b)
1.1287495,0.63801354,Greater (a>b)
1.7835274,-0.34526762,Greater (a>b)
0.34300435,1.9234118,Greater (a>b)
1.7793244,-0.7072442,Greater (a>b)
0.64006555,0.2570413,Greater (a>b)
1.6833197,-0.05635586,Greater (a>b)
1.1792175,0.03871316,Greater (a>b)
0.6284226,2.6663196,Greater (a>b)
1.3440626,-0.17418163,Greater (a>b)
1.7031136,0.06353959,Greater (a>b)
1.5368724,-0.63733804,Greater (a>b)
