PC1,PC2,Class
-3.7036586,8.597554,Greater (a>b)
-5.138974,0.4902018,Greater (a>b)
-5.100978,-0.7038838,Greater (a>b)
-3.927021,7.0866437,Greater (a>b)
-4.516136,-1.6091762,Greater (a>b)
-4.4637394,-0.80905986,Greater (a>b)
-4.143834,-2.3974802,Greater (a>b)
-0.06307815,-1.4642665,Greater (a>b)
-4.862106,0.5047368,Greater (a>b)
-4.7317266,-2.41941,Greater (a>b)
-3.65538,-1.53236,Greater (a>b)
-4.863293,0.070732765,Greater (a>b)
-3.7616818,-1.5994742,Greater (a>b)
-3.5041218,-1.0764141,Greater (a>b)
-5.3878417,-1.9177185,Greater (a>b)
-5.3886085,0.84590685,Greater (a>b)
-4.7915006,6.154896,Greater (a>b)
-4.782807,3.0814257,Greater (a>b)
-2.0974321,-2.472521,Greater (a>b)
-5.522391,-1.0842719,Greater (a>b)
-4.3545723,-1.2902983,Greater (a>b)
-4.4546742,-0.9965349,Greater (a>b)
-5.1911097,8.273788,Greater (a>b)
-4.6627307,0.13387758,Greater (a>b)
-5.1575794,-0.6726048,Greater (a>b)
-4.003256,-1.7519437,Greater (a>b)
-3.9762876,-1.6039476,Greater (a>b)
-5.336253,-1.3978561,Greater (a>b)
-5.733406,0.16954887,Greater (a>b)
-3.3006496,-1.959415,Greater (a>b)
-3.8918085,-2.7888498,Greater (a>b)
-4.6996903,1.7320116,Greater (a>b)
-5.041813,-1.3061808,Greater (a>b)
-4.2759643,-1.7867374,Greater (a>b)
-4.4006658,5.7134876,Greater (a>b)
-4.2399044,0.043471806,Greater (a>b)
-5.0920563,0.34264663,Greater (a>b)
-4.14608,-1.3638211,Greater (a>b)
-5.1463194,0.7829197,Greater (a>b)
-3.753684,-2.283853,Greater (a>b)
-2.3944852,-1.8511492,Greater (a>b)
-4.968683,-1.0313007,Greater (a>b)
-3.3981228,0.9106839,Greater (a>b)
-4.985811,6.2526383,Greater (a>b)
-4.3735642,-3.124388,Greater (a>b)
-3.765772,-0.55770266,Greater (a>b)
-4.6604333,-1.9889706,Greater (a>b)
-4.0456204,-3.980562,Greater (a>b)
-4.9509816,-0.8866893,Greater (a>b)
-4.5006537,0.63180876,Greater (a>b)
-4.657944,-2.9195144,Greater (a>b)
-3.4823306,-0.13801286,Greater (a>b)
-4.5467525,-1.2996196,Greater (a>b)
-3.8322353,1.8612053,Greater (a>b)
-3.972654,-1.2335836,Greater (a>b)
-4.4959493,-1.7733835,Greater (a>b)
-6.261247,1.632199,Greater (a>b)
-4.6691213,-2.101669,Greater (a>b)
-5.3045845,1.4094977,Greater (a>b)
-4.7268915,-2.2659276,Greater (a>b)
-4.3922153,-1.6278987,Greater (a>b)
-2.9661813,0.069791146,Greater (a>b)
-4.6945496,-2.2722986,Greater (a>b)
-5.5466914,6.069914,Greater (a>b)
-5.247462,0.32685032,Greater (a>b)
-4.0125012,-2.5306532,Greater (a>b)
-3.8356826,7.828392,Greater (a>b)
-4.294957,-0.59876305,Greater (a>b)
-3.848661,-0.5961529,Greater (a>b)
-4.302353,-2.2737293,Greater (a>b)
-2.7660599,-3.2004714,Greater (a>b)
-5.214247,3.3521273,Greater (a>b)
-4.1835594,-2.4545026,Greater (a>b)
-5.3599663,1.404243,Greater (a>b)
-3.3190463,-0.7369575,Greater (a>b)
-4.552744,-0.70522225,Greater (a>b)
-4.0062704,-0.3549388,Greater (a>b)
-4.326837,-2.053513,Greater (a>b)
-4.1026053,-0.19001123,Greater (a>b)
-5.310522,-1.510187,Greater (a>b)
-3.2135427,0.83237845,Greater (a>b)
-4.188303,-2.2126877,Greater (a>b)
-2.796029,-1.1719154,Greater (a>b)
-5.656429,1.40692,Greater (a>b)
-4.8581347,0.6499005,Greater (a>b)
-4.3259444,6.887464,Greater (a>b)
-3.3259602,-3.1751308,Greater (a>b)
-4.833835,0.42701462,Greater (a>b)
-3.17775,-1.2375238,Greater (a>b)
-3.5558338,-1.8774384,Greater (a>b)
-4.1664724,-2.2908003,Greater (a>b)
-4.2544727,-2.4087317,Greater (a>b)
-2.7842379,-0.9793345,Greater (a>b)
-4.796235,0.0379402,Greater (a>b)
-5.0230823,1.188632,Greater (a>b)
-4.515768,-1.8998672,Greater (a>b)
-4.7501516,0.33916128,Greater (a>b)
-2.1463616,-1.4476863,Greater (a>b)
-5.1310797,-0.50607485,Greater (a>b)
-4.913261,-0.5177264,Greater (a>b)
5.1287417,8.510563,Less (b>a)
2.297763,1.4361926,Less (b>a)
3.042922,-0.92547387,Less (b>a)
4.215426,5.4258494,Less (b>a)
4.6911864,1.6523291,Less (b>a)
4.191998,-1.2492664,Less (b>a)
6.221891,-2.391877,Less (b>a)
5.01399,-0.37331092,Less (b>a)
4.827541,2.2892067,Less (b>a)
3.828358,-1.4388227,Less (b>a)
6.4147573,-1.8520876,Less (b>a)
4.5698533,-0.33439246,Less (b>a)
6.596821,-0.6429288,Less (b>a)
1.9857451,-2.6851027,Less (b>a)
6.823179,-2.210271,Less (b>a)
4.728071,2.456625,Less (b>a)
5.321527,3.5656147,Less (b>a)
2.4228458,3.301596,Less (b>a)
6.324814,-2.896791,Less (b>a)
1.3302528,-0.50159067,Less (b>a)
3.9580872,-0.6093053,Less (b>a)
4.3400564,-1.4652822,Less (b>a)
2.4065816,7.649348,Less (b>a)
3.1315985,-2.330276,Less (b>a)
1.3750378,-1.8305198,Less (b>a)
5.087213,0.7167224,Less (b>a)
4.521651,-0.44999415,Less (b>a)
5.6013308,0.44595605,Less (b>a)
4.7352476,2.2847705,Less (b>a)
4.392566,0.36619434,Less (b>a)
5.9860272,-3.1728103,Less (b>a)
3.240162,-0.5314372,Less (b>a)
5.196747,-1.2384756,Less (b>a)
4.9522,-0.33559826,Less (b>a)
4.448162,1.4991566,Less (b>a)
3.2378948,1.3328286,Less (b>a)
6.8220773,1.3474413,Less (b>a)
5.999046,-1.8524425,Less (b>a)
6.919934,-0.037506502,Less (b>a)
5.721742,-1.5525095,Less (b>a)
3.1866283,-1.6183796,Less (b>a)
2.8255582,-0.49534306,Less (b>a)
4.1846776,-0.16064143,Less (b>a)
4.08453,4.434536,Less (b>a)
4.0736885,-0.8447618,Less (b>a)
3.687024,-1.1399053,Less (b>a)
4.704753,-1.3703127,Less (b>a)
4.467423,-1.5975318,Less (b>a)
3.8871694,-1.2264017,Less (b>a)
2.2646031,2.8753822,Less (b>a)
7.7283726,0.45041192,Less (b>a)
4.714493,4.585789,Less (b>a)
2.0860634,-2.667082,Less (b>a)
3.5679615,0.44642854,Less (b>a)
6.4806137,-1.1278789,Less (b>a)
6.824505,-3.160032,Less (b>a)
2.5381265,0.70712197,Less (b>a)
5.4756474,-1.5785019,Less (b>a)
4.8126674,-0.31921774,Less (b>a)
4.95266,-0.53091925,Less (b>a)
3.130494,-0.3995968,Less (b>a)
1.9450248,0.84577227,Less (b>a)
4.770539,-1.2555519,Less (b>a)
4.297119,4.902512,Less (b>a)
2.9183795,-0.1636576,Less (b>a)
5.838849,-2.0717695,Less (b>a)
4.1681647,5.3027196,Less (b>a)
6.3460135,-0.74492997,Less (b>a)
1.9351131,2.2950687,Less (b>a)
7.7620955,-2.460237,Less (b>a)
7.0824494,-1.4932628,Less (b>a)
1.3491993,2.7438178,Less (b>a)
5.8154426,-2.0571423,Less (b>a)
2.1782193,1.7211796,Less (b>a)
4.504131,2.410065,Less (b>a)
0.34862614,-2.435096,Less (b>a)
2.0723867,-1.0725052,Less (b>a)
5.1496625,-2.116803,Less (b>a)
1.8329908,2.931787,Less (b>a)
1.6292602,-0.42762142,Less (b>a)
5.056414,-2.174845,Less (b>a)
7.3701105,-1.6478158,Less (b>a)
4.0481777,-0.50317466,Less (b>a)
5.8027143,1.143076,Less (b>a)
2.9287014,2.2330053,Less (b>a)
1.3836545,5.921021,Less (b>a)
6.042746,-3.0282297,Less (b>a)
3.0553682,-0.64948994,Less (b>a)
4.8950057,3.0628114,Less (b>a)
2.4397566,-0.04232637,Less (b>a)
3.2685425,-0.72624284,Less (b>a)
4.323074,-2.0566099,Less (b>a)
5.3639145,-0.375002,Less (b>a)
3.9603927,-0.92591953,Less (b>a)
7.190585,1.5390241,Less (b>a)
6.736272,-1.4950069,Less (b>a)
1.5941373,0.569405,Less (b>a)
4.3591285,2.1829858,Less (b>a)
5.377518,1.9855162,Less (b>a)
3.086121,-1.7740121,Less (b>a)
