PC1,PC2,Class
20.422922,104.70538,Greater (a>b)
38.61817,12.5151615,Greater (a>b)
43.95591,-1.1828419,Greater (a>b)
23.510096,91.85827,Greater (a>b)
35.023808,16.882246,Greater (a>b)
36.59258,-16.931435,Greater (a>b)
37.20555,-7.4772162,Greater (a>b)
1.744092,-1.6114055,Greater (a>b)
38.526474,-7.0648274,Greater (a>b)
44.424484,-7.67904,Greater (a>b)
36.249386,-21.00669,Greater (a>b)
39.585564,-2.1866438,Greater (a>b)
37.387535,-4.423017,Greater (a>b)
30.236885,-0.85175955,Greater (a>b)
46.50034,-18.856329,Greater (a>b)
40.746964,3.2935054,Greater (a>b)
31.466362,84.36074,Greater (a>b)
29.168669,21.42089,Greater (a>b)
22.39105,-6.4515114,Greater (a>b)
42.298542,-11.687118,Greater (a>b)
37.942097,-11.343059,Greater (a>b)
38.27198,-24.314112,Greater (a>b)
23.4796,75.14456,Greater (a>b)
35.74502,3.4689407,Greater (a>b)
42.47864,-20.48933,Greater (a>b)
36.08224,-17.499231,Greater (a>b)
33.64148,-10.238882,Greater (a>b)
42.045174,-2.76707,Greater (a>b)
43.016644,2.6757646,Greater (a>b)
31.934359,3.9127624,Greater (a>b)
39.332027,13.393381,Greater (a>b)
34.777256,8.253609,Greater (a>b)
44.356915,0.11381886,Greater (a>b)
43.8782,3.0038967,Greater (a>b)
34.335,71.56169,Greater (a>b)
37.40761,-5.0585427,Greater (a>b)
39.362827,6.762594,Greater (a>b)
33.913208,12.411391,Greater (a>b)
40.317806,5.219483,Greater (a>b)
36.503593,-0.75807047,Greater (a>b)
32.696903,-1.0294623,Greater (a>b)
45.785767,1.7107354,Greater (a>b)
18.344732,22.432371,Greater (a>b)
31.24757,80.00253,Greater (a>b)
41.447834,-11.428983,Greater (a>b)
29.628454,3.1984208,Greater (a>b)
39.036423,0.45719287,Greater (a>b)
42.448032,2.1862376,Greater (a>b)
42.57349,-15.23852,Greater (a>b)
31.609251,5.2289777,Greater (a>b)
43.097412,-18.41117,Greater (a>b)
23.103136,-6.2999997,Greater (a>b)
38.362934,0.08041585,Greater (a>b)
28.18878,16.17247,Greater (a>b)
33.253784,-23.412018,Greater (a>b)
42.068466,-8.921279,Greater (a>b)
49.545956,-13.1560755,Greater (a>b)
40.65627,-12.202534,Greater (a>b)
39.213867,20.58145,Greater (a>b)
43.985794,-17.117949,Greater (a>b)
40.61416,-3.438884,Greater (a>b)
19.196136,34.92736,Greater (a>b)
42.492847,-8.210124,Greater (a>b)
31.723375,76.721634,Greater (a>b)
38.67756,10.113371,Greater (a>b)
40.650723,-22.044065,Greater (a>b)
21.493908,78.255135,Greater (a>b)
35.15413,-0.5101707,Greater (a>b)
33.18444,-24.458216,Greater (a>b)
39.75594,-17.897038,Greater (a>b)
36.73381,-22.659992,Greater (a>b)
38.598064,22.397738,Greater (a>b)
39.961918,16.083572,Greater (a>b)
34.05536,21.283415,Greater (a>b)
30.405294,2.4484797,Greater (a>b)
39.782948,-9.230018,Greater (a>b)
40.064816,-2.804834,Greater (a>b)
41.177708,-11.777895,Greater (a>b)
34.258385,-3.6423302,Greater (a>b)
41.517086,-23.961578,Greater (a>b)
21.07546,20.93694,Greater (a>b)
40.876076,-20.728245,Greater (a>b)
26.232597,5.922035,Greater (a>b)
41.173237,2.4449084,Greater (a>b)
33.630985,-26.540604,Greater (a>b)
25.550041,73.571396,Greater (a>b)
34.433224,-7.1179166,Greater (a>b)
35.94599,0.816026,Greater (a>b)
25.398172,-2.2206416,Greater (a>b)
37.72624,-24.357992,Greater (a>b)
39.438885,4.7982216,Greater (a>b)
37.059998,-5.255508,Greater (a>b)
29.210083,-21.61999,Greater (a>b)
40.54769,3.364252,Greater (a>b)
42.639145,0.041736536,Greater (a>b)
40.43575,-19.291428,Greater (a>b)
39.444656,-17.564505,Greater (a>b)
31.967848,-2.9515371,Greater (a>b)
41.971508,1.735022,Greater (a>b)
35.51355,6.836515,Greater (a>b)
-91.03045,62.71962,Less (b>a)
-17.563868,-25.27344,Less (b>a)
-30.74542,-20.184101,Less (b>a)
-70.43448,60.314796,Less (b>a)
-46.47999,7.584584,Less (b>a)
-35.481014,-30.59118,Less (b>a)
-48.99795,-14.734365,Less (b>a)
-48.437607,-4.31232,Less (b>a)
-51.018417,6.9496098,Less (b>a)
-24.730436,-26.254063,Less (b>a)
-38.619987,-5.8909974,Less (b>a)
-55.461273,-10.727088,Less (b>a)
-41.838642,-15.428954,Less (b>a)
-4.9473405,-8.504633,Less (b>a)
-35.62272,-19.567524,Less (b>a)
-47.472973,48.91049,Less (b>a)
-76.167984,35.669563,Less (b>a)
-30.753036,-1.8247374,Less (b>a)
-44.916527,-15.731106,Less (b>a)
-2.8349073,-16.787226,Less (b>a)
-37.138855,-18.586153,Less (b>a)
-20.433987,-28.292719,Less (b>a)
-76.85969,62.93569,Less (b>a)
-14.974453,-17.468716,Less (b>a)
0.9575376,-37.167038,Less (b>a)
-38.179394,-8.055019,Less (b>a)
-34.827625,-6.1245847,Less (b>a)
-33.396656,2.3098905,Less (b>a)
-49.334507,21.013702,Less (b>a)
-42.739117,-17.284584,Less (b>a)
-36.618908,-17.538712,Less (b>a)
-34.043545,-9.03677,Less (b>a)
-45.58237,-4.298826,Less (b>a)
-37.056076,-3.3348176,Less (b>a)
-65.12391,17.444237,Less (b>a)
-26.804234,-12.8736925,Less (b>a)
-67.5998,1.1953545,Less (b>a)
-35.91956,-12.15117,Less (b>a)
-56.792927,5.3520103,Less (b>a)
-44.391323,-13.448684,Less (b>a)
-16.742882,-21.556896,Less (b>a)
-31.736639,-5.12522,Less (b>a)
-41.72551,-8.790478,Less (b>a)
-65.93001,21.017458,Less (b>a)
-35.136593,-16.029005,Less (b>a)
-36.52528,-9.711173,Less (b>a)
-25.780645,-9.579444,Less (b>a)
-26.68105,-5.511265,Less (b>a)
-28.69084,0.5082038,Less (b>a)
-21.147781,0.12683932,Less (b>a)
-58.031586,-9.789329,Less (b>a)
-50.244564,12.326722,Less (b>a)
-0.5519816,-32.06956,Less (b>a)
-22.267979,-17.472618,Less (b>a)
-33.51003,-22.810926,Less (b>a)
-39.484955,-19.292246,Less (b>a)
-8.781984,-33.755474,Less (b>a)
-33.700592,-24.545137,Less (b>a)
-47.362328,-3.1896946,Less (b>a)
-39.807114,-14.390806,Less (b>a)
-21.5185,-27.253817,Less (b>a)
-21.42595,-10.574127,Less (b>a)
-27.160244,-33.910564,Less (b>a)
-72.158966,34.529964,Less (b>a)
-17.497438,-14.687131,Less (b>a)
-34.71756,-18.401499,Less (b>a)
-68.136696,26.36954,Less (b>a)
-38.942585,-20.003477,Less (b>a)
-15.76853,10.762785,Less (b>a)
-51.778805,-14.613783,Less (b>a)
-41.924885,-16.030512,Less (b>a)
-15.017132,32.790466,Less (b>a)
-49.745716,-8.866914,Less (b>a)
-31.505585,22.938673,Less (b>a)
-42.576374,35.145435,Less (b>a)
5.080498,-9.152771,Less (b>a)
-5.8301253,-25.100452,Less (b>a)
-23.018028,-24.961584,Less (b>a)
-23.430481,20.149426,Less (b>a)
-18.956364,-23.401258,Less (b>a)
-28.535954,-26.7888,Less (b>a)
-51.28084,-26.616755,Less (b>a)
-39.23456,-6.474963,Less (b>a)
-41.111393,7.265286,Less (b>a)
-28.3614,-1.357664,Less (b>a)
-34.509533,35.8296,Less (b>a)
-39.680035,-15.809097,Less (b>a)
-12.336191,-19.419312,Less (b>a)
-49.647263,22.973106,Less (b>a)
-16.94874,-12.466283,Less (b>a)
-12.5125475,4.2136173,Less (b>a)
-33.298256,-17.381649,Less (b>a)
-19.871435,-20.906471,Less (b>a)
-25.086412,-8.71638,Less (b>a)
-60.071648,10.133521,Less (b>a)
-49.215946,-17.957113,Less (b>a)
-17.192656,-4.2543864,Less (b>a)
-30.505869,24.92936,Less (b>a)
-51.00827,16.069242,Less (b>a)
-20.248037,-20.607183,Less (b>a)
