PC1,PC2,Class
20.422913,104.70537,Greater (a>b)
38.618164,12.515177,Greater (a>b)
43.9559,-1.1828482,Greater (a>b)
23.510098,91.85823,Greater (a>b)
35.02379,16.88223,Greater (a>b)
36.592567,-16.93143,Greater (a>b)
37.205536,-7.4772153,Greater (a>b)
1.7440912,-1.611405,Greater (a>b)
38.526455,-7.064818,Greater (a>b)
44.42447,-7.6790524,Greater (a>b)
36.249374,-21.006674,Greater (a>b)
39.585552,-2.1866405,Greater (a>b)
37.387524,-4.423009,Greater (a>b)
30.23688,-0.85176724,Greater (a>b)
46.50033,-18.85634,Greater (a>b)
40.74696,3.2935085,Greater (a>b)
31.466356,84.360695,Greater (a>b)
29.168661,21.420889,Greater (a>b)
22.391045,-6.451517,Greater (a>b)
42.29852,-11.687106,Greater (a>b)
37.94209,-11.343065,Greater (a>b)
38.271973,-24.314108,Greater (a>b)
23.479595,75.14456,Greater (a>b)
35.745018,3.468968,Greater (a>b)
42.478615,-20.489296,Greater (a>b)
36.08224,-17.499247,Greater (a>b)
33.641464,-10.238881,Greater (a>b)
42.045162,-2.7670817,Greater (a>b)
43.016617,2.675762,Greater (a>b)
31.93435,3.9127805,Greater (a>b)
39.332024,13.393384,Greater (a>b)
34.77724,8.253615,Greater (a>b)
44.3569,0.11379425,Greater (a>b)
43.87818,3.003904,Greater (a>b)
34.334995,71.56167,Greater (a>b)
37.407593,-5.0585337,Greater (a>b)
39.362816,6.7625866,Greater (a>b)
33.913197,12.411394,Greater (a>b)
40.317795,5.2194695,Greater (a>b)
36.503574,-0.7580809,Greater (a>b)
32.696896,-1.029461,Greater (a>b)
45.78576,1.7107257,Greater (a>b)
18.34473,22.432396,Greater (a>b)
31.247566,80.0025,Greater (a>b)
41.44782,-11.428973,Greater (a>b)
29.62845,3.1984005,Greater (a>b)
39.036407,0.45719573,Greater (a>b)
42.448017,2.1862373,Greater (a>b)
42.573475,-15.238514,Greater (a>b)
31.60924,5.2289786,Greater (a>b)
43.097393,-18.411179,Greater (a>b)
23.10313,-6.300004,Greater (a>b)
38.362915,0.080429465,Greater (a>b)
28.188772,16.172508,Greater (a>b)
33.253773,-23.412014,Greater (a>b)
42.06847,-8.921282,Greater (a>b)
49.545948,-13.156066,Greater (a>b)
40.656258,-12.2025175,Greater (a>b)
39.213852,20.58144,Greater (a>b)
43.98577,-17.117958,Greater (a>b)
40.614143,-3.4389129,Greater (a>b)
19.196136,34.92736,Greater (a>b)
42.492832,-8.21014,Greater (a>b)
31.723372,76.72162,Greater (a>b)
38.677555,10.11338,Greater (a>b)
40.65071,-22.044079,Greater (a>b)
21.493908,78.25513,Greater (a>b)
35.154118,-0.51018864,Greater (a>b)
33.18443,-24.458231,Greater (a>b)
39.755928,-17.89705,Greater (a>b)
36.7338,-22.659983,Greater (a>b)
38.598064,22.39771,Greater (a>b)
39.96191,16.083588,Greater (a>b)
34.055347,21.283417,Greater (a>b)
30.405287,2.4484541,Greater (a>b)
39.782944,-9.230003,Greater (a>b)
40.064804,-2.8048546,Greater (a>b)
41.1777,-11.777892,Greater (a>b)
34.25839,-3.6423466,Greater (a>b)
41.517063,-23.961557,Greater (a>b)
21.075455,20.936941,Greater (a>b)
40.87606,-20.728243,Greater (a>b)
26.232594,5.922035,Greater (a>b)
41.17322,2.4449055,Greater (a>b)
33.630978,-26.540602,Greater (a>b)
25.55004,73.57139,Greater (a>b)
34.433216,-7.117933,Greater (a>b)
35.945976,0.81605136,Greater (a>b)
25.398167,-2.2206454,Greater (a>b)
37.72623,-24.35798,Greater (a>b)
39.43887,4.798208,Greater (a>b)
37.05999,-5.255519,Greater (a>b)
29.210077,-21.619968,Greater (a>b)
40.54768,3.3642504,Greater (a>b)
42.639133,0.041727208,Greater (a>b)
40.435734,-19.291414,Greater (a>b)
39.444645,-17.56451,Greater (a>b)
31.96784,-2.9515538,Greater (a>b)
41.971493,1.7350107,Greater (a>b)
35.513554,6.8365335,Greater (a>b)
-91.0304,62.719616,Less (b>a)
-17.563866,-25.27343,Less (b>a)
-30.745419,-20.18408,Less (b>a)
-70.43446,60.31477,Less (b>a)
-46.479973,7.584582,Less (b>a)
-35.481003,-30.591131,Less (b>a)
-48.99793,-14.734362,Less (b>a)
-48.437584,-4.312308,Less (b>a)
-51.018417,6.9496093,Less (b>a)
-24.730433,-26.254066,Less (b>a)
-38.61997,-5.8909926,Less (b>a)
-55.461258,-10.727062,Less (b>a)
-41.838642,-15.428947,Less (b>a)
-4.94734,-8.504645,Less (b>a)
