PC1,PC2,Class
-1.7004144,-0.28606936,Greater (a>b)
-1.5687732,0.008671112,Greater (a>b)
-1.6791503,0.29782206,Greater (a>b)
-1.5635163,-0.26888502,Greater (a>b)
-1.6664214,-0.1949324,Greater (a>b)
-1.5959746,0.17566146,Greater (a>b)
-1.812627,0.2060002,Greater (a>b)
-1.4713264,0.20191394,Greater (a>b)
-1.7626293,-0.14948855,Greater (a>b)
-1.4647567,-0.030542277,Greater (a>b)
-1.4358506,-0.11495539,Greater (a>b)
-1.7747747,0.25996283,Greater (a>b)
-1.6365861,-0.003933129,Greater (a>b)
-1.7313745,0.22436629,Greater (a>b)
-1.6787406,0.045426898,Greater (a>b)
-1.4001273,-0.25784484,Greater (a>b)
-0.45542973,-0.22524284,Greater (a>b)
-1.6599911,-0.23120539,Greater (a>b)
-1.5840211,0.25573957,Greater (a>b)
-1.7812028,0.042282343,Greater (a>b)
-1.711412,0.0242905,Greater (a>b)
-1.4463996,0.12967575,Greater (a>b)
-1.5988712,-0.3580434,Greater (a>b)
-1.3632206,0.1101581,Greater (a>b)
-1.794243,0.014536605,Greater (a>b)
-1.7256603,-0.14337355,Greater (a>b)
-1.6475579,0.064509064,Greater (a>b)
-1.7720486,-0.2114691,Greater (a>b)
-1.6333289,-0.13057366,Greater (a>b)
-1.5706948,0.16704339,Greater (a>b)
-1.7493852,0.19086868,Greater (a>b)
-1.4629632,0.10870508,Greater (a>b)
-1.6654413,-0.099133804,Greater (a>b)
-1.6881638,0.008446828,Greater (a>b)
-1.413781,-0.20210083,Greater (a>b)
-1.6463299,-0.042939007,Greater (a>b)
-1.681938,-0.30169266,Greater (a>b)
-1.5914279,-0.14501533,Greater (a>b)
-1.7696147,-0.13523237,Greater (a>b)
-1.7946362,-0.05950766,Greater (a>b)
-1.9211214,-0.011845078,Greater (a>b)
-1.653823,0.056988064,Greater (a>b)
-1.6641563,0.15391995,Greater (a>b)
-0.6005832,-0.38494214,Greater (a>b)
-1.8340805,0.056131423,Greater (a>b)
-1.6792766,0.2154337,Greater (a>b)
-1.4164771,0.07083151,Greater (a>b)
-1.7306167,-0.08304667,Greater (a>b)
-1.845579,0.03982946,Greater (a>b)
-1.8334655,-0.30558088,Greater (a>b)
-1.69644,0.14579481,Greater (a>b)
-1.3512734,-0.15753555,Greater (a>b)
-1.5208865,0.23624854,Greater (a>b)
-1.512162,-0.014613226,Greater (a>b)
-1.7372844,0.17128412,Greater (a>b)
-1.8194757,0.23387715,Greater (a>b)
-1.7120867,-0.14818338,Greater (a>b)
-1.5550525,0.103519775,Greater (a>b)
-1.7727436,-0.076526456,Greater (a>b)
-1.6455119,-0.10627268,Greater (a>b)
-1.6540474,0.32409042,Greater (a>b)
-1.5658017,0.016543213,Greater (a>b)
-1.6442269,0.17710716,Greater (a>b)
-1.3807487,-0.21885902,Greater (a>b)
