PC1,PC2,Class
5.580967,3.1961553,Greater (a>b)
-3.145131,1.069523,Greater (a>b)
0.6134401,-1.162701,Greater (a>b)
6.0796986,1.3886919,Greater (a>b)
-1.3667321,2.0839279,Greater (a>b)
0.9017941,0.8682463,Greater (a>b)
-3.074311,0.18801019,Greater (a>b)
-1.9921597,1.3744857,Greater (a>b)
-1.7751081,2.2650583,Greater (a>b)
-1.2687618,-0.33560345,Greater (a>b)
-0.48905247,2.0538332,Greater (a>b)
1.1610131,-0.86388046,Greater (a>b)
-1.5750104,0.19321306,Greater (a>b)
-2.002402,0.48148835,Greater (a>b)
-3.3857875,1.9144549,Greater (a>b)
3.1602511,2.728768,Greater (a>b)
4.597421,0.20096603,Greater (a>b)
-1.5225625,2.6064837,Greater (a>b)
-1.5486021,-1.6419227,Greater (a>b)
-0.7578768,3.7481425,Greater (a>b)
0.21711782,-0.44139206,Greater (a>b)
-0.68291426,1.7092887,Greater (a>b)
5.5930963,2.2524102,Greater (a>b)
0.08118482,2.3035977,Greater (a>b)
-2.1813898,2.8717325,Greater (a>b)
-2.1756103,2.316903,Greater (a>b)
-0.90745395,0.7199135,Greater (a>b)
-1.0997586,3.2594533,Greater (a>b)
-1.3478309,2.9129968,Greater (a>b)
-0.11308879,-0.5030535,Greater (a>b)
-1.2252948,1.4515551,Greater (a>b)
2.5920944,0.1276219,Greater (a>b)
-2.9123764,0.8553293,Greater (a>b)
-2.0051923,-1.434451,Greater (a>b)
5.0136085,-0.47261164,Greater (a>b)
-3.3763661,3.7902946,Greater (a>b)
1.2710277,1.5198418,Greater (a>b)
1.3566996,1.1637336,Greater (a>b)
-0.32503423,2.5811973,Greater (a>b)
-0.8243705,2.4894097,Greater (a>b)
-2.47657,-0.37003323,Greater (a>b)
0.47364816,-1.0829638,Greater (a>b)
0.47261977,-1.9378918,Greater (a>b)
6.675164,-0.10879228,Greater (a>b)
-4.691666,2.6701643,Greater (a>b)
1.966288,0.47875452,Greater (a>b)
-1.6532619,0.07364044,Greater (a>b)
-2.2213833,1.965754,Greater (a>b)
-1.8832515,3.3868873,Greater (a>b)
-1.6934417,6.1792026,Greater (a>b)
-0.7368291,-1.1444632,Greater (a>b)
-1.2152528,2.029408,Greater (a>b)
-2.2898507,1.3469831,Greater (a>b)
-1.1778829,0.5441832,Greater (a>b)
-1.5290028,-1.410732,Greater (a>b)
-1.2966288,0.27197456,Greater (a>b)
1.0746013,2.7415662,Greater (a>b)
-1.3434188,0.63131046,Greater (a>b)
0.7249539,1.0440737,Greater (a>b)
-3.0090652,2.7995658,Greater (a>b)
-2.113193,0.030159604,Greater (a>b)
-3.5313127,0.8629033,Greater (a>b)
-2.1727598,-1.4272765,Greater (a>b)
3.8934267,1.6832733,Greater (a>b)
1.8128353,1.0471833,Greater (a>b)
-1.0167428,0.69376856,Greater (a>b)
6.1987767,1.4461309,Greater (a>b)
-2.8057632,0.6787269,Greater (a>b)
-3.2696729,1.9250957,Greater (a>b)
-1.5716237,0.84384745,Greater (a>b)
-0.40787172,-0.3629508,Greater (a>b)
2.188069,3.4278464,Greater (a>b)
-2.9978256,-1.1195312,Greater (a>b)
1.3547162,1.3068306,Greater (a>b)
0.077966996,1.7573929,Greater (a>b)
0.04374997,4.163638,Greater (a>b)
-0.9088045,-0.34121174,Greater (a>b)
-3.3891096,0.37901524,Greater (a>b)
0.07152586,1.0426775,Greater (a>b)
0.8088913,-1.6796954,Greater (a>b)
-0.6512788,-4.6923304,Greater (a>b)
-2.8591297,0.80355686,Greater (a>b)
-0.4113563,3.6564417,Greater (a>b)
-0.4911867,2.7162962,Greater (a>b)
-2.6285853,1.8052717,Greater (a>b)
8.950492,3.3438005,Greater (a>b)
-2.6194134,-0.30860907,Greater (a>b)
-2.4391716,2.23988,Greater (a>b)
0.38438907,3.5061862,Greater (a>b)
-3.099701,1.9170421,Greater (a>b)
-2.2372434,3.4696612,Greater (a>b)
-0.7055685,1.0099005,Greater (a>b)
-2.6442025,2.7554805,Greater (a>b)
-1.1001185,0.7217704,Greater (a>b)
-0.2901159,2.1546326,Greater (a>b)
-2.767149,0.9720465,Greater (a>b)
-3.9566495,1.0842278,Greater (a>b)
-2.2041824,2.2622294,Greater (a>b)
1.1121713,1.4898496,Greater (a>b)
2.6665587,2.2123919,Greater (a>b)
3.5942478,1.315295,Less (b>a)
-2.0919428,-1.6735619,Less (b>a)
0.20631476,-3.186123,Less (b>a)
4.697826,0.19491558,Less (b>a)
-0.6182182,0.09547894,Less (b>a)
1.4879539,-1.5000974,Less (b>a)
-2.4255662,-0.6571283,Less (b>a)
1.4127362,0.9598148,Less (b>a)
0.34025505,-2.2808845,Less (b>a)
-1.021935,0.0058515323,Less (b>a)
-1.2524961,-1.5738465,Less (b>a)
2.7459576,-2.3679023,Less (b>a)
-0.8228707,-1.9172034,Less (b>a)
-0.016958868,-1.6625842,Less (b>a)
-2.179651,0.062145326,Less (b>a)
7.561493,2.864369,Less (b>a)
4.304286,0.033367425,Less (b>a)
-0.5387207,-1.3251313,Less (b>a)
-1.3070097,-1.4300507,Less (b>a)
-0.10114298,-1.1665436,Less (b>a)
2.199073,-2.7396758,Less (b>a)
-1.2758646,-2.4023693,Less (b>a)
4.8493357,0.011692806,Less (b>a)
-1.8057244,-0.38355663,Less (b>a)
-0.024924554,-0.52136695,Less (b>a)
0.21688718,-1.5802597,Less (b>a)
-1.5991135,-3.0434167,Less (b>a)
-0.4746565,-0.8313359,Less (b>a)
1.7636662,-2.6600637,Less (b>a)
-0.4585892,-3.437589,Less (b>a)
-1.2854047,-1.3487954,Less (b>a)
2.5354722,-1.0591618,Less (b>a)
0.62917113,-1.4868715,Less (b>a)
1.165946,-2.3953078,Less (b>a)
2.5892715,-2.0473568,Less (b>a)
-1.3191419,-1.9270693,Less (b>a)
3.428048,-0.8445244,Less (b>a)
2.4502816,-2.0374491,Less (b>a)
1.3381357,-0.7068216,Less (b>a)
-2.692023,2.0574484,Less (b>a)
-2.4011166,-2.0877647,Less (b>a)
2.8358464,-1.6766495,Less (b>a)
2.218123,-1.1567008,Less (b>a)
2.9338963,-1.3402767,Less (b>a)
-2.4679534,-0.51559424,Less (b>a)
2.2355947,-1.841615,Less (b>a)
-1.7404855,-0.7581726,Less (b>a)
-2.2186828,-1.252431,Less (b>a)
-1.3377907,0.18481189,Less (b>a)
1.3537719,1.2409921,Less (b>a)
1.2088819,-3.5738816,Less (b>a)
0.4468964,-3.4448752,Less (b>a)
-2.5685992,-0.29258588,Less (b>a)
-1.2440474,-2.0926576,Less (b>a)
-0.704289,-2.6429121,Less (b>a)
0.4764698,-3.157386,Less (b>a)
-2.3782074,2.0367272,Less (b>a)
-0.6697261,-2.4145977,Less (b>a)
2.6643765,-0.03062789,Less (b>a)
-0.77021974,-2.591533,Less (b>a)
-2.806116,-2.3625536,Less (b>a)
-1.1523082,-1.4576277,Less (b>a)
-1.0225013,-3.3966765,Less (b>a)
3.345842,-0.64165133,Less (b>a)
0.2669608,-0.05065319,Less (b>a)
0.47051582,-0.23080662,Less (b>a)
3.9369519,-1.2413399,Less (b>a)
-1.6732403,-0.053002182,Less (b>a)
-1.2026157,-2.3882995,Less (b>a)
-0.28831133,-3.4398308,Less (b>a)
0.2568226,-3.555777,Less (b>a)
8.343331,0.75756544,Less (b>a)
-2.1150718,-3.1224036,Less (b>a)
1.3998228,-0.03308714,Less (b>a)
1.3688425,-2.4451554,Less (b>a)
3.3705778,2.3104181,Less (b>a)
0.04409909,-2.1639214,Less (b>a)
-2.0188937,-2.567115,Less (b>a)
2.250364,-1.6387825,Less (b>a)
1.3327479,-2.5341773,Less (b>a)
-1.4264525,-3.057921,Less (b>a)
-1.2940749,-3.4572275,Less (b>a)
0.3792089,1.656363,Less (b>a)
0.66131234,-1.9335202,Less (b>a)
-1.694654,-2.0486977,Less (b>a)
4.129319,2.0203178,Less (b>a)
0.2935133,-0.406287,Less (b>a)
-1.865911,-0.7972562,Less (b>a)
4.1198053,1.4815726,Less (b>a)
2.0678008,-1.1216874,Less (b>a)
-0.5076486,-1.9574482,Less (b>a)
0.18852608,0.67139953,Less (b>a)
-1.4718426,-1.9007863,Less (b>a)
1.0789589,0.08450762,Less (b>a)
2.9205947,-1.492481,Less (b>a)
-0.40036035,-1.1341405,Less (b>a)
-0.04351818,-1.0477277,Less (b>a)
0.8460747,-2.344124,Less (b>a)
-0.4643247,-2.1437635,Less (b>a)
0.7158804,-0.23205477,Less (b>a)
