Head,LogitDiff
Layer22Head5,0.33203125
Layer23Head0,0.168212890625
Layer27Head8,0.16064453125
Layer23Head25,0.08056640625
Layer35Head25,0.062408447265625
Layer26Head25,0.05804443359375
Layer34Head28,0.05511474609375
Layer22Head15,0.050140380859375
Layer22Head7,0.04180908203125
Layer23Head2,0.0331268310546875
Layer19Head10,0.0284423828125
Layer23Head26,0.0276947021484375
Layer31Head19,0.025421142578125
Layer30Head5,0.023712158203125
Layer35Head2,0.02223968505859375
Layer23Head22,0.0190582275390625
Layer26Head29,0.01903533935546875
Layer20Head8,0.0187835693359375
Layer35Head5,0.01854705810546875
Layer19Head31,0.017059326171875
Layer22Head4,0.01464080810546875
Layer23Head3,0.012912750244140625
Layer34Head17,0.010162353515625
Layer21Head19,0.0089569091796875
Layer20Head11,0.0057373046875
Layer25Head12,0.005035400390625
Layer19Head9,0.004241943359375
Layer35Head26,0.0032501220703125
Layer31Head9,0.00274658203125
Layer31Head11,0.002716064453125
Layer32Head14,-0.00048828125
Layer23Head13,-0.001434326171875
Layer24Head8,-0.00146484375
Layer21Head18,-0.00244140625
Layer17Head29,-0.0027313232421875
Layer32Head15,-0.002899169921875
Layer22Head9,-0.0029296875
Layer22Head17,-0.002960205078125
Layer19Head28,-0.00299072265625
Layer22Head16,-0.0031280517578125
Layer17Head27,-0.003204345703125
Layer20Head29,-0.00390625
Layer23Head30,-0.00390625
Layer8Head1,-0.00390625
Layer19Head29,-0.004180908203125
Layer19Head17,-0.004180908203125
Layer35Head1,-0.004425048828125
Layer17Head7,-0.004425048828125
Layer21Head0,-0.0048828125
Layer34Head21,-0.004913330078125
Layer34Head19,-0.005157470703125
Layer30Head7,-0.00537109375
Layer4Head7,-0.00537109375
Layer31Head16,-0.005401611328125
Layer8Head4,-0.005462646484375
Layer18Head30,-0.0054931640625
Layer21Head26,-0.005615234375
Layer34Head31,-0.005645751953125
Layer21Head2,-0.005645751953125
Layer26Head31,-0.005889892578125
Layer7Head15,-0.00592041015625
Layer18Head12,-0.00616455078125
Layer30Head0,-0.00616455078125
Layer19Head16,-0.00616455078125
Layer22Head10,-0.006195068359375
Layer18Head17,-0.00634765625
Layer28Head12,-0.00634765625
Layer22Head11,-0.006378173828125
Layer34Head10,-0.006439208984375
Layer33Head13,-0.006622314453125
Layer21Head15,-0.00665283203125
Layer10Head17,-0.00665283203125
Layer16Head4,-0.00665283203125
Layer35Head11,-0.00665283203125
Layer9Head22,-0.0067138671875
Layer4Head10,-0.006866455078125
Layer13Head5,-0.006866455078125
Layer28Head10,-0.00689697265625
Layer10Head9,-0.0069580078125
Layer20Head10,-0.0071258544921875
Layer24Head10,-0.00714111328125
Layer9Head6,-0.00714111328125
Layer20Head19,-0.007171630859375
Layer10Head14,-0.007171630859375
Layer19Head14,-0.007171630859375
Layer34Head8,-0.007171630859375
Layer6Head1,-0.0073394775390625
Layer18Head26,-0.007354736328125
Layer18Head1,-0.00738525390625
Layer16Head0,-0.00738525390625
Layer28Head14,-0.00738525390625
Layer3Head24,-0.0074005126953125
Layer34Head11,-0.0074005126953125
Layer20Head0,-0.007415771484375
Layer26Head13,-0.0074462890625
Layer14Head16,-0.00762939453125
Layer10Head16,-0.00762939453125
Layer2Head9,-0.00762939453125
Layer16Head17,-0.00762939453125
Layer21Head10,-0.00762939453125
Layer21Head14,-0.007659912109375
Layer30Head13,-0.0076904296875
Layer16Head15,-0.007843017578125
Layer3Head11,-0.007843017578125
Layer29Head19,-0.0079345703125
Layer7Head4,-0.00809478759765625
Layer31Head6,-0.00811767578125
Layer28Head16,-0.00811767578125
Layer27Head1,-0.00811767578125
Layer21Head9,-0.008148193359375
Layer31Head4,-0.008148193359375
Layer21Head20,-0.008148193359375
Layer9Head1,-0.008148193359375
Layer30Head21,-0.0081787109375
Layer18Head21,-0.0081787109375
Layer14Head15,-0.008331298828125
Layer24Head15,-0.008331298828125
Layer14Head10,-0.00836181640625
Layer12Head15,-0.00836181640625
Layer18Head23,-0.00836181640625
Layer14Head20,-0.008392333984375
Layer1Head15,-0.008392333984375
Layer23Head23,-0.008392333984375
Layer33Head31,-0.0084228515625
Layer35Head24,-0.008453369140625
Layer8Head0,-0.008575439453125
Layer19Head13,-0.008575439453125
Layer16Head26,-0.008575439453125
Layer25Head5,-0.0085906982421875
Layer10Head27,-0.0086212158203125
Layer22Head21,-0.008636474609375
Layer26Head3,-0.008636474609375
Layer15Head2,-0.008636474609375
Layer10Head12,-0.008636474609375
Layer1Head28,-0.008636474609375
Layer12Head11,-0.0086517333984375
Layer24Head9,-0.0086669921875
Layer30Head17,-0.0086669921875
Layer35Head19,-0.008697509765625
Layer1Head7,-0.00885009765625
Layer26Head5,-0.00885009765625
Layer8Head14,-0.00885009765625
Layer29Head2,-0.008880615234375
Layer35Head23,-0.0089111328125
Layer5Head17,-0.0089111328125
Layer21Head5,-0.0089111328125
Layer33Head7,-0.0089111328125
Layer32Head18,-0.0089111328125
Layer33Head20,-0.0089111328125
Layer5Head16,-0.0090789794921875
