layer,token,logit
0, Yes,-180.2535858154297
0, No,-179.28712463378906
0, Mary,-183.9547119140625
0, Cow,-185.59886169433594
0, Ocean,-182.2862091064453
1, Yes,-178.3321533203125
1, No,-177.74520874023438
1, Mary,-182.61061096191406
1, Cow,-184.48814392089844
1, Ocean,-179.43377685546875
2, Yes,-179.65318298339844
2, No,-179.47056579589844
2, Mary,-185.19166564941406
2, Cow,-186.99331665039062
2, Ocean,-183.73497009277344
3, Yes,-184.50115966796875
3, No,-188.3014373779297
3, Mary,-192.40635681152344
3, Cow,-194.87937927246094
3, Ocean,-190.13787841796875
4, Yes,-178.21229553222656
4, No,-181.75262451171875
4, Mary,-185.65603637695312
4, Cow,-187.94557189941406
4, Ocean,-182.969970703125
5, Yes,-162.3876953125
5, No,-167.719970703125
5, Mary,-172.56399536132812
5, Cow,-174.17611694335938
5, Ocean,-167.4593048095703
6, Yes,-167.71945190429688
6, No,-175.21286010742188
6, Mary,-179.40673828125
6, Cow,-180.7841033935547
6, Ocean,-176.98060607910156
7, Yes,-156.07568359375
7, No,-165.35560607910156
7, Mary,-172.40658569335938
7, Cow,-174.22384643554688
7, Ocean,-175.98959350585938
8, Yes,-158.2886199951172
8, No,-168.65982055664062
8, Mary,-180.63075256347656
8, Cow,-183.91162109375
8, Ocean,-182.5553741455078
9, Yes,-136.78494262695312
9, No,-146.98353576660156
9, Mary,-165.01473999023438
9, Cow,-169.1240234375
9, Ocean,-167.14450073242188
10, Yes,-182.64967346191406
10, No,-189.69418334960938
10, Mary,-216.4178009033203
10, Cow,-218.26736450195312
10, Ocean,-219.67478942871094
11, Yes,-1483.6580810546875
11, No,-1490.89111328125
11, Mary,-1522.9189453125
11, Cow,-1527.656494140625
11, Ocean,-1527.9251708984375
