layer,token,logit
0, Yes,-0.043687403202056885
0, No,0.3179186284542084
0, Mary,-1.291608214378357
0, Cow,-0.31220367550849915
0, Ocean,-0.8028069734573364
1, Yes,1.0968447923660278
1, No,0.2097022533416748
1, Mary,-1.62330961227417
1, Cow,-0.6402372121810913
1, Ocean,0.49496716260910034
2, Yes,2.139089584350586
2, No,2.2522029876708984
2, Mary,-1.059003233909607
2, Cow,-0.26066863536834717
2, Ocean,-0.46620291471481323
3, Yes,3.4238979816436768
3, No,3.195927858352661
3, Mary,-0.6891571879386902
3, Cow,-0.2173004150390625
3, Ocean,1.0563547611236572
4, Yes,4.756049633026123
4, No,3.1378767490386963
4, Mary,0.046946167945861816
4, Cow,-0.7080112099647522
4, Ocean,0.8860394954681396
5, Yes,7.923086643218994
5, No,5.5811848640441895
5, Mary,0.9275820851325989
5, Cow,-2.2548038959503174
5, Ocean,0.1693565845489502
6, Yes,7.856464862823486
6, No,4.4344305992126465
6, Mary,-0.30908453464508057
6, Cow,-1.758610486984253
6, Ocean,-1.5226041078567505
7, Yes,7.774533271789551
7, No,3.450453281402588
7, Mary,-1.113200068473816
7, Cow,-2.688570022583008
7, Ocean,-1.9332650899887085
8, Yes,8.45835018157959
8, No,2.9639089107513428
8, Mary,-2.0420002937316895
8, Cow,-3.1397006511688232
8, Ocean,-3.161306858062744
9, Yes,10.042976379394531
9, No,3.25087833404541
9, Mary,-1.5398728847503662
9, Cow,-3.4618091583251953
9, Ocean,-6.7128682136535645
10, Yes,13.586284637451172
10, No,4.445723056793213
10, Mary,-1.6325459480285645
10, Cow,-3.921417713165283
10, Ocean,-7.521453380584717
11, Yes,24.139354705810547
11, No,11.829599380493164
11, Mary,-2.7208914756774902
11, Cow,-3.9402384757995605
11, Ocean,-9.051040649414062
12, Yes,33.181907653808594
12, No,20.783349990844727
12, Mary,-1.9601631164550781
12, Cow,-4.965139389038086
12, Ocean,-7.600698471069336
13, Yes,34.4981803894043
13, No,24.393447875976562
13, Mary,-0.0967264175415039
13, Cow,-5.056796550750732
13, Ocean,-10.616811752319336
14, Yes,36.294803619384766
14, No,27.54043197631836
14, Mary,0.4841346740722656
14, Cow,-6.248481750488281
14, Ocean,-9.964794158935547
15, Yes,41.610260009765625
15, No,36.07269287109375
15, Mary,1.3301677703857422
15, Cow,-6.2871294021606445
15, Ocean,-8.776358604431152
