layer,token,logit
0,Yes,-0.7224447727203369
0,No,0.6744649410247803
1,Yes,-1.249234676361084
1,No,-0.2275075912475586
2,Yes,-1.0301110744476318
2,No,-0.7753407955169678
3,Yes,-2.3131861686706543
3,No,-2.1909708976745605
4,Yes,-0.18703430891036987
4,No,-1.3700246810913086
5,Yes,-0.9591689705848694
5,No,-2.6999547481536865
6,Yes,-1.2202091217041016
6,No,-0.2790539264678955
7,Yes,-0.8734755516052246
7,No,-1.3818113803863525
8,Yes,-0.2766909599304199
8,No,-3.4473180770874023
9,Yes,-0.6510093212127686
9,No,-3.5517020225524902
10,Yes,-0.605634331703186
10,No,-4.234041690826416
11,Yes,3.6220357418060303
11,No,-1.0254186391830444
12,Yes,4.649196624755859
12,No,-2.7210605144500732
13,Yes,2.6848368644714355
13,No,1.1817646026611328
14,Yes,4.980390548706055
14,No,3.1807024478912354
15,Yes,1.2626402378082275
15,No,1.2922227382659912
