layer,token,logit
0, Yes,-1.851091742515564
0, No,-2.6332640647888184
0, Mary,-1.4605002403259277
0, Cow,-3.584831714630127
0, Ocean,-1.5431900024414062
1, Yes,-0.9808360934257507
1, No,-1.2939167022705078
1, Mary,-0.7655823826789856
1, Cow,-1.891439437866211
1, Ocean,-1.2232532501220703
2, Yes,-0.7512855529785156
2, No,-1.5333311557769775
2, Mary,-2.1437809467315674
2, Cow,-3.7680609226226807
2, Ocean,-2.918832778930664
3, Yes,-0.5217564105987549
3, No,-2.846378803253174
3, Mary,-2.6865482330322266
3, Cow,-5.009211540222168
3, Ocean,-3.583498001098633
4, Yes,-1.248335599899292
4, No,-4.2811689376831055
4, Mary,-3.8800601959228516
4, Cow,-6.07705545425415
4, Ocean,-3.6059014797210693
5, Yes,1.9477033615112305
5, No,-4.763357162475586
5, Mary,-2.5966615676879883
5, Cow,-6.340503692626953
5, Ocean,-3.902838706970215
6, Yes,3.5488533973693848
6, No,-2.497390031814575
6, Mary,-1.3647700548171997
6, Cow,-3.5170035362243652
6, Ocean,-2.432492733001709
7, Yes,4.290769577026367
7, No,-0.8548374176025391
7, Mary,-2.6149864196777344
7, Cow,-3.8852453231811523
7, Ocean,-2.9419474601745605
8, Yes,6.37631893157959
8, No,0.6683441400527954
8, Mary,-0.8239734172821045
8, Cow,-0.6797019243240356
8, Ocean,-2.7569572925567627
9, Yes,7.107664108276367
9, No,1.2629534006118774
9, Mary,-2.1929361820220947
9, Cow,-0.25982362031936646
9, Ocean,-1.763412356376648
10, Yes,7.6436309814453125
10, No,1.9533002376556396
10, Mary,-0.22744113206863403
10, Cow,2.926269292831421
10, Ocean,-2.816962957382202
11, Yes,14.085199356079102
11, No,7.491530895233154
11, Mary,2.230989933013916
11, Cow,3.259599208831787
11, Ocean,-1.8582344055175781
12, Yes,16.576417922973633
12, No,10.256643295288086
12, Mary,3.4479761123657227
12, Cow,3.4244225025177
12, Ocean,0.391038179397583
13, Yes,19.315868377685547
13, No,12.544296264648438
13, Mary,4.264190673828125
13, Cow,2.7636477947235107
13, Ocean,1.6728510856628418
14, Yes,25.300046920776367
14, No,12.194709777832031
14, Mary,3.5940940380096436
14, Cow,1.8434319496154785
14, Ocean,-0.12061190605163574
15, Yes,32.02475357055664
15, No,13.790786743164062
15, Mary,3.405179977416992
15, Cow,0.9715898036956787
15, Ocean,-0.9175553321838379
16, Yes,42.51643753051758
16, No,24.33708953857422
16, Mary,8.426543235778809
16, Cow,5.3406782150268555
16, Ocean,4.745139122009277
17, Yes,46.33091735839844
17, No,29.111331939697266
17, Mary,10.130922317504883
17, Cow,5.978310585021973
17, Ocean,4.764463424682617
18, Yes,51.26177215576172
18, No,36.146392822265625
18, Mary,8.569746971130371
18, Cow,5.088108062744141
18, Ocean,3.000307083129883
19, Yes,62.66925811767578
19, No,50.054561614990234
19, Mary,17.615880966186523
19, Cow,12.599592208862305
19, Ocean,10.762767791748047
20, Yes,76.70723724365234
20, No,66.82872772216797
20, Mary,27.906173706054688
20, Cow,22.27338981628418
20, Ocean,19.884977340698242
21, Yes,81.78388977050781
21, No,74.12318420410156
21, Mary,31.52997589111328
21, Cow,26.702425003051758
21, Ocean,21.502315521240234
22, Yes,94.3193130493164
22, No,90.65040588378906
22, Mary,43.09628677368164
22, Cow,36.21821212768555
22, Ocean,31.045297622680664
23, Yes,104.41725158691406
23, No,103.05329895019531
23, Mary,51.20302963256836
23, Cow,44.5638313293457
23, Ocean,38.61372375488281
24, Yes,111.8812255859375
24, No,113.02011108398438
24, Mary,57.864498138427734
24, Cow,50.6710090637207
24, Ocean,44.83445739746094
25, Yes,117.03164672851562
25, No,120.22654724121094
25, Mary,61.93592834472656
25, Cow,54.9312858581543
25, Ocean,48.92885208129883
26, Yes,119.81895446777344
26, No,124.71038818359375
26, Mary,62.91278076171875
26, Cow,55.05290985107422
26, Ocean,49.759925842285156
27, Yes,119.95378112792969
27, No,129.67837524414062
27, Mary,66.48934936523438
27, Cow,58.79576873779297
27, Ocean,54.084625244140625
28, Yes,120.26077270507812
28, No,134.02420043945312
28, Mary,69.64068603515625
28, Cow,60.41157150268555
28, Ocean,57.39173126220703
29, Yes,117.87583923339844
29, No,131.6912078857422
29, Mary,66.51640319824219
29, Cow,58.72660827636719
29, Ocean,55.5471076965332
30, Yes,106.59507751464844
30, No,111.36210632324219
30, Mary,57.24565887451172
30, Cow,50.908626556396484
30, Ocean,49.031715393066406
31, Yes,114.71736145019531
31, No,113.75924682617188
31, Mary,60.4688720703125
31, Cow,60.605716705322266
31, Ocean,53.76021957397461
