layer,token,logit
0,Yes,-2.280087471008301
0,No,-4.381182670593262
1,Yes,-0.47648555040359497
1,No,-1.956114411354065
2,Yes,-1.1398961544036865
2,No,-2.901956081390381
3,Yes,-1.2652393579483032
3,No,-3.0042715072631836
4,Yes,0.051126837730407715
4,No,-0.9609503746032715
5,Yes,-0.09089124202728271
5,No,-1.621230125427246
6,Yes,2.535897970199585
6,No,0.14314556121826172
7,Yes,0.7712870240211487
7,No,0.1349325180053711
8,Yes,-2.384838819503784
8,No,-1.9689838886260986
9,Yes,-1.0525869131088257
9,No,0.04720962047576904
10,Yes,0.6636207103729248
10,No,2.2541444301605225
11,Yes,-0.2147223949432373
11,No,1.362943410873413
12,Yes,1.3080615997314453
12,No,2.045865535736084
13,Yes,2.120408535003662
13,No,3.0381181240081787
14,Yes,2.450713634490967
14,No,2.744584798812866
15,Yes,5.772360801696777
15,No,6.224138259887695
16,Yes,5.925000190734863
16,No,7.258101940155029
17,Yes,8.541659355163574
17,No,9.404851913452148
18,Yes,9.711920738220215
18,No,10.32944107055664
19,Yes,13.59830093383789
19,No,13.01995849609375
20,Yes,19.134233474731445
20,No,20.43427085876465
21,Yes,21.165931701660156
21,No,23.747520446777344
22,Yes,23.554244995117188
22,No,26.85378074645996
23,Yes,28.887924194335938
23,No,32.69304656982422
24,Yes,34.3088493347168
24,No,37.62779235839844
25,Yes,37.44618606567383
25,No,45.89228057861328
26,Yes,40.827178955078125
26,No,48.72967529296875
27,Yes,41.06583786010742
27,No,51.56591796875
28,Yes,40.898529052734375
28,No,51.27886962890625
29,Yes,38.63405227661133
29,No,49.051734924316406
30,Yes,34.283451080322266
30,No,44.99319076538086
31,Yes,41.58999252319336
31,No,50.122650146484375
