layer,token,logit
0,Yes,0.33066117763519287
0,No,0.37853163480758667
1,Yes,0.7703919410705566
1,No,0.46618038415908813
2,Yes,2.15676212310791
2,No,1.6135238409042358
3,Yes,1.4255106449127197
3,No,2.1493513584136963
4,Yes,0.7488534450531006
4,No,1.985785722732544
5,Yes,0.700424313545227
5,No,2.2894725799560547
6,Yes,1.8392046689987183
6,No,3.6610426902770996
7,Yes,1.8246625661849976
7,No,2.9642410278320312
8,Yes,0.44680702686309814
8,No,1.4369219541549683
9,Yes,-1.4442119598388672
9,No,-0.08050167560577393
10,Yes,-1.1669871807098389
10,No,-0.11131036281585693
11,Yes,-0.8394114375114441
11,No,2.258596420288086
12,Yes,-2.9859070777893066
12,No,1.0176290273666382
13,Yes,1.3140053749084473
13,No,4.283351898193359
14,Yes,-0.218281090259552
14,No,2.7666711807250977
15,Yes,-2.9502296447753906
15,No,-0.6260080933570862
16,Yes,-3.3295841217041016
16,No,-0.47055816650390625
17,Yes,-2.62331485748291
17,No,1.9073927402496338
18,Yes,-0.7257912158966064
18,No,4.414137840270996
19,Yes,-0.2947568893432617
19,No,9.34257984161377
20,Yes,1.2882614135742188
20,No,11.897734642028809
21,Yes,1.9456801414489746
21,No,11.231037139892578
22,Yes,2.4899613857269287
22,No,11.439009666442871
23,Yes,7.091102600097656
23,No,14.361912727355957
