layer,token,logit
0, Yes,3.222489356994629
0, No,1.7653381824493408
0, Mary,1.5795073509216309
0, Cow,2.3369030952453613
0, Ocean,-0.8474814891815186
1, Yes,2.6305534839630127
1, No,0.35228073596954346
1, Mary,0.24847358465194702
1, Cow,1.840496301651001
1, Ocean,-1.9149564504623413
2, Yes,2.889740467071533
2, No,1.0261945724487305
2, Mary,0.1746196150779724
2, Cow,2.2586381435394287
2, Ocean,-1.7044954299926758
3, Yes,4.53422737121582
3, No,1.3626552820205688
3, Mary,-0.6970911026000977
3, Cow,1.60188889503479
3, Ocean,-1.5221569538116455
4, Yes,4.479706287384033
4, No,0.9007972478866577
4, Mary,-0.1214604377746582
4, Cow,1.5781012773513794
4, Ocean,-0.9648919701576233
5, Yes,4.382636070251465
5, No,1.416768193244934
5, Mary,-0.37844955921173096
5, Cow,1.9939988851547241
5, Ocean,-0.15691521763801575
6, Yes,6.229736328125
6, No,0.5593788623809814
6, Mary,-0.7211223244667053
6, Cow,3.7825429439544678
6, Ocean,-2.018265724182129
7, Yes,8.339828491210938
7, No,1.9621280431747437
7, Mary,0.36038631200790405
7, Cow,3.5342159271240234
7, Ocean,-1.055107831954956
8, Yes,8.717758178710938
8, No,3.059196949005127
8, Mary,1.6043274402618408
8, Cow,3.2417104244232178
8, Ocean,-0.4698469638824463
9, Yes,8.695752143859863
9, No,3.172609329223633
9, Mary,2.0615668296813965
9, Cow,1.7425611019134521
9, Ocean,-0.05019363760948181
10, Yes,11.59073543548584
10, No,3.9592299461364746
10, Mary,-0.9285149574279785
10, Cow,1.2689859867095947
10, Ocean,0.7793825268745422
11, Yes,14.682793617248535
11, No,5.006560325622559
11, Mary,-1.1724389791488647
11, Cow,0.9606839418411255
11, Ocean,-0.6595656275749207
12, Yes,13.248516082763672
12, No,5.87331485748291
12, Mary,1.8446511030197144
12, Cow,1.2082068920135498
12, Ocean,0.37214839458465576
13, Yes,16.867820739746094
13, No,7.421213150024414
13, Mary,1.4979629516601562
13, Cow,1.0089638233184814
13, Ocean,-1.4449406862258911
14, Yes,18.900043487548828
14, No,7.092611789703369
14, Mary,3.4113407135009766
14, Cow,1.9318795204162598
14, Ocean,0.11691427230834961
15, Yes,16.848018646240234
15, No,8.914420127868652
15, Mary,1.7146104574203491
15, Cow,1.7765896320343018
15, Ocean,1.6499223709106445
16, Yes,18.01352310180664
16, No,5.192309856414795
16, Mary,2.308011054992676
16, Cow,-0.43494462966918945
16, Ocean,0.12511110305786133
17, Yes,17.41495132446289
17, No,8.631328582763672
17, Mary,2.998823642730713
17, Cow,-0.1343388557434082
17, Ocean,2.536849021911621
18, Yes,18.074209213256836
18, No,5.128192901611328
18, Mary,2.6748147010803223
18, Cow,-2.8902428150177
18, Ocean,0.7795920968055725
19, Yes,17.219158172607422
19, No,6.400190353393555
19, Mary,4.700955390930176
19, Cow,-3.468536615371704
19, Ocean,-1.8300344944000244
20, Yes,16.381410598754883
20, No,6.593039512634277
20, Mary,5.472498893737793
20, Cow,-5.088558197021484
20, Ocean,-1.9319360256195068
21, Yes,17.741941452026367
21, No,7.303286552429199
21, Mary,5.518939018249512
21, Cow,-5.410406112670898
21, Ocean,-2.429503917694092
22, Yes,21.351070404052734
22, No,5.8776960372924805
22, Mary,3.4675345420837402
22, Cow,-6.312917709350586
22, Ocean,-1.3042738437652588
23, Yes,21.258319854736328
23, No,2.508554458618164
23, Mary,2.484609842300415
23, Cow,-6.057816505432129
23, Ocean,1.4979333877563477
24, Yes,25.944873809814453
24, No,3.0585391521453857
24, Mary,1.7562265396118164
24, Cow,-0.7363734245300293
24, Ocean,1.098534107208252
25, Yes,27.271448135375977
25, No,2.7056660652160645
25, Mary,-0.5764731168746948
25, Cow,-4.7097320556640625
25, Ocean,-1.3628332614898682
26, Yes,62.99665069580078
26, No,9.970707893371582
26, Mary,-0.035468101501464844
26, Cow,0.3646944761276245
26, Ocean,-3.0788702964782715
27, Yes,66.07311248779297
27, No,21.263317108154297
27, Mary,0.4164576530456543
27, Cow,-4.783072471618652
27, Ocean,-6.288228988647461
28, Yes,76.1059799194336
28, No,27.521108627319336
28, Mary,6.680084228515625
28, Cow,-2.6378936767578125
28, Ocean,-5.351910591125488
29, Yes,92.35079956054688
29, No,33.5853157043457
29, Mary,8.886225700378418
29, Cow,-3.9196267127990723
29, Ocean,-8.026643753051758
30, Yes,171.7550048828125
30, No,57.66717529296875
30, Mary,9.273780822753906
30, Cow,-12.215599060058594
30, Ocean,-0.5090718269348145
31, Yes,196.13705444335938
31, No,106.06864166259766
31, Mary,8.270853042602539
31, Cow,-8.276662826538086
31, Ocean,-4.531961917877197
32, Yes,211.60418701171875
32, No,125.77391052246094
32, Mary,16.01968765258789
32, Cow,-4.423725128173828
32, Ocean,-0.9271583557128906
33, Yes,227.32266235351562
33, No,151.20693969726562
33, Mary,23.135608673095703
33, Cow,-6.410871505737305
33, Ocean,8.886114120483398
34, Yes,214.83932495117188
34, No,170.66261291503906
34, Mary,41.49176788330078
34, Cow,11.771005630493164
34, Ocean,22.109695434570312
35, Yes,203.69845581054688
35, No,178.01194763183594
35, Mary,55.917022705078125
35, Cow,40.63993453979492
35, Ocean,40.91952133178711
