layer,token,logit
0,Yes,-0.06114916503429413
0,No,0.26659640669822693
1,Yes,-0.6224938631057739
1,No,-1.9995347261428833
2,Yes,-0.8487024903297424
2,No,-0.5502011179924011
3,Yes,0.17387449741363525
3,No,-2.022618293762207
4,Yes,-0.1503303050994873
4,No,-1.750117301940918
5,Yes,-1.3148834705352783
5,No,-2.888871669769287
6,Yes,-0.9882124662399292
6,No,0.8333451747894287
7,Yes,-0.8700680732727051
7,No,2.9078826904296875
8,Yes,3.2192180156707764
8,No,0.3465224504470825
9,Yes,-2.9151451587677
9,No,-3.8496265411376953
10,Yes,-2.596245288848877
10,No,-10.787274360656738
11,Yes,0.22113829851150513
11,No,-5.681162357330322
12,Yes,-1.5736720561981201
12,No,-2.6883692741394043
13,Yes,-3.9333372116088867
13,No,-4.132159233093262
14,Yes,-0.7437314987182617
14,No,1.7665624618530273
15,Yes,-2.461167812347412
15,No,2.456306219100952
16,Yes,-9.668230056762695
16,No,-5.056832313537598
17,Yes,-3.6749699115753174
17,No,-8.110053062438965
18,Yes,-2.1433215141296387
18,No,-4.106958866119385
19,Yes,0.7186031341552734
19,No,-2.485428810119629
20,Yes,-0.33977556228637695
20,No,2.121790885925293
21,Yes,-4.908727645874023
21,No,0.9781622886657715
22,Yes,-4.49909782409668
22,No,1.2144465446472168
23,Yes,-5.952827453613281
23,No,-1.4760456085205078
24,Yes,-10.997323036193848
24,No,-4.415649890899658
25,Yes,-8.05160903930664
25,No,-14.744994163513184
26,Yes,-18.685386657714844
26,No,-22.01702117919922
27,Yes,-11.030041694641113
27,No,-21.41691017150879
28,Yes,-10.189218521118164
28,No,-29.511463165283203
29,Yes,-10.140727996826172
29,No,-34.225730895996094
30,Yes,-14.122044563293457
30,No,-40.92690658569336
31,Yes,-22.312910079956055
31,No,-43.67801284790039
32,Yes,-38.33032989501953
32,No,-53.8563232421875
33,Yes,-42.057281494140625
33,No,-133.98428344726562
34,Yes,-0.024931907653808594
34,No,-110.7613754272461
35,Yes,41.84589385986328
35,No,-39.33783721923828
