a,b,label,base_pred,steered_pred,base_yes_logp,base_no_logp,base_margin,steered_yes_logp,steered_no_logp,steered_margin,margin_shift,flipped,base_correct,steered_correct,alpha_resid,alpha_head5,alpha_head7,layer
81,14,Yes,Yes,Yes,-6.12109375,-7.04296875,0.921875,-5.77734375,-9.515625,3.73828125,2.81640625,0,1,1,0.0,4.0,-12.0,24
3,94,No,No,No,-9.046875,-6.59765625,-2.44921875,-7.1015625,-6.78125,-0.3203125,2.12890625,0,1,1,0.0,4.0,-12.0,24
35,31,Yes,Yes,Yes,-5.9453125,-9.015625,3.0703125,-5.96484375,-10.4609375,4.49609375,1.42578125,0,1,1,0.0,4.0,-12.0,24
28,17,Yes,Yes,Yes,-5.90234375,-9.484375,3.58203125,-5.90234375,-10.6796875,4.77734375,1.1953125,0,1,1,0.0,4.0,-12.0,24
94,13,Yes,Yes,Yes,-6.40625,-6.7734375,0.3671875,-5.80078125,-9.0703125,3.26953125,2.90234375,0,1,1,0.0,4.0,-12.0,24
86,94,No,No,No,-9.2890625,-6.390625,-2.8984375,-8.125,-6.23046875,-1.89453125,1.00390625,0,1,1,0.0,4.0,-12.0,24
69,11,Yes,Yes,Yes,-6.71875,-7.4453125,0.7265625,-6.12890625,-9.234375,3.10546875,2.37890625,0,1,1,0.0,4.0,-12.0,24
75,54,Yes,Yes,Yes,-5.859375,-8.515625,2.65625,-5.80078125,-10.0859375,4.28515625,1.62890625,0,1,1,0.0,4.0,-12.0,24
4,3,Yes,Yes,Yes,-6.26171875,-10.828125,4.56640625,-6.328125,-11.8125,5.484375,0.91796875,0,1,1,0.0,4.0,-12.0,24
11,27,No,No,No,-8.546875,-6.1796875,-2.3671875,-6.64453125,-6.56640625,-0.078125,2.2890625,0,1,1,0.0,4.0,-12.0,24
29,64,No,No,No,-8.8046875,-6.65625,-2.1484375,-7.0859375,-6.6953125,-0.390625,1.7578125,0,1,1,0.0,4.0,-12.0,24
77,3,Yes,No,Yes,-7.00390625,-6.67578125,-0.328125,-6.078125,-8.7109375,2.6328125,2.9609375,1,0,1,0.0,4.0,-12.0,24
71,25,Yes,Yes,Yes,-5.8046875,-9.09375,3.2890625,-5.82421875,-10.4140625,4.58984375,1.30078125,0,1,1,0.0,4.0,-12.0,24
91,83,Yes,Yes,Yes,-5.8203125,-8.625,2.8046875,-5.7265625,-9.96875,4.2421875,1.4375,0,1,1,0.0,4.0,-12.0,24
89,69,Yes,Yes,Yes,-5.9609375,-8.875,2.9140625,-5.94140625,-10.234375,4.29296875,1.37890625,0,1,1,0.0,4.0,-12.0,24
53,28,Yes,Yes,Yes,-6.0,-9.4921875,3.4921875,-6.00390625,-10.6640625,4.66015625,1.16796875,0,1,1,0.0,4.0,-12.0,24
57,75,No,No,No,-9.0625,-6.5546875,-2.5078125,-7.69140625,-6.40234375,-1.2890625,1.21875,0,1,1,0.0,4.0,-12.0,24
35,0,Yes,Yes,Yes,-6.08984375,-8.671875,2.58203125,-5.96484375,-10.6875,4.72265625,2.140625,0,1,1,0.0,4.0,-12.0,24
97,20,Yes,Yes,Yes,-6.13671875,-7.66796875,1.53125,-5.90625,-9.625,3.71875,2.1875,0,1,1,0.0,4.0,-12.0,24
89,54,Yes,Yes,Yes,-6.046875,-8.984375,2.9375,-6.0,-10.2890625,4.2890625,1.3515625,0,1,1,0.0,4.0,-12.0,24
43,35,Yes,Yes,Yes,-5.91015625,-9.3671875,3.45703125,-5.92578125,-10.515625,4.58984375,1.1328125,0,1,1,0.0,4.0,-12.0,24
19,27,No,No,No,-8.859375,-6.10546875,-2.75390625,-6.859375,-6.4140625,-0.4453125,2.30859375,0,1,1,0.0,4.0,-12.0,24
97,43,Yes,Yes,Yes,-6.0,-9.5390625,3.5390625,-6.02734375,-10.65625,4.62890625,1.08984375,0,1,1,0.0,4.0,-12.0,24
13,11,Yes,Yes,Yes,-5.921875,-9.9375,4.015625,-6.00390625,-11.1171875,5.11328125,1.09765625,0,1,1,0.0,4.0,-12.0,24
48,12,Yes,Yes,Yes,-6.0,-8.140625,2.140625,-5.8671875,-10.0234375,4.15625,2.015625,0,1,1,0.0,4.0,-12.0,24
45,44,Yes,Yes,Yes,-5.75390625,-9.5546875,3.80078125,-5.81640625,-10.75,4.93359375,1.1328125,0,1,1,0.0,4.0,-12.0,24
77,33,Yes,Yes,Yes,-5.88671875,-8.8125,2.92578125,-5.89453125,-10.2890625,4.39453125,1.46875,0,1,1,0.0,4.0,-12.0,24
5,93,No,No,No,-9.6640625,-7.046875,-2.6171875,-7.984375,-6.9140625,-1.0703125,1.546875,0,1,1,0.0,4.0,-12.0,24
58,68,No,No,No,-9.0078125,-6.53515625,-2.47265625,-7.6484375,-6.421875,-1.2265625,1.24609375,0,1,1,0.0,4.0,-12.0,24
15,48,No,No,No,-9.734375,-7.13671875,-2.59765625,-8.125,-7.015625,-1.109375,1.48828125,0,1,1,0.0,4.0,-12.0,24
10,70,No,No,Yes,-8.8125,-7.00390625,-1.80859375,-6.73046875,-7.72265625,0.9921875,2.80078125,1,1,0,0.0,4.0,-12.0,24
37,80,No,No,Yes,-8.2890625,-6.48046875,-1.80859375,-6.2265625,-7.1328125,0.90625,2.71484375,1,1,0,0.0,4.0,-12.0,24
79,46,Yes,Yes,Yes,-6.0234375,-9.296875,3.2734375,-6.078125,-10.75,4.671875,1.3984375,0,1,1,0.0,4.0,-12.0,24
73,24,Yes,Yes,Yes,-5.69140625,-8.9375,3.24609375,-5.70703125,-10.15625,4.44921875,1.203125,0,1,1,0.0,4.0,-12.0,24
90,8,Yes,Yes,Yes,-6.9453125,-7.046875,0.1015625,-6.25,-9.3125,3.0625,2.9609375,0,1,1,0.0,4.0,-12.0,24
5,84,No,No,No,-9.5234375,-6.82421875,-2.69921875,-7.76171875,-6.72265625,-1.0390625,1.66015625,0,1,1,0.0,4.0,-12.0,24
29,98,No,No,No,-8.9921875,-6.859375,-2.1328125,-7.3203125,-6.953125,-0.3671875,1.765625,0,1,1,0.0,4.0,-12.0,24
37,10,Yes,Yes,Yes,-5.87109375,-7.91015625,2.0390625,-5.7890625,-9.9296875,4.140625,2.1015625,0,1,1,0.0,4.0,-12.0,24
29,12,Yes,Yes,Yes,-6.0078125,-9.875,3.8671875,-6.02734375,-10.7890625,4.76171875,0.89453125,0,1,1,0.0,4.0,-12.0,24
48,35,Yes,Yes,Yes,-5.8359375,-9.0,3.1640625,-5.828125,-10.375,4.546875,1.3828125,0,1,1,0.0,4.0,-12.0,24
58,81,No,No,No,-8.890625,-6.6875,-2.203125,-7.23046875,-6.58203125,-0.6484375,1.5546875,0,1,1,0.0,4.0,-12.0,24
46,20,Yes,Yes,Yes,-6.20703125,-9.8671875,3.66015625,-6.15234375,-10.8984375,4.74609375,1.0859375,0,1,1,0.0,4.0,-12.0,24
47,45,Yes,Yes,Yes,-5.9140625,-9.46875,3.5546875,-5.93359375,-10.5859375,4.65234375,1.09765625,0,1,1,0.0,4.0,-12.0,24
26,85,No,No,Yes,-9.0234375,-7.09375,-1.9296875,-7.12109375,-7.26171875,0.140625,2.0703125,1,1,0,0.0,4.0,-12.0,24
34,89,No,No,No,-9.5859375,-7.08203125,-2.50390625,-7.83203125,-6.87890625,-0.953125,1.55078125,0,1,1,0.0,4.0,-12.0,24
87,82,Yes,Yes,Yes,-5.9453125,-8.3984375,2.453125,-5.86328125,-9.84375,3.98046875,1.52734375,0,1,1,0.0,4.0,-12.0,24
9,77,No,No,Yes,-8.375,-6.83203125,-1.54296875,-6.5625,-7.6171875,1.0546875,2.59765625,1,1,0,0.0,4.0,-12.0,24
81,21,Yes,Yes,Yes,-5.9765625,-7.9453125,1.96875,-5.8359375,-9.65625,3.8203125,1.8515625,0,1,1,0.0,4.0,-12.0,24
68,93,No,No,Yes,-9.046875,-7.37890625,-1.66796875,-7.27734375,-7.37890625,0.1015625,1.76953125,1,1,0,0.0,4.0,-12.0,24
31,20,Yes,Yes,Yes,-5.921875,-9.6484375,3.7265625,-5.9296875,-10.7890625,4.859375,1.1328125,0,1,1,0.0,4.0,-12.0,24
59,48,Yes,Yes,Yes,-6.09375,-9.9140625,3.8203125,-6.1328125,-10.984375,4.8515625,1.03125,0,1,1,0.0,4.0,-12.0,24
34,81,No,No,No,-9.1171875,-6.9765625,-2.140625,-7.4296875,-6.890625,-0.5390625,1.6015625,0,1,1,0.0,4.0,-12.0,24
88,71,Yes,Yes,Yes,-5.9921875,-8.9609375,2.96875,-6.02734375,-10.28125,4.25390625,1.28515625,0,1,1,0.0,4.0,-12.0,24
28,87,No,No,No,-9.0859375,-6.83984375,-2.24609375,-7.24609375,-6.80078125,-0.4453125,1.80078125,0,1,1,0.0,4.0,-12.0,24
41,98,No,No,Yes,-8.828125,-7.01953125,-1.80859375,-7.05078125,-7.25390625,0.203125,2.01171875,1,1,0,0.0,4.0,-12.0,24
99,7,Yes,No,Yes,-6.8125,-6.78125,-0.03125,-6.08203125,-9.328125,3.24609375,3.27734375,1,0,1,0.0,4.0,-12.0,24
29,4,Yes,Yes,Yes,-6.56640625,-7.03515625,0.46875,-6.05078125,-9.640625,3.58984375,3.12109375,0,1,1,0.0,4.0,-12.0,24
40,51,No,No,Yes,-7.921875,-6.1640625,-1.7578125,-5.9375,-6.890625,0.953125,2.7109375,1,1,0,0.0,4.0,-12.0,24
34,8,Yes,Yes,Yes,-6.328125,-7.3125,0.984375,-5.890625,-9.5,3.609375,2.625,0,1,1,0.0,4.0,-12.0,24
27,72,No,No,No,-9.21875,-6.921875,-2.296875,-7.7109375,-6.8046875,-0.90625,1.390625,0,1,1,0.0,4.0,-12.0,24
91,40,Yes,Yes,Yes,-6.046875,-9.03125,2.984375,-6.0078125,-10.546875,4.5390625,1.5546875,0,1,1,0.0,4.0,-12.0,24
27,83,No,No,No,-9.2421875,-7.21484375,-2.02734375,-7.34375,-7.171875,-0.171875,1.85546875,0,1,1,0.0,4.0,-12.0,24
63,50,Yes,Yes,Yes,-6.1875,-9.515625,3.328125,-6.203125,-10.8125,4.609375,1.28125,0,1,1,0.0,4.0,-12.0,24
