model_id,layer,head,alpha,direction,prompt_type,a,b,label,base_margin,steered_margin,margin_shift,flipped
google/gemma-2-9b-it,38,14,10.0,minus,clean,81,14,Yes,0.734375,0.4052734375,-0.3291015625,0
google/gemma-2-9b-it,38,14,10.0,minus,clean,3,94,No,-4.53125,-5.078125,-0.546875,0
google/gemma-2-9b-it,38,14,10.0,minus,clean,35,31,Yes,6.3984375,5.4140625,-0.984375,0
google/gemma-2-9b-it,38,14,10.0,minus,clean,28,17,Yes,6.1875,5.1953125,-0.9921875,0
google/gemma-2-9b-it,38,14,10.0,minus,clean,94,13,Yes,4.546875,3.859375,-0.6875,0
google/gemma-2-9b-it,38,14,10.0,minus,clean,86,94,No,-4.390625,-5.015625,-0.625,0
google/gemma-2-9b-it,38,14,10.0,minus,clean,69,11,Yes,0.6240234375,0.328125,-0.2958984375,0
google/gemma-2-9b-it,38,14,10.0,minus,clean,75,54,Yes,6.0546875,5.109375,-0.9453125,0
google/gemma-2-9b-it,38,14,10.0,minus,clean,4,3,Yes,7.1953125,6.0078125,-1.1875,0
google/gemma-2-9b-it,38,14,10.0,minus,clean,11,27,No,-4.546875,-5.125,-0.578125,0
google/gemma-2-9b-it,38,14,10.0,minus,clean,29,64,No,-4.578125,-5.1875,-0.609375,0
google/gemma-2-9b-it,38,14,10.0,minus,clean,77,3,Yes,5.25,4.34375,-0.90625,0
google/gemma-2-9b-it,38,14,10.0,minus,clean,71,25,Yes,6.1796875,5.171875,-1.0078125,0
google/gemma-2-9b-it,38,14,10.0,minus,clean,91,83,Yes,5.984375,5.0234375,-0.9609375,0
google/gemma-2-9b-it,38,14,10.0,minus,clean,89,69,Yes,6.75,5.7109375,-1.0390625,0
google/gemma-2-9b-it,38,14,10.0,minus,clean,53,28,Yes,6.9453125,5.828125,-1.1171875,0
google/gemma-2-9b-it,38,14,10.0,minus,clean,57,75,No,-4.3125,-4.9453125,-0.6328125,0
