model_id,layer,head,alpha,direction,prompt_type,a,b,label,base_margin,steered_margin,margin_shift,flipped
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,81,14,Yes,1.125,0.703125,-0.421875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,3,94,No,-5.140625,-5.6640625,-0.5234375,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,35,31,Yes,1.390625,0.90673828125,-0.48388671875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,28,17,Yes,1.109375,0.65625,-0.453125,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,94,13,Yes,0.875,0.53173828125,-0.34326171875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,86,94,No,-6.4765625,-6.90625,-0.4296875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,69,11,Yes,0.26513671875,-0.0625,-0.32763671875,1
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,75,54,Yes,1.0625,0.67236328125,-0.39013671875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,4,3,Yes,3.3515625,2.640625,-0.7109375,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,11,27,No,-5.921875,-6.46875,-0.546875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,29,64,No,-5.0859375,-5.59375,-0.5078125,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,77,3,Yes,1.203125,0.8125,-0.390625,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,71,25,Yes,0.84375,0.46826171875,-0.37548828125,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,91,83,Yes,0.51611328125,0.17138671875,-0.3447265625,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,89,69,Yes,1.1875,0.78173828125,-0.40576171875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,53,28,Yes,0.609375,0.171875,-0.4375,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,57,75,No,-6.3984375,-6.9140625,-0.515625,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,35,0,Yes,2.15625,1.59375,-0.5625,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,97,20,Yes,1.15625,0.703125,-0.453125,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,89,54,Yes,0.671875,0.29638671875,-0.37548828125,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,43,35,Yes,1.359375,0.90625,-0.453125,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,19,27,No,-6.3046875,-6.828125,-0.5234375,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,97,43,Yes,0.984375,0.5625,-0.421875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,13,11,Yes,2.3125,1.765625,-0.546875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,48,12,Yes,1.078125,0.62548828125,-0.45263671875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,45,44,Yes,2.234375,1.7021484375,-0.5322265625,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,77,33,Yes,0.84423828125,0.46923828125,-0.375,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,5,93,No,-5.3671875,-5.921875,-0.5546875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,58,68,No,-6.03125,-6.5234375,-0.4921875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,15,48,No,-5.375,-5.90625,-0.53125,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,10,70,No,-5.5078125,-6.0546875,-0.546875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,37,80,No,-5.9296875,-6.4453125,-0.515625,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,79,46,Yes,0.15673828125,-0.1875,-0.34423828125,1
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,73,24,Yes,0.98486328125,0.609375,-0.37548828125,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,90,8,Yes,0.93798828125,0.51513671875,-0.4228515625,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,5,84,No,-5.6875,-6.21875,-0.53125,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,29,98,No,-5.6328125,-6.09375,-0.4609375,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,37,10,Yes,1.546875,1.046875,-0.5,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,29,12,Yes,1.0625,0.59375,-0.46875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,48,35,Yes,0.48486328125,0.09326171875,-0.3916015625,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,58,81,No,-6.9921875,-7.4453125,-0.453125,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,46,20,Yes,0.28125,-0.0625,-0.34375,1
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,47,45,Yes,1.875,1.359375,-0.515625,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,26,85,No,-5.90625,-6.3828125,-0.4765625,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,34,89,No,-6.6328125,-7.1015625,-0.46875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,87,82,Yes,0.90576171875,0.53125,-0.37451171875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,9,77,No,-5.5078125,-6.078125,-0.5703125,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,81,21,Yes,0.96826171875,0.51611328125,-0.4521484375,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,68,93,No,-6.609375,-7.015625,-0.40625,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,31,20,Yes,1.296875,0.85888671875,-0.43798828125,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,59,48,Yes,1.265625,0.75048828125,-0.51513671875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,34,81,No,-6.34375,-6.7734375,-0.4296875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,88,71,Yes,0.71875,0.32861328125,-0.39013671875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,28,87,No,-6.234375,-6.703125,-0.46875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,41,98,No,-6.1015625,-6.5390625,-0.4375,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,99,7,Yes,2.203125,1.671875,-0.53125,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,29,4,Yes,0.54638671875,0.109375,-0.43701171875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,40,51,No,-6.546875,-7.078125,-0.53125,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,34,8,Yes,0.640625,0.23388671875,-0.40673828125,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,27,72,No,-5.4296875,-5.9453125,-0.515625,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,91,40,Yes,0.17138671875,-0.17236328125,-0.34375,1
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,27,83,No,-6.140625,-6.625,-0.484375,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,63,50,Yes,1.0,0.546875,-0.453125,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,82,58,Yes,0.171875,-0.15673828125,-0.32861328125,1
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,18,33,No,-6.0703125,-6.59375,-0.5234375,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,17,31,No,-5.6953125,-6.234375,-0.5390625,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,95,71,Yes,1.046875,0.62451171875,-0.42236328125,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,68,33,Yes,0.71826171875,0.375,-0.34326171875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,95,74,Yes,1.15625,0.734375,-0.421875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,54,74,No,-6.328125,-6.796875,-0.46875,0
meta-llama/Meta-Llama-3-8B-Instruct,28,10,10.0,minus,clean,51,46,Yes,1.515625,1.03125,-0.484375,0
