model_id,layer,head,alpha,direction,prompt_type,a,b,label,base_margin,steered_margin,margin_shift,flipped
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,81,14,Yes,2.125,1.2275390625,-0.8974609375,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,3,94,No,-3.1015625,-3.4296875,-0.328125,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,35,31,Yes,3.580078125,2.6171875,-0.962890625,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,28,17,Yes,2.9296875,1.9677734375,-0.9619140625,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,94,13,Yes,2.2890625,1.3984375,-0.890625,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,86,94,No,-4.171875,-4.2578125,-0.0859375,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,69,11,Yes,2.578125,1.7109375,-0.8671875,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,75,54,Yes,2.984375,2.0625,-0.921875,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,4,3,Yes,3.134765625,2.078125,-1.056640625,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,11,27,No,-2.796875,-3.1640625,-0.3671875,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,29,64,No,-2.6015625,-2.984375,-0.3828125,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,77,3,Yes,3.015625,2.1796875,-0.8359375,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,71,25,Yes,3.21875,2.3984375,-0.8203125,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,91,83,Yes,3.0859375,2.234375,-0.8515625,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,89,69,Yes,3.03125,2.1796875,-0.8515625,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,53,28,Yes,2.9921875,2.09375,-0.8984375,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,57,75,No,-4.265625,-4.4296875,-0.1640625,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,35,0,Yes,3.078125,2.0234375,-1.0546875,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,97,20,Yes,3.197265625,2.2890625,-0.908203125,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,89,54,Yes,2.8984375,2.0390625,-0.859375,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,43,35,Yes,3.083984375,2.171875,-0.912109375,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,19,27,No,-3.4296875,-3.6796875,-0.25,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,97,43,Yes,3.4296875,2.5703125,-0.859375,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,13,11,Yes,3.375,2.375,-1.0,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,48,12,Yes,3.0234375,2.078125,-0.9453125,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,45,44,Yes,3.015625,1.9765625,-1.0390625,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,77,33,Yes,3.5234375,2.7109375,-0.8125,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,5,93,No,-2.9453125,-3.3046875,-0.359375,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,58,68,No,-3.673828125,-3.8671875,-0.193359375,0
Qwen/Qwen2.5-7B,20,1,10.0,minus,clean,15,48,No,-3.109375,-3.494140625,-0.384765625,0
