prompt_type,direction,alpha,base_margin,steered_margin,margin_shift,flipped,layer,head
clean,plus,4.0,2.703125,1.8671875,-0.8359375,0,24,5
clean,plus,4.0,3.0859375,2.39453125,-0.69140625,0,24,5
clean,plus,4.0,3.0859375,2.375,-0.7109375,0,24,5
clean,plus,4.0,3.23828125,2.63671875,-0.6015625,0,24,5
clean,plus,4.0,2.81640625,2.11328125,-0.703125,0,24,5
clean,plus,4.0,2.7578125,2.046875,-0.7109375,0,24,5
clean,plus,4.0,2.78125,2.03125,-0.75,0,24,5
clean,plus,4.0,3.453125,2.90234375,-0.55078125,0,24,5
clean,plus,4.0,2.8515625,2.12109375,-0.73046875,0,24,5
clean,plus,4.0,2.23828125,1.390625,-0.84765625,0,24,5
clean,plus,4.0,2.7578125,2.0234375,-0.734375,0,24,5
clean,plus,4.0,1.6484375,0.7578125,-0.890625,0,24,5
clean,plus,4.0,3.03125,2.3515625,-0.6796875,0,24,5
clean,plus,4.0,2.92578125,2.296875,-0.62890625,0,24,5
clean,plus,4.0,2.90625,2.26171875,-0.64453125,0,24,5
clean,plus,4.0,2.796875,2.09765625,-0.69921875,0,24,5
clean,plus,4.0,2.71875,2.0,-0.71875,0,24,5
clean,plus,4.0,1.6875,0.765625,-0.921875,0,24,5
clean,plus,4.0,2.2578125,1.4453125,-0.8125,0,24,5
clean,plus,4.0,3.0390625,2.42578125,-0.61328125,0,24,5
clean,plus,4.0,2.94921875,2.28515625,-0.6640625,0,24,5
clean,plus,4.0,2.796875,2.046875,-0.75,0,24,5
clean,plus,4.0,2.38671875,1.484375,-0.90234375,0,24,5
clean,plus,4.0,3.0234375,2.3671875,-0.65625,0,24,5
clean,plus,4.0,3.2421875,2.578125,-0.6640625,0,24,5
clean,plus,4.0,2.82421875,2.16015625,-0.6640625,0,24,5
clean,plus,4.0,2.8828125,2.1484375,-0.734375,0,24,5
clean,plus,4.0,2.1015625,1.265625,-0.8359375,0,24,5
clean,plus,4.0,2.2109375,1.3984375,-0.8125,0,24,5
clean,plus,4.0,3.21875,2.60546875,-0.61328125,0,24,5
clean,plus,4.0,2.5546875,1.8828125,-0.671875,0,24,5
clean,plus,4.0,2.765625,1.953125,-0.8125,0,24,5
clean,plus,4.0,2.52734375,1.6484375,-0.87890625,0,24,5
clean,plus,4.0,2.66015625,2.03125,-0.62890625,0,24,5
clean,plus,4.0,2.8046875,2.078125,-0.7265625,0,24,5
clean,plus,4.0,2.2109375,1.421875,-0.7890625,0,24,5
clean,plus,4.0,2.640625,1.8046875,-0.8359375,0,24,5
clean,plus,4.0,2.76953125,1.96875,-0.80078125,0,24,5
clean,plus,4.0,2.3203125,1.40625,-0.9140625,0,24,5
clean,plus,4.0,2.9375,2.27734375,-0.66015625,0,24,5
clean,plus,4.0,2.625,1.9765625,-0.6484375,0,24,5
clean,plus,4.0,2.28125,1.46875,-0.8125,0,24,5
clean,plus,4.0,3.29296875,2.64453125,-0.6484375,0,24,5
clean,plus,4.0,2.921875,2.1171875,-0.8046875,0,24,5
clean,plus,4.0,3.1015625,2.46875,-0.6328125,0,24,5
clean,plus,4.0,2.8671875,2.1796875,-0.6875,0,24,5
clean,plus,4.0,2.94140625,2.31640625,-0.625,0,24,5
clean,plus,4.0,2.46484375,1.8515625,-0.61328125,0,24,5
clean,plus,4.0,2.546875,1.7890625,-0.7578125,0,24,5
clean,plus,4.0,2.6015625,1.828125,-0.7734375,0,24,5
clean,plus,4.0,2.25,1.5078125,-0.7421875,0,24,5
clean,plus,4.0,1.640625,0.6015625,-1.0390625,0,24,5
clean,plus,4.0,2.796875,2.0859375,-0.7109375,0,24,5
clean,plus,4.0,2.85546875,2.1640625,-0.69140625,0,24,5
clean,plus,4.0,3.11328125,2.515625,-0.59765625,0,24,5
clean,plus,4.0,3.03125,2.34375,-0.6875,0,24,5
clean,plus,4.0,3.265625,2.5625,-0.703125,0,24,5
