model_id,layer,head,alpha,direction,prompt_type,a,b,label,base_margin,steered_margin,margin_shift,flipped
Qwen/Qwen3-4B,22,5,10.0,minus,clean,81,14,Yes,4.5,1.25,-3.25,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,3,94,No,-6.71875,-7.34375,-0.625,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,35,31,Yes,4.421875,1.390625,-3.03125,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,28,17,Yes,4.703125,1.5625,-3.140625,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,94,13,Yes,4.625,1.046875,-3.578125,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,86,94,No,-6.109375,-7.25,-1.140625,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,69,11,Yes,4.515625,1.171875,-3.34375,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,75,54,Yes,4.140625,1.078125,-3.0625,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,4,3,Yes,5.125,1.46875,-3.65625,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,11,27,No,-4.9375,-6.703125,-1.765625,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,29,64,No,-5.21875,-7.125,-1.90625,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,77,3,Yes,4.140625,-0.921875,-5.0625,1
Qwen/Qwen3-4B,22,5,10.0,minus,clean,71,25,Yes,4.375,1.5,-2.875,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,91,83,Yes,4.03125,0.875,-3.15625,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,89,69,Yes,4.3125,1.140625,-3.171875,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,53,28,Yes,4.671875,1.84375,-2.828125,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,57,75,No,-5.734375,-7.0625,-1.328125,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,35,0,Yes,4.734375,0.76513671875,-3.96923828125,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,97,20,Yes,4.40625,0.79736328125,-3.60888671875,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,89,54,Yes,4.78125,1.8134765625,-2.9677734375,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,43,35,Yes,4.53125,1.546875,-2.984375,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,19,27,No,-5.15625,-6.90625,-1.75,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,97,43,Yes,4.640625,1.734375,-2.90625,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,13,11,Yes,4.546875,1.53125,-3.015625,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,48,12,Yes,4.9375,2.0,-2.9375,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,45,44,Yes,4.609375,1.46875,-3.140625,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,77,33,Yes,3.796875,0.54736328125,-3.24951171875,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,5,93,No,-6.1875,-6.953125,-0.765625,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,58,68,No,-5.65625,-7.125,-1.46875,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,15,48,No,-5.21875,-6.5,-1.28125,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,10,70,No,-5.4375,-6.9375,-1.5,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,37,80,No,-4.96875,-6.875,-1.90625,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,79,46,Yes,4.4375,1.390625,-3.046875,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,73,24,Yes,4.453125,1.640625,-2.8125,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,90,8,Yes,4.015625,-0.50048828125,-4.51611328125,1
Qwen/Qwen3-4B,22,5,10.0,minus,clean,5,84,No,-6.3125,-7.109375,-0.796875,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,29,98,No,-5.296875,-6.6875,-1.390625,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,37,10,Yes,5.25,1.8125,-3.4375,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,29,12,Yes,5.171875,2.171875,-3.0,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,48,35,Yes,4.5625,1.484375,-3.078125,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,58,81,No,-5.359375,-6.859375,-1.5,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,46,20,Yes,4.890625,1.59375,-3.296875,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,47,45,Yes,4.828125,1.375,-3.453125,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,26,85,No,-4.84375,-6.46875,-1.625,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,34,89,No,-4.1875,-6.125,-1.9375,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,87,82,Yes,4.265625,1.015625,-3.25,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,9,77,No,-4.90625,-6.515625,-1.609375,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,81,21,Yes,4.21875,1.28125,-2.9375,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,68,93,No,-5.5625,-6.9375,-1.375,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,31,20,Yes,4.890625,2.046875,-2.84375,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,59,48,Yes,4.71875,1.734375,-2.984375,0
Qwen/Qwen3-4B,22,5,10.0,minus,clean,34,81,No,-4.921875,-6.546875,-1.625,0
