layer,head,target_index,target_token,mean_attention_toward,max_attention_toward,example_id,n_shots,prompt
0,0,2,7,0.03473334386944771,0.2756756544113159,521,0,Is 7740 > 2273? Answer:
0,0,3,7,0.05660714954137802,0.4670387804508209,521,0,Is 7740 > 2273? Answer:
0,0,4,4,0.05039259046316147,0.5600398778915405,521,0,Is 7740 > 2273? Answer:
0,0,5,0,0.048227716237306595,0.6294975876808167,521,0,Is 7740 > 2273? Answer:
0,0,6, >,0.1271679848432541,0.9322582483291626,521,0,Is 7740 > 2273? Answer:
0,0,8,2,0.04838588461279869,0.3634780943393707,521,0,Is 7740 > 2273? Answer:
0,0,9,2,0.05848304182291031,0.431074857711792,521,0,Is 7740 > 2273? Answer:
0,0,10,7,0.038990627974271774,0.4846005439758301,521,0,Is 7740 > 2273? Answer:
0,0,11,3,0.04136175662279129,0.4543958008289337,521,0,Is 7740 > 2273? Answer:
0,1,2,7,0.07486019283533096,0.9964112639427185,521,0,Is 7740 > 2273? Answer:
0,1,3,7,0.07486053556203842,0.958152174949646,521,0,Is 7740 > 2273? Answer:
0,1,4,4,0.08563926070928574,0.9505528807640076,521,0,Is 7740 > 2273? Answer:
0,1,5,0,0.04306642711162567,0.5090629458427429,521,0,Is 7740 > 2273? Answer:
0,1,6, >,0.07137086987495422,0.9923163652420044,521,0,Is 7740 > 2273? Answer:
0,1,8,2,0.06543201208114624,0.7301495671272278,521,0,Is 7740 > 2273? Answer:
0,1,9,2,0.04782623052597046,0.636578381061554,521,0,Is 7740 > 2273? Answer:
0,1,10,7,0.06957534700632095,0.968371570110321,521,0,Is 7740 > 2273? Answer:
0,1,11,3,0.06686869263648987,0.9392660856246948,521,0,Is 7740 > 2273? Answer:
0,2,2,7,0.004490619525313377,0.03082525171339512,521,0,Is 7740 > 2273? Answer:
0,2,3,7,0.004170834086835384,0.03418251872062683,521,0,Is 7740 > 2273? Answer:
0,2,4,4,0.007204650901257992,0.07419417053461075,521,0,Is 7740 > 2273? Answer:
0,2,5,0,0.022036928683519363,0.13158471882343292,521,0,Is 7740 > 2273? Answer:
0,2,6, >,0.0740208849310875,0.99600750207901,521,0,Is 7740 > 2273? Answer:
0,2,8,2,0.011458433233201504,0.05129522457718849,521,0,Is 7740 > 2273? Answer:
0,2,9,2,0.010504133999347687,0.05778693035244942,521,0,Is 7740 > 2273? Answer:
0,2,10,7,0.001818933291360736,0.018699971958994865,521,0,Is 7740 > 2273? Answer:
0,2,11,3,0.0030024652369320393,0.04386075586080551,521,0,Is 7740 > 2273? Answer:
0,3,2,7,0.04368672892451286,0.1947125941514969,521,0,Is 7740 > 2273? Answer:
0,3,3,7,0.03560631349682808,0.16257700324058533,521,0,Is 7740 > 2273? Answer:
0,3,4,4,0.02749546431005001,0.13877686858177185,521,0,Is 7740 > 2273? Answer:
0,3,5,0,0.06314574182033539,0.24186044931411743,521,0,Is 7740 > 2273? Answer:
0,3,6, >,0.06561719626188278,0.6300077438354492,521,0,Is 7740 > 2273? Answer:
0,3,8,2,0.03305685520172119,0.15566220879554749,521,0,Is 7740 > 2273? Answer:
0,3,9,2,0.024359896779060364,0.1415586620569229,521,0,Is 7740 > 2273? Answer:
0,3,10,7,0.00895510520786047,0.0563325397670269,521,0,Is 7740 > 2273? Answer:
0,3,11,3,0.009100878611207008,0.07730522751808167,521,0,Is 7740 > 2273? Answer:
0,4,2,7,0.07009624689817429,0.9983646273612976,521,0,Is 7740 > 2273? Answer:
0,4,3,7,0.06958921253681183,0.9831296801567078,521,0,Is 7740 > 2273? Answer:
0,4,4,4,0.07432451844215393,0.9844200015068054,521,0,Is 7740 > 2273? Answer:
0,4,5,0,0.08561746031045914,0.9509791731834412,521,0,Is 7740 > 2273? Answer:
0,4,6, >,0.07944764941930771,0.8960067629814148,521,0,Is 7740 > 2273? Answer:
0,4,8,2,0.07232750952243805,0.9931274652481079,521,0,Is 7740 > 2273? Answer:
0,4,9,2,0.06827937066555023,0.9491581916809082,521,0,Is 7740 > 2273? Answer:
0,4,10,7,0.06933287531137466,0.9807331562042236,521,0,Is 7740 > 2273? Answer:
0,4,11,3,0.07658102363348007,0.9815137982368469,521,0,Is 7740 > 2273? Answer:
0,5,2,7,0.09792710840702057,0.9846565127372742,521,0,Is 7740 > 2273? Answer:
0,5,3,7,0.06936624646186829,0.9196164608001709,521,0,Is 7740 > 2273? Answer:
0,5,4,4,0.06395707279443741,0.8902080059051514,521,0,Is 7740 > 2273? Answer:
0,5,5,0,0.027568623423576355,0.3211563527584076,521,0,Is 7740 > 2273? Answer:
0,5,6, >,0.057001810520887375,0.5110671520233154,521,0,Is 7740 > 2273? Answer:
0,5,8,2,0.09603435546159744,0.9675988554954529,521,0,Is 7740 > 2273? Answer:
0,5,9,2,0.06448154151439667,0.8602352142333984,521,0,Is 7740 > 2273? Answer:
0,5,10,7,0.06328509747982025,0.9102644920349121,521,0,Is 7740 > 2273? Answer:
0,5,11,3,0.0106325913220644,0.1439446657896042,521,0,Is 7740 > 2273? Answer:
0,6,2,7,0.03568950295448303,0.116520456969738,521,0,Is 7740 > 2273? Answer:
0,6,3,7,0.02936664968729019,0.080821193754673,521,0,Is 7740 > 2273? Answer:
0,6,4,4,0.023926246911287308,0.05711621046066284,521,0,Is 7740 > 2273? Answer:
0,6,5,0,0.047017306089401245,0.13322216272354126,521,0,Is 7740 > 2273? Answer:
0,6,6, >,0.09045284986495972,0.25693318247795105,521,0,Is 7740 > 2273? Answer:
0,6,8,2,0.02220587246119976,0.08812844008207321,521,0,Is 7740 > 2273? Answer:
0,6,9,2,0.0171828493475914,0.0729587972164154,521,0,Is 7740 > 2273? Answer:
0,6,10,7,0.008629877120256424,0.04818613827228546,521,0,Is 7740 > 2273? Answer:
0,6,11,3,0.009427542798221111,0.06192000210285187,521,0,Is 7740 > 2273? Answer:
0,7,2,7,0.14507761597633362,0.6811809539794922,521,0,Is 7740 > 2273? Answer:
0,7,3,7,0.056633494794368744,0.30572646856307983,521,0,Is 7740 > 2273? Answer:
0,7,4,4,0.049210578203201294,0.2770288288593292,521,0,Is 7740 > 2273? Answer:
0,7,5,0,0.06113655865192413,0.33554330468177795,521,0,Is 7740 > 2273? Answer:
0,7,6, >,0.0679541751742363,0.3864545524120331,521,0,Is 7740 > 2273? Answer:
0,7,8,2,0.08365216106176376,0.49461594223976135,521,0,Is 7740 > 2273? Answer:
0,7,9,2,0.03938162699341774,0.3645307123661041,521,0,Is 7740 > 2273? Answer:
0,7,10,7,0.008956695906817913,0.08386452496051788,521,0,Is 7740 > 2273? Answer:
0,7,11,3,0.006606430280953646,0.06322569400072098,521,0,Is 7740 > 2273? Answer:
0,8,2,7,0.06563569605350494,0.14479491114616394,521,0,Is 7740 > 2273? Answer:
0,8,3,7,0.06059250235557556,0.14854203164577484,521,0,Is 7740 > 2273? Answer:
0,8,4,4,0.0647188350558281,0.26906824111938477,521,0,Is 7740 > 2273? Answer:
0,8,5,0,0.041005320847034454,0.17325694859027863,521,0,Is 7740 > 2273? Answer:
0,8,6, >,0.06638334691524506,0.18368582427501678,521,0,Is 7740 > 2273? Answer:
0,8,8,2,0.026955554261803627,0.11877919733524323,521,0,Is 7740 > 2273? Answer:
0,8,9,2,0.019485028460621834,0.10470438748598099,521,0,Is 7740 > 2273? Answer:
0,8,10,7,0.014779049903154373,0.13310225307941437,521,0,Is 7740 > 2273? Answer:
0,8,11,3,0.010860192589461803,0.08351055532693863,521,0,Is 7740 > 2273? Answer:
0,9,2,7,0.019334640353918076,0.08642181754112244,521,0,Is 7740 > 2273? Answer:
0,9,3,7,0.024984462186694145,0.10356330126523972,521,0,Is 7740 > 2273? Answer:
0,9,4,4,0.026240326464176178,0.15731464326381683,521,0,Is 7740 > 2273? Answer:
